,,,,,,,,,,,
Exxaro Resources Ltd (EXX SJ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of ZAR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,1.000,2.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,-90.909,100.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,—,4.000,4.000,7.000,8.000,6.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,93.750,91.670,100.000,100.000,100.000,96.250,100.000,88.460,93.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-6.250,-2.219,9.087,0.000,0.000,-3.750,3.896,-11.540,5.132
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,12.000,14.000,14.000,14.000,14.000,13.000,11.000,14.000,16.000,16.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,9.000,8.000,8.000,8.000,9.000,10.000,10.000,10.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,12.000,12.000,12.000,11.000,9.000,11.000,14.000,14.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,9.000,10.000,—,—,12.000,13.000,22.000,7.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,85.710,89.000,88.620,92.400,83.050,89.570,97.420,98.760,94.950,95.630
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,10.923,3.839,-0.427,4.265,-10.119,7.851,8.764,1.375,-3.858,0.716
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,6.000,4.000,—,—,4.000,14.000,19.000,7.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,94.100,89.650,73.330,100.000,100.000,100.000,94.750,94.000,90.320,92.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,17.625,-4.729,-18.204,36.370,0.000,0.000,-5.250,-0.792,-3.915,1.860
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,2.000,2.000,2.000,5.000,4.000,2.000,5.000,8.000,9.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,70.000,70.000,70.000,70.000,70.000,70.000,70.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,47.000,47.000,48.000,45.000,46.000,48.000,38.000,39.000,40.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,67.000,68.000,69.000,70.000,69.000,70.000,70.000,67.000,68.000,69.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,6.000,8.000,8.000,9.000,8.000,8.000,7.000,10.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,6.000,4.000,—,—,4.000,14.000,19.000,7.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,94.100,89.650,73.330,100.000,100.000,100.000,94.750,94.000,90.320,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,17.625,-4.729,-18.204,36.370,0.000,0.000,-5.250,-0.792,-3.915,10.717
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
