,,,,,,,,,,,
Norsk Hydro ASA (NHY NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NOK except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,24.000,25.000,21.000,25.000,27.000,32.000,36.000,35.000,36.000,38.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,9.091,4.167,-16.000,19.048,8.000,18.519,12.500,-2.778,2.857,5.556
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,13.100,27.000,23.000,27.000,27.000,19.000,20.000,22.000,23.000,24.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.769,106.107,-14.815,17.391,0.000,-29.630,5.263,10.000,4.545,4.348
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,-1.000,17.400
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000
Fatalities - Total,FATALITIES_TOTAL,1.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.280,0.240,0.280,0.340,0.300,0.320,0.380,0.280,0.300,0.240
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-6.667,-14.286,16.667,21.429,-11.765,6.667,18.750,-26.316,7.143,-20.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.180,0.120,0.118,0.300,0.160,0.160,0.240,0.160,0.180,0.180
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-18.182,-33.333,-1.667,154.237,-46.667,0.000,50.000,-33.333,12.500,0.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.240,0.180,0.420,0.340,0.260,0.280,0.340,0.240,0.260,0.220
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-20.000,-25.000,133.333,-19.048,-23.529,7.692,21.429,-29.412,8.333,-15.385
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.600,0.520,0.620,0.700,0.660,0.600,0.780,0.600,0.560,0.420
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-6.250,-13.333,19.231,12.903,-5.714,-9.091,30.000,-23.077,-6.667,-25.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.620,0.520,0.500,0.600,0.440,0.340,0.360,0.260,0.360,0.340
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-18.421,-16.129,-3.846,20.000,-26.667,-22.727,5.882,-27.778,38.462,-5.556
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.600,0.520,0.580,0.680,0.600,0.540,0.660,0.480,0.480,0.400
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-11.765,-13.333,11.538,17.241,-11.765,-10.000,22.222,-27.273,0.000,-16.667
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"14,407.000","14,177.000","36,271.000","37,916.000","37,957.000","36,169.000","33,063.000","33,931.000","34,494.000","33,798.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"7,700.000","7,700.000","9,500.000","9,000.000","10,500.000","11,800.000","13,900.000","16,900.000",—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,4.700,5.000,4.000,12.000,13.000,14.000,14.000,17.000,15.000,13.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-26.563,6.383,-20.000,200.000,8.333,7.692,0.000,21.429,-11.765,-13.333
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,98.000,96.000,86.000,86.000,86.000,85.000,85.000,70.000,70.000,67.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.000,-2.041,-10.417,0.000,0.000,-1.163,0.000,-17.647,0.000,-4.286
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,"217,958.000","262,647.000","223,798.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,20.503,-14.791
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,129.000,123.000,109.000,262.000,98.000,49.000,49.000,200.000,141.000,215.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,20.000,16.667,14.286,12.500,11.111,10.000,9.091,8.333,7.692,7.143
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,6.000,8.000,10.000,10.000,10.000,10.000,10.000,9.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,96.000,94.000,98.000,98.000,95.000,100.000,100.000,95.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-2.083,4.255,0.000,-3.061,5.263,0.000,-5.000,5.263,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,10.000,10.000,9.000,9.000,11.000,10.000,10.000,11.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,10.000,10.000,10.000,10.000,9.000,10.000,10.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,9.000,9.000,11.000,10.000,10.000,11.000,11.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,13.000,11.000,14.000,18.000,14.000,13.000,11.000,20.000,18.000,16.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.000,93.000,92.850,93.200,92.000,96.000,100.000,97.160,100.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.946,-3.125,-0.161,0.377,-1.288,4.348,4.167,-2.840,2.923,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,5.000,9.000,6.000,8.000,9.000,13.000,10.000,8.000,9.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,95.000,96.000,100.000,100.000,100.000,97.000,100.000,97.000,97.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,3.093,-5.000,1.053,4.167,0.000,0.000,-3.000,3.093,-3.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,—,—,—,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,48.000,49.000,50.000,51.000,52.000,53.000,54.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,66.000,67.000,68.000,69.000,64.000,65.000,66.000,67.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,9.000,9.000,11.000,10.000,10.000,11.000,11.000,11.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,15.000,15.000,17.000,15.000,18.000,15.000,21.000,14.000,28.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,95.000,98.000,100.000,100.000,97.000,100.000,100.000,95.700,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-4.040,3.158,2.041,0.000,-3.000,3.093,0.000,-4.300,4.493,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
