,,,,,,,
Nickel Industries Ltd (NIC AU) - Overview,,,,,,,
,,,,,,,
In Millions of USD except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Fuel Used - Coal/Lignite,COAL_USED,—,—,437.450,481.838,910.736,"1,650.840"
    Growth (YoY),COAL_USED,—,—,—,10.147,89.013,81.264
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,0.111,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,10.852,17.765,24.114,15.492
    Growth (YoY),OIL_DIESEL_USED,—,—,—,63.708,35.736,-35.756
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,121.489,125.439,130.311,128.528
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,3.251,3.884,-1.368
,,,,,,,
Materials & Waste,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,—,"4,097.150","2,388.560","7,201.080"
    Growth (YoY),TOTAL_WASTE,—,—,—,—,-41.702,201.482
,,,,,,,
Supply Chain,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No
,,,,,,,
Water,,,,,,,
Water Policy,WATER_POLICY,No,No,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,"1,384.160","2,211.090","1,502.690","5,395.730","8,780.170"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,59.742,-32.039,259.071,62.724
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,0.000,3.500,1.452
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,-58.514
Water Consumption,WATER_CONSMPTN,—,—,5.597,13.507,13.296,16.641
    Growth (YoY),WATER_CONSMPTN,—,—,—,141.326,-1.562,25.158
,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
,,,,,,,
Social,,,,,,,
Community & Customers,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Diversity,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,0.000,0.000,0.000,10.710,6.250
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,-41.643
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,10.760,10.360,8.450
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,-3.717,-18.436
,,,,,,,
Ethics & Compliance,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Health & Safety,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,Yes,Yes,Yes,Yes
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,1.000,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,1.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.214,0.000,0.550,0.044,0.020
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-92.000,-54.545
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.854,0.294,4.060,0.260,0.196
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-65.574,"1,280.952",-93.596,-24.615
,,,,,,,
Human Capital,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,225.000,234.000,"1,505.000","4,411.000","5,478.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,10.000,16.000,12.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,60.000,-25.000
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,320.000,"4,744.000","15,280.000","136,177.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"1,382.500",222.091,791.211
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No
,,,,,,,
Supply Chain,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No
,,,,,,,
Governance,,,,,,,
Audit Risk & Oversight,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,2.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,3.000,3.000,3.000,4.000,2.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,2.000,2.000,2.000,2.000,2.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,87.500,100.000,87.500,87.500,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,14.286,-12.500,0.000,14.286
,,,,,,,
Board Composition,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,9.000,8.000,9.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,3.000,3.000,3.000,3.000,3.000,3.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,6.000,6.000,6.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,7.000,5.000,12.000,13.000,12.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,85.710,89.280,88.090,98.130,99.000,92.300
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,4.165,-1.333,11.397,0.887,-6.768
,,,,,,,
Compensation,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,2.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,1.000,3.000,3.000,1.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,0.000,0.000
,,,,,,,
Diversity,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,
Independence,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,6.000,2.000
,,,,,,,
Nominations & Governance Oversight,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,2.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,2.000,2.000,3.000,1.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,1.000,1.000,1.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,0.000,0.000
,,,,,,,
Sustainability Governance,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No
,,,,,,,
Tenure,,,,,,,
,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,
