,,,,,,,,,,,
Freeport-McMoRan Inc (FCX US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,8.000,—,13.800,19.400,21.200,22.200,18.900,—
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,40.580,9.278,4.717,-14.865,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,11.000,11.000,11.200,12.400,12.500,12.400,12.000,12.200,12.300,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.000,0.000,1.818,10.714,0.806,-0.800,-3.226,1.667,0.820,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,10.000,10.000,12.000,13.000,13.000,12.600,13.400,14.200,14.800,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.000,0.000,20.000,8.333,0.000,-3.077,6.349,5.970,4.225,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,1.000,0.500,0.500,—
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,-50.000,0.000,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,5.000,3.000,1.000,1.000,1.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,1.000,2.000,0.000,2.000,4.000,2.000,1.000,1.000,—
Fatalities - Total,FATALITIES_TOTAL,3.000,6.000,5.000,1.000,3.000,5.000,2.000,1.000,1.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.460,0.440,0.340,0.370,0.330,0.310,0.430,0.430,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-4.348,-22.727,8.824,-10.811,-6.061,38.710,0.000,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,0.150,0.270,0.330,0.280,0.240,0.320,0.310,0.130,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,80.000,22.222,-15.152,-14.286,33.333,-3.125,-58.065,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.350,0.350,0.370,0.340,0.330,0.300,0.310,0.370,0.240,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,0.000,5.714,-8.108,-2.941,-9.091,3.333,19.355,-35.135,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.910,0.800,0.700,0.780,0.760,0.760,0.930,1.030,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-12.088,-12.500,11.429,-2.564,0.000,22.368,10.753,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,0.390,0.650,0.710,0.610,0.560,0.620,0.600,0.350,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,66.667,9.231,-14.085,-8.197,10.714,-3.226,-41.667,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.560,0.710,0.740,0.700,0.710,0.690,0.700,0.770,0.600,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,0.000,26.786,4.225,-5.405,1.429,-2.817,1.449,10.000,-22.078,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"34,500.000","30,000.000","25,200.000","26,900.000","27,454.000","24,649.000","24,703.000","25,578.000","27,162.000","28,500.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"37,500.000","29,100.000","27,500.000","39,900.000","42,240.000","35,270.000","43,919.000","48,866.000","85,323.000",—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,10.000,28.000,7.000,8.000,15.000,9.000,9.000,10.000,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,180.000,-75.000,14.286,87.500,-40.000,0.000,11.111,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,48.000,47.000,35.000,33.000,31.000,32.000,31.000,30.000,29.000,28.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,0.000,-2.083,-25.532,-5.714,-6.061,3.226,-3.125,-3.226,-3.333,-3.448
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,5.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,85.000,77.000,100.000,90.000,94.000,100.000,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,13.333,-9.412,29.870,-10.000,4.444,6.383,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,10.000,8.000,8.000,6.000,6.000,6.000,11.000,11.000,12.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,4.000,4.000,4.000,3.000,3.000,4.000,5.000,5.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,7.000,7.000,5.000,5.000,5.000,10.000,10.000,10.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,11.000,10.000,7.000,10.000,6.000,11.000,7.000,6.000,6.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,85.000,77.000,100.000,—,100.000,100.000,100.000,100.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,13.333,-9.412,29.870,—,—,0.000,0.000,0.000,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,2.000,2.000,2.000,3.000,3.000,3.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,2.000,2.000,2.000,3.000,3.000,3.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,4.000,3.000,4.000,5.000,6.000,6.000,4.000,7.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,85.000,77.000,100.000,90.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,13.333,-9.412,29.870,-10.000,11.111,0.000,0.000,0.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,2.000,2.000,2.000,4.000,4.000,5.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,39.000,40.000,41.000,42.000,58.000,59.000,54.000,55.000,56.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,77.000,73.000,74.000,74.000,75.000,76.000,75.000,76.000,77.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.000,7.000,7.000,5.000,5.000,5.000,10.000,10.000,10.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,4.000,4.000,2.000,2.000,2.000,3.000,3.000,3.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,4.000,4.000,2.000,2.000,2.000,3.000,3.000,3.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,2.000,2.000,2.000,3.000,2.000,5.000,2.000,2.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,85.000,77.000,100.000,90.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,13.333,-9.412,29.870,-10.000,11.111,0.000,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
