,,,,,,
Equinox Gold Corp (EQX CN) - Overview,,,,,,
,,,,,,
In Millions of USD except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.660,0.580
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,-12.121
,,,,,,
Energy,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,416.045,"1,641.360","1,616.670","1,627.780"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,294.515,-1.504,0.687
Renewable Energy Use,RENEW_ENERGY_USE,—,296.447,47.583,44.960,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,-83.949,-5.513,—
Electricity Used,ELECTRICITY_USED,—,416.045,456.676,421.452,461.010
    Growth (YoY),ELECTRICITY_USED,—,—,9.766,-7.713,9.386
Fuel Used - Coal/Lignite,COAL_USED,—,—,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,"2,398.500",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,1.124,113.717,109.852
    Growth (YoY),OIL_DIESEL_USED,—,—,—,"10,017.081",-3.399
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,3.117,2.883
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,-7.487
,,,,,,
Materials & Waste,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,0.972,0.992
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,2.058
Total Waste,TOTAL_WASTE,—,—,"285,433.000","156,087.000","264,757.000"
    Growth (YoY),TOTAL_WASTE,—,—,—,-45.316,69.621
Waste Recycled,WASTE_RECYCLED,—,—,—,17.393,2.076
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,-88.064
,,,,,,
Supply Chain,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No
,,,,,,
Water,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"5,600.000","10,100.000","15,169.300"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,80.357,50.191
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,"3,398.650","3,242.050"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,-4.608
,,,,,,
Ecological & Biodiversity Impacts,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,Yes,Yes,n/a
,,,,,,
Social,,,,,,
Community & Customers,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,7.030,9.550,9.548
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,35.840,-0.020
,,,,,,
Diversity,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,18.000,8.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,-55.556
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,10.000,10.000,11.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,0.000,10.000
,,,,,,
Ethics & Compliance,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
,,,,,,
Health & Safety,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,0.130,0.068,0.068
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,-47.692,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.610,0.420,0.294
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,-31.148,-30.000
,,,,,,
Human Capital,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,622.000,"3,433.000","3,405.000","3,434.000","3,692.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,803.000,"2,750.000","4,323.000","5,037.000","4,384.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,17.000,15.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,-11.765
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,75.000,79.000,72.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,5.333,-8.861
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"115,371.000","203,000.000","167,000.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,75.954,-17.734
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,No,No,No
,,,,,,
Supply Chain,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,Yes
,,,,,,
Governance,,,,,,
Audit Risk & Oversight,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,33.333,25.000,20.000,16.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,5.000,5.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000
,,,,,,
Board Composition,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,9.000,8.000,9.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,5.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,8.000,7.000,8.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,6.000,5.000,6.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.070,98.140,100.000,97.720,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,2.155,1.895,-2.280,2.333
,,,,,,
Compensation,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,5.000,5.000,6.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000
,,,,,,
Diversity,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,2.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,42.000,43.000,50.000,38.000,48.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,76.000,77.000,78.000,76.000
,,,,,,
Independence,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,7.000,7.000,7.000,6.000
,,,,,,
Nominations & Governance Oversight,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,5.000,5.000,6.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000
,,,,,,
Sustainability Governance,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No
,,,,,,
Tenure,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000
,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,
