,,,,,,,,,,,
Ampol Ltd (ALD AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,7.000,9.000,8.000,6.000,6.000,7.000,8.000,7.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,6.000,6.000,6.000,7.000,6.000,7.000,7.000,8.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,10.000,17.000,25.000,15.000,28.000,38.000,17.000,8.000,8.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.220,100.000,96.639,98.800,100.000,96.930,98.480,99.210,98.620,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-2.780,2.859,-3.361,2.236,1.215,-3.070,1.599,0.741,-0.595,1.399
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,4.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,4.000,4.000,5.000,3.000,4.000,3.000,5.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,93.750,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.250,6.667
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,3.000,3.000,3.000,3.000,1.000,2.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,3.000,3.000,3.000,3.000,2.000,3.000,3.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,6.000,6.000,6.000,7.000,6.000,7.000,7.000,8.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,7.000,6.000,6.000,6.000,7.000,6.000,5.000,7.000,7.000,8.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,6.000,6.000,6.000,7.000,6.000,5.000,7.000,7.000,8.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,4.000,4.000,4.000,2.000,3.000,1.000,1.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,95.650,100.000,100.000,100.000,100.000,85.710,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,-4.350,4.548,0.000,0.000,0.000,-14.290,16.673
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,—,—,—,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
