,,,,,,
Lotte Chemical Titan Holding Bhd (TTNP MK) - Overview,,,,,,
,,,,,,
In Millions of MYR except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,"1,298.4",235.7,108.6
,,,,,,
Climate Change,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,402.1,382.7,353.6,375.2,390.2
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-4.8,-7.6,6.1,4.0
,,,,,,
Energy,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"10,622.8","9,679.4","10,400.8","9,397.2","7,504.9"
    Growth (YoY),ENERGY_CONSUMPTION,—,-8.9,7.5,-9.6,-20.1
Electricity Used,ELECTRICITY_USED,553.5,582.4,534.1,563.1,205.2
    Growth (YoY),ELECTRICITY_USED,—,5.2,-8.3,5.4,-63.6
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,2.6
Fuel Used - Natural Gas,NAT_GAS_USED,"167,764.0","133,791.0","194,191.0","174,248.0","144,328.0"
    Growth (YoY),NAT_GAS_USED,—,-20.3,45.1,-10.3,-17.2
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,"4,298.45",—,—,—
,,,,,,
Materials & Waste,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,1.6,1.2,21.4,3.2,4.2
    Growth (YoY),HAZARDOUS_WASTE,—,-21.8,"1,638.5",-85.2,33.5
Total Waste,TOTAL_WASTE,2.6,2.3,25.9,7.6,8.0
    Growth (YoY),TOTAL_WASTE,—,-13.9,"1,037.3",-70.5,4.6
Waste Recycled,WASTE_RECYCLED,0.4,0.9,0.9,0.9,4.3
    Growth (YoY),WASTE_RECYCLED,—,113.0,-2.5,4.5,381.6
,,,,,,
Supply Chain,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes
,,,,,,
Water,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"14,124.7","14,255.7","13,679.0","12,154.0","10,700.0"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,0.9,-4.0,-11.1,-12.0
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"5,200,999,936.00","5,715,999,744.00","5,292,689,920.00","5,349,320,192.00","5,470,000,128.00"
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,9.9,-7.4,1.1,2.3
,,,,,,
Ecological & Biodiversity Impacts,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,No,No,No
,,,,,,
Social,,,,,,
Community & Customers,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,—,24.00,26.00,30.00
,,,,,,
Diversity,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,Yes,Yes,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,17.05,17.22,17.35,17.40,17.43
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,1.0,0.8,0.3,0.2
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,0.29,0.29,0.29,0.00,0.30
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,0.0,0.0,—,—
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,106.00,—,—,—
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,95.00,—,—,—
Percentage Gender Pay Gap Employees Ex Management,PCT_GENDER_PAY_GAP_EMPL_EX_MGMT,—,83.00,—,—,—
,,,,,,
Ethics & Compliance,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,0.0,0.0
,,,,,,
Health & Safety,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.00,0.00,0.00,0.00,0.00
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.07,0.13,0.13,0.12,0.12
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,91.2,0.0,-7.7,0.0
,,,,,,
Human Capital,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,495.00","1,509.00","1,510.00","1,497.00","1,491.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,3.19,2.00,2.90,8.15,7.03
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-37.3,45.0,181.0,-13.8
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,100.00,100.00,100.00,100.00,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,0.0,0.0,0.0,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"36,556.00","19,685.00","31,942.00","40,833.00","60,527.00"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,-46.2,62.3,27.8,48.2
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,Yes,Yes,Yes
,,,,,,
Supply Chain,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,140.00,94.00
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,8.37,8.06
    Growth (YoY),PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,-3.7
,,,,,,
Governance,,,,,,
Audit Risk & Oversight,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.00,2.00,3.00,4.00,5.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.0,50.0,33.3,25.0
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.00,4.00,4.00,3.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.00,4.00,4.00,3.00,3.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.00,5.00,7.00,5.00,6.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.00,100.00,89.25,100.00,100.00
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.0,-10.8,12.0,0.0
,,,,,,
Board Composition,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.00,7.00,7.00,7.00,7.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.00,7.00,7.00,7.00,7.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.00,6.00,5.00,5.00,5.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.00,5.00,6.00,5.00,5.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.00,97.14,90.24,97.14,100.00
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-2.9,-7.1,7.6,2.9
,,,,,,
Compensation,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.00,2.00,2.00,2.00,2.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.00,1.00,2.00,1.00,2.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.00,100.00,83.34,100.00,100.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.0,-16.7,20.0,0.0
,,,,,,
Diversity,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,1.00,2.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.00,3.00,3.00,3.00,3.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,45.00,46.00,47.00,48.00,49.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,72.00,73.00,74.00,75.00,76.00
,,,,,,
Independence,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.00,4.00,4.00,4.00,4.00
,,,,,,
Nominations & Governance Oversight,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.00,2.00,2.00,2.00,2.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.00,1.00,2.00,1.00,2.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.00,100.00,83.34,100.00,100.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.0,-16.7,20.0,0.0
,,,,,,
Sustainability Governance,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes
,,,,,,
Tenure,,,,,,
Board Duration (Years),BOARD_DURATION,3.00,3.00,3.00,3.00,3.00
,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,
