,,,,,
Barnwell Industries Inc (BRN US) - Exec & Dir Comp,,,,,
,,,,,
In Millions of USD except Per Share,,FY 2011,FY 2012,FY 2013,FY 2022
Date of Last CEO and Equiv Change,COMP_LKD_LAST_CEO_&_EQUIV_CHG_DT,12/31/1980,12/31/1980,12/31/1980,12/31/2016
# CEO and Equiv Included in Comp,NUM_CEOS_EQUIV_INC_COMP_PD,1.000,1.000,1.000,1.000
CEO Tenure at Fiscal Year End,CEO_TENURE_AS_OF_FY_END,40.750,41.750,42.750,5.833
    Growth (YoY),CEO_TENURE_AS_OF_FY_END,—,2.454,2.395,—
,,,,,
Other C-Suite,,,,,
Total Comp Paid to CFO and Equiv,TOT_COMP_AW_TO_CFO_EQUIV,"744,366.000","833,771.000","487,001.000","365,000.000"
    Growth (YoY),TOT_COMP_AW_TO_CFO_EQUIV,—,12.011,-41.591,—
Total Comp Paid to COO and Equiv,TOT_COMP_AW_TO_COO_EQUIV,"852,738.000","929,656.000","603,289.000","409,070.000"
    Growth (YoY),TOT_COMP_AW_TO_COO_EQUIV,—,9.020,-35.106,—
,,,,,
Board Compensation,,,,,
Total Compensation Paid,TOTAL_BOD_COMPENSATION_AWARDED,—,—,—,"362,750.000"
  Fees Paid in Cash,TOTAL_BOD_FEES_PAID_IN_CASH,—,—,—,"321,750.000"
  Stock Awards Granted,TOTAL_BOD_STOCK_AWARDS_GIVEN,—,—,—,0.000
# of Board Changes in Fiscal Year,NUMBER_OF_BOD_CHANGES_DURING_FY,—,—,—,3.000
Date of Last Board Change,DATE_OF_LAST_BOD_CHANGE,n/a,n/a,n/a,07/01/2022
# Directors Included in Comp,NUM_DIR_INC_IN_CMPNSTN_PD,—,—,—,7.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,
