,,,,,,,,,,,,,,,,,,
Japan Petroleum Exploration Co Ltd (1662 JP) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Water Policy,WATER_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,595.5,575.0,729.0,753.3,825.4,807.4,786.0,722.0,699.3,708.0,824.7,"1,212.0","1,144.0","1,164.0","45,690.0","47,310.0","46,713.0"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-3.4,26.8,3.3,9.6,-2.2,-2.6,-8.1,-3.1,1.2,16.5,47.0,-5.6,1.7,"3,825.3",3.5,-1.3
Total Water Discharged,TOTAL_WATER_DISCHARGED,856.6,849.9,"1,009.7",954.7,"1,041.8","1,045.8","1,017.1",984.0,982.4,992.0,"1,390.0","1,341.0","1,494.3","1,817.0","46,687.0","48,266.0","47,631.0"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-0.8,18.8,-5.4,9.1,0.4,-2.8,-3.3,-0.2,1.0,40.1,-3.5,11.4,21.6,"2,469.5",3.4,-1.3
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—,—,—,50.00,80.00,280.00,560.00,570.00
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,—,—,—,—,60.0,250.0,100.0,1.8
,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
,,,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.1
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,-38.0,29.5,-43.0,-12.3,15.8,-36.4,-23.8,59.4,196.1,-51.0
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14.50,14.80,15.40
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2.1,4.1
,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-1.7
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.00,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.00,0.20,0.10
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-66.7
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—,—,—,—,0.05,0.10,0.10,0.28
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,113.3,-0.7,195.0
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,—,—,—,—,0.10,0.20,0.30,0.50
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51.7,58.0,82.0
,,,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,622.00","1,678.00","1,735.00","1,728.00","1,743.00","1,747.00","1,782.00","2,312.00","2,346.00","2,325.00","2,277.00","2,235.00","2,212.00","2,244.00","2,077.00","2,099.00","2,135.00"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,37.66,37.96,39.71,40.10,39.93,39.61,38.72,—,—,—,—,—,—,—,—,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,0.8,4.6,1.0,-0.4,-0.8,-2.2,—,—,—,—,—,—,—,—,—,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.1,0.2,0.3
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56.7,46.4
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,—,—,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,—,—,—,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,9.00,11.00,15.00,15.00,14.00,16.00,17.00,—,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,16.00,16.00,13.00,14.00,14.00,14.00,14.00,14.00,16.00,14.00,13.00,14.00,12.00,11.00,11.00,11.00,11.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,30.00,28.00,23.00,24.00,25.00,12.00,23.00,24.00,26.00,24.00,23.00,24.00,21.00,20.00,20.00,17.00,18.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,3.00,4.00,4.00,5.00,5.00,5.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,15.00,13.00,17.00,13.00,13.00,14.00,16.00,16.00,14.00,14.00,13.00,14.00,13.00,14.00,16.00,14.00,14.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,98.19,98.30,96.10,98.05
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.1,-2.2,2.0
,,,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,5.00,5.00,5.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,—,—,—,—,—,—,—,—,—,2.00,2.00,2.00,3.00,3.00,3.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,—,—,—,—,—,—,2.00,3.00,2.00,4.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,100.00,100.00,100.00,100.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,2.00,2.00,2.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,55.00,57.00,58.00,59.00,57.00,58.00,59.00,58.00,59.00,59.00,58.00,59.00,60.00,61.00,59.00,60.00,59.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,74.00,76.00,77.00,78.00,79.00,80.00,81.00,80.00,75.00,76.00,77.00,78.00,79.00,80.00,81.00,82.00,77.00
,,,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,3.00,4.00,4.00,5.00,5.00,5.00
,,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,5.00,5.00,5.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,—,—,—,—,—,—,—,—,2.00,2.00,2.00,3.00,3.00,3.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,—,—,—,—,—,—,—,—,—,2.00,3.00,2.00,4.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,100.00,100.00,100.00,100.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00
,,,,,,,,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,,,,
