,,,,,,,,,,,
Santos Ltd (STO AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.260,0.440,—,—,—,—,—,—,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,69.231,—,—,—,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,0.720,1.000,—,—,—,—,—,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,38.889,—,—,—,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.560,0.450,0.690,0.896,0.930,0.708,0.842,0.424,0.542,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-19.643,53.333,29.855,3.795,-23.871,18.927,-49.644,27.830,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"2,946.000","2,364.000","2,080.000","2,190.000","2,178.000","2,722.000","3,786.000","3,550.000","3,864.000","3,958.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"2,215.000","1,119.000","1,273.000","1,598.000","2,721.000",509.000,802.000,897.000,—,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,25.000,—,—,—,—,—,—,—,—,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,140.385,—,—,—,—,—,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,10.300,7.500,6.900,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,-27.184,-8.000,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,3.100,3.100,2.200,—,—,—,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,0.000,-29.032,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"23,632.000",—,—,"20,000.000","20,000.000","38,000.000","62,000.000",—,"71,484.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-66.654,—,—,—,0.000,90.000,63.158,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,12.000,13.000,14.000,15.000,16.000,17.000,18.000,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,8.333,7.692,7.143,6.667,6.250,5.882,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,4.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,88.890,90.000,85.350,91.660,100.000,93.750,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-11.110,1.249,-5.167,7.393,9.099,-6.250,6.667,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,8.000,9.000,8.000,8.000,9.000,9.000,10.000,10.000,10.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,13.000,8.000,9.000,10.000,12.000,11.000,11.000,12.000,14.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,8.000,7.000,7.000,8.000,8.000,9.000,9.000,9.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,16.000,13.000,15.000,17.000,7.000,9.000,19.000,11.000,15.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,86.890,94.780,91.850,87.500,100.000,98.760,96.110,99.090,98.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-10.275,9.080,-3.091,-4.736,14.286,-1.240,-2.683,3.101,-1.100,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,3.000,4.000,4.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,2.000,3.000,3.000,3.000,3.000,4.000,4.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,5.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,78.570,100.000,86.670,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,5.263,-21.430,27.275,-13.330,15.380,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,3.000,3.000,5.000,4.000,5.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,1.000,2.000,2.000,3.000,3.000,4.000,4.000,4.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,51.000,—,—,—,—,—,—,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,6.000,6.000,7.000,7.000,9.000,9.000,9.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,8.000,4.000,3.000,3.000,4.000,3.000,3.000,3.000,4.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,91.660,100.000,91.670,100.000,100.000,93.750,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,-8.340,9.099,-8.330,9.087,0.000,-6.250,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,No,No,No,No,No,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
