,,,,,,,,,,,
Braskem SA (BRKM3 BZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of BRL except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,n/a
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,23.000,23.000,25.000,27.000,30.000,30.000,31.000,—,40.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,0.000,8.696,8.000,11.111,0.000,3.333,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,22.000,22.000,31.000,22.070,23.000,23.000,24.000,25.000,26.000,26.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,4.762,0.000,40.909,-28.806,4.214,0.000,4.348,4.167,4.000,0.000
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,13.000,13.000,13.000,13.000,15.000,15.000
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,0.000,0.000,0.000,15.385,0.000
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,29.000,30.000,30.000,30.000,33.000,33.000
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,3.448,0.000,0.000,10.000,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,0.250,0.360
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,—,—,—,—,44.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,—,0.000,0.000,0.000,1.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.030,0.050,0.050,0.066,0.100,0.080,—,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,-62.500,66.667,0.000,32.000,51.515,-20.000,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,0.210,0.260,0.190,0.112,0.168,0.320
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,23.810,-26.923,-41.053,50.000,90.476
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,0.216,0.330,0.208,0.198,0.170,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,52.778,-36.970,-4.808,-14.141,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.190,0.130,0.140,0.200,0.210,0.260,0.190,0.172,0.170,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-9.524,-31.579,7.692,42.857,5.000,23.810,-26.923,-9.474,-1.163,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"8,126.000","7,995.000","7,656.000","7,713.000","8,008.000","7,940.000","7,993.000","8,312.000","8,668.000","8,569.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,"12,291.000","12,489.000","11,670.000","14,759.000","16,231.000","13,577.000","19,709.000","21,503.000",—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,9.240,8.600,—,—,—,—,5.900,8.200,6.200,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-14.444,-6.926,—,—,—,—,—,38.983,-24.390,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,98.800,98.800,98.900,82.000,81.100,80.600,80.500,80.300,79.900,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-0.704,0.000,0.101,-17.088,-1.098,-0.617,-0.124,-0.248,-0.498,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,25.000,19.000,19.000,21.200,27.200,29.900,8.600,10.800,20.000,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,-24.000,0.000,11.579,28.302,9.926,-71.237,25.581,85.185,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"244,992.000",—,—,—,—,—,"189,164.000","194,516.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,—,2.829
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,18.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,5.882,-83.333,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,9.000,8.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,9.000,6.000,7.000,4.000,6.000,6.000,6.000,6.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,11.000,9.000,8.000,11.000,10.000,10.000,10.000,6.000,10.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,11.000,—,14.000,17.000,—,—,28.000,25.000,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,2.000,2.000,3.000,6.000,3.000,2.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,43.000,44.000,49.000,44.000,45.000,44.000,45.000,56.000,49.000,50.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,68.000,67.000,76.000,69.000,62.000,76.000,78.000,79.000,73.000,75.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,2.000,2.000,2.000,4.000,4.000,3.000,4.000,4.000,5.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
