,,,,,,,,,,,
Petronas Gas Bhd (PTG MK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MYR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,8.577,-44.427,12.672,-4.042,-49.142,279.691,-44.817,65.261
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,5.000,5.000,4.000,5.000,3.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,3.000,3.000,4.000,4.000,3.000,4.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,8.000,6.000,4.000,5.000,5.000,6.000,7.000,7.000,5.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,95.000,95.450,86.670,96.870,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,-5.000,0.474,-9.199,11.769,3.231,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,8.000,7.000,9.000,8.000,8.000,10.000,9.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,9.000,7.000,9.000,9.000,9.000,8.000,10.000,10.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,7.000,6.000,8.000,7.000,7.000,9.000,8.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,6.000,5.000,5.000,5.000,6.000,7.000,5.000,7.000,6.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.220,97.900,100.000,100.000,97.290,89.580,100.000,97.800,92.650,98.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-2.780,0.699,2.145,0.000,-2.710,-7.925,11.632,-2.200,-5.266,5.774
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,2.000,3.000,4.000,3.000,4.000,4.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,2.000,2.000,4.000,4.000,3.000,3.000,4.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,93.750,94.440,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.250,0.736,5.887
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,3.000,3.000,4.000,4.000,4.000,4.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,—,—,—,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,52.000,53.000,54.000,47.000,47.000,47.000,48.000,49.000,50.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,76.000,77.000,72.000,73.000,74.000,70.000,71.000,72.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,3.000,3.000,5.000,4.000,4.000,6.000,5.000,4.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,2.000,3.000,4.000,3.000,4.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,2.000,2.000,4.000,4.000,3.000,3.000,4.000,5.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,93.750,94.440,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6.250,0.736,5.887
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
