,,,,,,,,,,,
Paramount Resources Ltd (POU CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,—,—,—,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,10.000,9.000,8.000,10.000,9.000,9.000,8.000,8.000,8.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,4.000,5.000,5.000,9.000,7.000,7.000,7.000,6.000,6.000,7.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,7.000,6.000,8.000,8.000,8.000,7.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,3.000,7.000,8.000,3.000,5.000,6.000,7.000,5.000,4.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.770,100.000,—,100.000,100.000,100.000,—,96.220,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-2.230,2.281,—,—,0.000,0.000,—,—,3.928,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.000,2.000,1.000,2.000,2.000,2.000,2.000,3.000,4.000,2.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,—,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,40.000,41.000,42.000,43.000,44.000,45.000,46.000,47.000,47.000,42.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,83.000,78.000,79.000,80.000,78.000,79.000,75.000,76.000,77.000,75.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,6.000,5.000,7.000,7.000,7.000,6.000,6.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,6.000,6.000,5.000,5.000,7.000,7.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,6.000,6.000,5.000,5.000,7.000,7.000,6.000,6.000,6.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,—,100.000,100.000,—,—,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,—,—,0.000,—,—,—,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
