,,,,,,,,,,,
Fonterra Co-operative Group Ltd (FSF NZ) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of NZD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,14.382,15.430,17.491,16.577,12.833,11.994,9.620,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,7.287,13.357,-5.226,-22.586,-6.538,-19.793,—
Plastic Packaging Recycled Content Target Indicatr,PLASTIC_PACK_RECYCL_CONT_TGT_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Plastic Packaging RRC Target Indicator,PLASTIC_PACK_RRC_TARGET_IND,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,"52,454.000","54,013.000","63,596.000","61,605.000","62,675.000","60,939.000","60,733.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,2.972,17.742,-3.131,1.737,-2.770,-0.338,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,"59,853.000","58,577.000","61,325.000","59,751.000","60,967.000","59,398.000","59,517.000",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,-2.132,4.691,-2.567,2.035,-2.574,0.200,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,"2,271.000","1,854.000","1,707.000","1,541.000","1,216.000",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,-18.362,-7.929,-9.725,-21.090,—
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,Yes
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,No,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,0.750,0.770,0.382,3.000,2.500,12.899,0.650,1.069
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,2.667,-50.390,685.340,-16.667,415.976,-94.961,64.517
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,25.000,30.000,29.000,29.000,32.000,35.000,35.000,40.100
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,20.000,-3.333,0.000,10.345,9.375,0.000,14.571
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,37.000,38.000,37.000,38.000,40.000,42.000,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,2.703,-2.632,2.703,5.263,5.000,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,27.000,27.000,27.000,28.000,29.000,32.000,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,0.000,0.000,3.704,3.571,10.345,—
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,90.000,87.000,88.000,96.000,94.000,91.000,97.000,95.000
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,-3.333,1.149,9.091,-2.083,-3.191,6.593,-2.062
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,96.000,96.000,96.000,96.000,96.000,95.000,97.000,96.000
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,0.000,0.000,0.000,0.000,-1.042,2.105,-1.031
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,-4.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,1.000,—,—,0.000,0.000,0.000,0.000,1.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,2.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,1.180,1.340,1.720,2.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,13.559,28.358,16.279
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.620,1.280,1.040,1.220,0.980,1.160,1.140,—,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-20.988,-18.750,17.308,-19.672,18.367,-1.724,—,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"22,000.000","21,300.000","22,269.000","22,358.000","20,685.000","20,278.000","19,354.000","19,608.000","17,993.000","16,441.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,16.600,11.400,11.100,14.400,11.100,10.300,11.900,11.700,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,-31.325,-2.632,29.730,-22.917,-7.207,15.534,-1.681,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,"346,417.000","501,879.000","430,356.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,44.877,-14.251,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,Yes,Yes,Yes,Yes,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,9.091,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,6.000,6.000,5.000,6.000,5.000,5.000,5.000,6.000,6.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,1.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,2.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,6.000,6.000,7.000,7.000,7.000,6.000,6.000,6.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,95.230,91.670,100.000,95.550,93.930,94.730,90.910,97.140,97.060,94.280
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,33.338,-3.738,9.087,-4.450,-1.695,0.852,-4.033,6.853,-0.082,-2.864
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,13.000,13.000,12.000,11.000,11.000,11.000,11.000,11.000,11.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,7.000,7.000,8.000,7.000,8.000,8.000,8.000,9.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,13.000,12.000,11.000,11.000,11.000,11.000,11.000,11.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,19.000,23.000,18.000,16.000,15.000,15.000,17.000,15.000,17.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.920,93.940,91.100,97.970,93.020,94.930,94.540,97.860,93.330,91.710
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,6.214,-3.075,-3.023,7.541,-5.053,2.053,-0.411,3.512,-4.629,-1.736
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,4.000,5.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,5.000,15.000,8.000,6.000,6.000,5.000,8.000,5.000,9.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,94.440,96.000,96.960,97.500,92.300,95.340,96.150,90.910,89.660,84.440
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,-3.248,1.652,1.000,0.557,-5.333,3.294,0.850,-5.450,-1.375,-5.822
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,1.000,1.000,2.000,2.000,2.000,2.000,5.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,3.000,2.000,2.000,3.000,4.000,4.000,4.000,4.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,4.000,4.000,4.000,5.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,5.000,1.000,1.000,6.000,6.000,5.000,8.000,5.000,9.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,94.440,96.000,100.000,100.000,92.300,95.340,96.150,90.910,89.660,84.440
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,-3.248,1.652,4.167,0.000,-7.700,3.294,0.850,-5.450,-1.375,-5.822
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
