,,,,,,,,,
Mesquite Energy Inc (SNECQ US) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of USD except Per Share,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
,,,,,,,,,
Environmental,,,,,,,,,
Air Quality,,,,,,,,,
,,,,,,,,,
Climate Change,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,No,No,No,No,No,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No
,,,,,,,,,
Energy,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,No,No,No,No,No,No,No
,,,,,,,,,
Materials & Waste,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,No,No,No
,,,,,,,,,
Supply Chain,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No
,,,,,,,,,
Water,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No
,,,,,,,,,
Social,,,,,,,,,
Community & Customers,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
,,,,,,,,,
Diversity,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,No,No
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No
,,,,,,,,,
Ethics & Compliance,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Health & Safety,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Human Capital,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,
Supply Chain,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,
Governance,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.0,50.0,33.3,-75.0,100.0,50.0,33.3
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,2.00,3.00,3.00,4.00,5.00,6.00,4.00,4.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,1.00,3.00,3.00,4.00,5.00,6.00,4.00,4.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,0.00,4.00,9.00,9.00,32.00,23.00,7.00,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,100.00,100.00,97.22,75.00,75.00,75.00,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,0.0,-2.8,-22.9,0.0,0.0,—
,,,,,,,,,
Board Composition,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,No,No,No,No
Board Size,BOARD_SIZE,2.00,5.00,5.00,6.00,7.00,8.00,8.00,10.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,2.00,5.00,5.00,6.00,6.00,8.00,7.00,6.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,1.00,3.00,3.00,4.00,5.00,6.00,6.00,8.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,0.00,6.00,8.00,6.00,5.00,7.00,25.00,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,100.00,100.00,100.00,75.00,75.00,75.00,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,0.0,0.0,-25.0,0.0,0.0,—
,,,,,,,,,
Compensation,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.00,3.00,3.00,4.00,5.00,6.00,4.00,4.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,3.00,3.00,4.00,5.00,6.00,4.00,4.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,1.00,1.00,11.00,2.00,7.00,10.00,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.00,100.00,100.00,75.00,75.00,75.00,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,0.0,0.0,-25.0,0.0,0.0,—
,,,,,,,,,
Diversity,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,38.00,39.00,40.00,41.00,42.00,41.00,42.00,43.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,48.00,70.00,71.00,72.00,73.00,74.00,75.00,76.00
,,,,,,,,,
Independence,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.00,3.00,3.00,4.00,5.00,6.00,6.00,8.00
,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.00,4.00,3.00,4.00,5.00,6.00,5.00,5.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,3.00,3.00,4.00,5.00,6.00,5.00,5.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,0.00,1.00,0.00,0.00,2.00,0.00,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,100.00,—,—,75.00,—,—
,,,,,,,,,
Sustainability Governance,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No
,,,,,,,,,
Tenure,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,
