,,,,,,,,,,,,,,,,,
NuVista Energy Ltd (NVA CN) - Overview,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,—,—,—,-19.3,15.5,37.3,74.8,—
,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,—,—,1.13,1.13,2.12,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,—,—,—,0.0,87.6,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,24.70,28.40,31.03,30.60,29.78,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,15.0,9.3,-1.4,-2.7,—
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—,—,—,12.00,10.00,10.00,—
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,—,—,—,—,—,—,—,-16.7,0.0,—
,,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—,—,0.00,—,0.00,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—,—,0.00,—,0.00,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,0.62,0.17,0.08,0.00,0.20,0.00,0.16,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,-72.7,-54.4,—,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,1.28,1.47,0.84,1.17,1.05,1.11,1.02,0.62,0.43,0.59,0.64,0.47,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,14.8,-42.9,39.3,-10.3,5.7,-8.1,-39.2,-30.6,37.2,8.5,-26.6,—
,,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,159.00,142.00,119.00,102.00,102.00,80.00,70.00,78.00,85.00,88.00,87.00,88.00,94.00,96.00
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,—,—,—,—,—,—,62.00,—
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.1,0.1,0.2,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,-29.1,-20.0,60.8,1.0,25.9,30.9,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,—,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,10.0,9.1,8.3,7.7,7.1,6.7,6.3,5.9,5.6,5.3,5.0
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.00,4.00,7.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,91.66,100.00,95.23,100.00,100.00,96.87,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,9.1,-4.8,5.0,0.0,-3.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.00,7.00,6.00,7.00,7.00,8.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,10.00,9.00,9.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.00,10.00,8.00,5.00,8.00,8.00,7.00,6.00,6.00,7.00,6.00,7.00,7.00,7.00,8.00,5.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.00,4.00,6.00,6.00,6.00,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,14.00,7.00,10.00,10.00,14.00,12.00,10.00,7.00,11.00,7.00,11.00,5.00,8.00,12.00,8.00,12.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,94.44,98.14,98.33,98.50,97.95,94.80,98.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.08
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,3.9,0.2,0.2,-0.6,-3.2,4.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9
,,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.00,5.00,4.00,4.00,5.00,3.00,3.00,3.00,3.00,6.00,3.00,3.00,3.00,3.00,3.00,3.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,88.23,100.00,100.00,91.67,100.00,95.83,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,13.3,0.0,-8.3,9.1,-4.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,49.00,50.00,49.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,66.00,67.00,68.00,69.00,70.00,71.00,72.00,73.00,63.00,64.00,65.00,66.00,67.00,68.00,69.00,69.00
,,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.00,4.00,6.00,6.00,6.00,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00
,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,,,,,,,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,,,
