,,,,,,,,,,,
ORLEN SA (PKN PW) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of PLN except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,0.070,0.150
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,114.286
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.172,0.174,0.190,0.206,0.180,0.140,0.220,0.162,0.230
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,1.163,9.195,8.421,-12.621,-22.222,57.143,-26.364,41.975
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"20,305.000","19,932.000","19,730.000","20,262.000","21,282.000","22,337.000","32,960.000","35,424.000","64,494.000","66,554.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,2.060,—,—,9.900,8.900,7.700,9.600,11.700,9.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,-10.101,-13.483,24.675,21.875,-23.077
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,40.000,39.000,48.000,48.000,50.000,53.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,-2.500,23.077,0.000,4.167,6.000
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"710,675.000","817,212.000","788,000.000","587,598.000","426,765.000","552,037.000","511,998.000","713,516.000","1,919,750.000","1,989,430.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-3.013,14.991,-3.575,-25.432,-27.371,29.354,-7.253,39.359,169.055,3.630
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,Yes,Yes,Yes,Yes,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,1.000,2.000,3.000,4.000,5.000,6.000,7.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,100.000,50.000,33.333,25.000,20.000,16.667
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,5.000,5.000,5.000,5.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,11.000,14.000,11.000,14.000,17.000,10.000,9.000,9.000,15.000,17.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,No,No,No,No,No
Board Size,BOARD_SIZE,9.000,9.000,7.000,7.000,9.000,10.000,9.000,9.000,9.000,8.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,5.000,6.000,6.000,7.000,7.000,8.000,8.000,10.000,11.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,9.000,9.000,7.000,7.000,9.000,10.000,9.000,9.000,9.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,10.000,13.000,14.000,21.000,15.000,13.000,11.000,15.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,99.000,99.000,99.000,99.000,99.000,97.000,96.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,0.000,0.000,0.000,0.000,-2.020,-1.031
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,1.000,1.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,3.000,6.000,8.000,15.000,8.000,8.000,8.000,11.000,7.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,2.000,3.000,5.000,6.000,3.000,4.000,4.000,4.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,5.000,6.000,6.000,6.000,6.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,4.000,4.000,4.000,5.000,5.000,5.000,4.000,5.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,1.000,1.000,2.000,2.000,3.000,3.000,3.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,3.000,6.000,8.000,15.000,8.000,8.000,5.000,11.000,7.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,—,—,—,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
