,,,,,,,,,,,
Equinor ASA (EQNR NO) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,3.000,13.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
Fatalities - Total,FATALITIES_TOTAL,2.000,3.000,14.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.220,0.220,0.220,0.240,0.220,0.160,0.180,0.200,0.200,0.200
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-21.429,0.000,0.000,9.091,-8.333,-27.273,12.500,11.111,0.000,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.340,0.460,0.560,0.520,0.380,0.360,0.340,0.360,0.300,0.320
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-15.000,35.294,21.739,-7.143,-26.923,-5.263,-5.556,5.882,-16.667,6.667
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.720,0.560,0.620,0.580,0.640,0.540,0.500,0.540,0.620,0.560
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-23.404,-22.222,10.714,-6.452,10.345,-15.625,-7.407,8.000,14.815,-9.677
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.540,0.540,0.560,0.560,0.500,0.460,0.480,0.500,0.480
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.000,3.704,0.000,-10.714,-8.000,4.348,4.167,-4.000
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"22,516.000","21,581.000","21,314.000","21,324.000","20,525.000","21,412.000","21,245.000","21,126.000","21,936.000","23,449.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"42,000.000","30,500.000","30,000.000","30,000.000","36,006.000","38,198.000","37,337.000","40,839.000","41,415.000","41,885.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,5.000,4.000,4.000,4.000,2.000,2.000,3.000,3.000,2.000,2.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,40.449,-20.000,0.000,0.000,-50.000,0.000,50.000,0.000,-33.333,0.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,68.000,70.000,73.000,73.000,73.000,73.000,73.000,73.000,72.000,71.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,3.030,2.941,4.286,0.000,0.000,0.000,0.000,0.000,-1.370,-1.389
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"990,704.000","1,001,360.000","579,200.000","688,330.000","771,740.000","612,383.000","369,663.000","437,308.000","581,304.000","703,470.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,1.076,-42.159,18.842,12.118,-20.649,-39.635,18.299,32.928,21.016
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000,1.000,2.000,3.000,4.000,5.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,50.000,33.333,25.000,20.000,16.667,-85.714,100.000,50.000,33.333,25.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,7.000,6.000,6.000,6.000,7.000,11.000,8.000,8.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,96.550,96.300,96.000,100.000,100.000,97.140,100.000,100.000,96.670,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-3.450,-0.259,-0.312,4.167,0.000,-2.860,2.944,0.000,-3.330,3.445
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,10.000,10.000,10.000,11.000,11.000,11.000,11.000,11.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,11.000,11.000,11.000,11.000,11.000,12.000,11.000,12.000,12.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,11.000,10.000,10.000,10.000,11.000,11.000,11.000,11.000,11.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,11.000,12.000,10.000,11.000,10.000,10.000,17.000,11.000,12.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.600,95.900,98.100,95.410,98.080,98.150,98.930,100.000,99.170,99.020
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-3.697,0.314,2.294,-2.742,2.798,0.071,0.795,1.082,-0.830,-0.151
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,5.000,5.000,6.000,6.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,3.000,3.000,4.000,4.000,5.000,5.000,5.000,5.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,7.000,5.000,6.000,6.000,5.000,6.000,6.000,6.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,96.000,95.000,100.000,100.000,100.000,96.670,96.970,88.890,96.880
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,-4.000,-1.042,5.263,0.000,0.000,-3.330,0.310,-8.332,8.989
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,2.000,3.000,3.000,3.000,3.000,3.000,6.000,4.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,5.000,5.000,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,45.000,46.000,47.000,48.000,49.000,50.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,70.000,71.000,72.000,73.000,74.000,75.000,76.000,67.000,67.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.000,6.000,6.000,7.000,8.000,8.000,8.000,8.000,8.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,14.000,22.000,19.000,16.000,18.000,19.000,19.000,21.000,16.000,21.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
