,,,,,,,,,,,
Senex Energy Pty Ltd (SXY AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,No,No,No,No,No,No,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,22.053,20.925,26.558,11.437
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,-5.115,26.920,-56.936
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,22.513,22.380,27.356,12.340
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,-0.591,22.234,-54.891
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,0.224,0.165,0.173,0.188
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,-26.339,4.848,8.671
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,48.980,125.029,370.457,923.621
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,155.265,196.297,149.319
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,95.000,92.500,121.667,61.667
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,-2.632,31.532,-49.315
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,13.889,8.333,8.333,2.778
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,—,-40.000,0.000,-66.667
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,—,—,0.003,0.003
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,—,—,-2.990
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,—,0.000,0.001
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,—,176.923
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,0.003,0.002
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,-20.000
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,17.100,19.000,24.100,21.600,69.800,92.000,123.000,350.000,"1,357.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,11.111,26.842,-10.373,223.148,31.805,33.696,184.553,287.714
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,—,552.000
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,No,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,28.000,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,20.000,24.000,23.000,25.000,30.000,29.000,30.760,29.260,16.000
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,20.000,-4.167,8.696,20.000,-3.333,6.069,-4.876,-45.318
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,27.000,28.000,27.000,31.000,29.000,31.000,30.000,32.000,30.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,3.704,-3.571,14.815,-6.452,6.897,-3.226,6.667,-6.250
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,0.000,0.000,0.000,0.000,—,—,—,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,0.000,0.000,0.000,0.000,—,—,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,0.000,0.000,0.000,0.000,—,—,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.575,0.184,0.208,0.358,0.264,1.166,0.000,0.660,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-68.000,13.043,72.115,-26.257,341.667,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,1.240,0.520,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,-58.065,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,0.620,0.580,0.000
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,-6.452,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,1.724,1.292,1.248,0.358,0.790,1.750,0.620,1.320,0.000
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-25.058,-3.406,-71.314,120.670,121.519,-64.571,112.903,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,3.120,2.060,0.000
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,-33.974,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,1.880,1.740,0.000
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,-7.447,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,160.000,197.000,185.000,146.000,169.000,180.000,190.000,171.000,114.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,13.000,—,—,—,—,21.000,27.000,65.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,28.571,140.741
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,3.000,3.000,2.000,2.000,2.000,2.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,3.000,4.000,4.000,5.000,6.000,6.000,6.000,6.000,6.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,62.500,100.000,91.670,90.000,85.000,6.000,94.440,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,60.000,-8.330,-1.822,-5.556,-92.941,"1,474.000",5.887,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,5.000,5.000,6.000,7.000,7.000,7.000,7.000,7.000,6.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,4.000,8.000,6.000,7.000,7.000,6.000,6.000,6.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,4.000,5.000,6.000,6.000,6.000,6.000,6.000,5.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,7.000,9.000,8.000,10.000,15.000,10.000,15.000,12.000,14.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,83.330,92.850,89.090,94.200,92.200,99.040,95.650,95.090,97.290,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-10.982,11.424,-4.050,5.736,-2.123,7.419,-3.423,-0.585,2.314,2.785
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,6.000,5.000,3.000,3.000,3.000,3.000,3.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,3.000,3.000,2.000,2.000,3.000,3.000,3.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.000,1.000,6.000,4.000,2.000,4.000,4.000,5.000,5.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,90.320,90.000,91.670,88.230,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,-9.680,-0.354,1.856,-3.753,13.340,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,2.000,1.000,1.000,2.000,2.000,2.000,2.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,1.000,1.000,1.000,2.000,1.000,1.000,1.000,2.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,2.000,2.000,3.000,4.000,4.000,4.000,4.000,4.000,5.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,6.000,5.000,3.000,3.000,3.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,3.000,3.000,2.000,2.000,3.000,4.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,1.000,6.000,4.000,2.000,4.000,4.000,1.000,1.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,90.320,90.000,91.670,88.230,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.000,-9.680,-0.354,1.856,-3.753,13.340,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,No,No,No,No,No,No,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
