,,,,,,,,,,,
Pembina Pipeline Corp (PPL CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,0.070,0.060,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,-14.286,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.000,0.290,0.140,0.190,0.250,0.340,0.200,0.494,0.334,0.380
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-51.724,35.714,31.579,36.000,-41.176,147.000,-32.389,13.772
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,1.050,1.020,1.140,1.600,1.220,0.910,1.122,1.285,1.550
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,-2.857,11.765,40.351,-23.750,-25.410,23.297,14.528,20.623
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,0.740,0.670,0.770
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,-9.459,14.925
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,111.000","1,323.000","1,387.000","1,603.000","1,980.000","2,642.000","2,463.000","2,349.000","2,669.000","2,837.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,426.000,417.000,539.000,750.000,823.000,885.000,961.000,"1,371.000",433.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,7.800,7.800,8.600,10.900,11.000,9.000,8.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,0.000,10.256,26.744,0.917,-18.182,-11.111
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,1.620,1.360,1.300,1.000,1.900,1.433,2.320,2.590,5.130,6.340
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-7.955,-16.049,-4.412,-23.077,90.000,-24.574,61.887,11.638,98.069,23.587
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000,26.000,27.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,5.882,5.556,5.263,5.000,4.762,4.545,4.348,4.167,4.000,3.846
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,6.000,4.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,95.230,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,-4.770,5.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,10.000,10.000,13.000,12.000,11.000,11.000,10.000,12.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.000,12.000,12.000,8.000,7.000,7.000,7.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,9.000,9.000,12.000,11.000,10.000,10.000,10.000,11.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,7.000,8.000,13.000,6.000,8.000,10.000,14.000,8.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,94.200,100.000,99.210,100.000,100.000,100.000,100.000,98.900,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-5.800,6.157,-0.790,0.796,0.000,0.000,0.000,-1.100,1.112
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,4.000,4.000,5.000,4.000,5.000,5.000,5.000,5.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,4.000,4.000,5.000,4.000,5.000,5.000,5.000,5.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,6.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,96.550,100.000,100.000,100.000,100.000,100.000,100.000,95.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,-3.450,3.573,0.000,0.000,0.000,0.000,0.000,-5.000,5.263
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,3.000,3.000,3.000,4.000,4.000,5.000,5.000
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,52.000,53.000,54.000,51.000,52.000,57.000,57.000,58.000,43.000,44.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,70.000,71.000,72.000,71.000,72.000,70.000,71.000,72.000,70.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,9.000,12.000,11.000,10.000,10.000,10.000,11.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,4.000,4.000,4.000,4.000,5.000,5.000,5.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,4.000,3.000,3.000,5.000,5.000,5.000,4.000,4.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
