,,,,,,,,,,,
ENEOS Holdings Inc (5020 JP) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Billions of JPY except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,17.141,-9.078,23.349,-16.518,-1.418,-1.166,-18.600,5.411,-0.268,-14.457
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"24,620.000","25,580.000","26,420.000","26,250.000","24,420.000","22,280.000","17,753.100","19,920.000","25,550.000","23,140.000"
    Growth (YoY),CO2_SCOPE_1,—,3.899,3.284,-0.643,-6.971,-8.763,-20.318,12.206,28.263,-9.432
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"2,980.000","3,070.000",—,—,—,—,—,—,—,—
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,—,3.020,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,"26,456.301","26,403.801","24,423.000","22,698.000","17,875.000","21,099.600","26,736.699","24,164.400"
    Growth (YoY),GHG_SCOPE_1,—,—,—,-0.198,-7.502,-7.063,-21.249,18.040,26.717,-9.621
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,6.000,0.825,0.508,0.596,0.610,5.734,—,—
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,-86.250,-38.482,17.502,2.273,840.154,—,—
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,"3,130.000","3,114.670","3,097.010","3,124.400","2,695.800","2,365.540","1,190.000","1,250.000"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,-0.490,-0.567,0.884,-13.718,-12.251,-49.694,5.042
GHG Scope 3,GHG_SCOPE_3,—,—,—,"264,064.000","247,697.000","239,945.000","179,748.000","191,035.000","210,186.000","191,437.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,-6.198,-3.130,-25.088,6.279,10.025,-8.920
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,1.000,1.000,1.000,—,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.000,0.000,—,—
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"113,321.000","119,682.000","118,357.000","126,900.000","122,256.000","114,405.000","100,996.000","101,845.000","119,342.000","107,408.000"
    Growth (YoY),ENERGY_CONSUMPTION,24.913,5.613,-1.107,7.218,-3.660,-6.422,-11.721,0.841,17.180,-10.000
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,0.039,—,0.309,—,—
Electricity Used,ELECTRICITY_USED,"4,241.000","4,338.000","4,633.000","4,569.000","4,216.000","12,906.700","15,257.100","4,430.000","3,527.000","3,197.000"
    Growth (YoY),ELECTRICITY_USED,—,2.287,6.800,-1.381,-7.726,206.136,18.211,-70.964,-20.384,-9.356
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,0.039,0.000,0.309,—,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,2.565,0.000,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,"200,765.000","152,118.000","414,570.000",—,—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,-24.231,172.532,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,"1,194.170","8,396.900","9,807.890",—,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,603.158,16.804,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,"1,759.650","1,750.050","1,741.040","1,535.180","1,648.550","1,829.200","4,144.930","3,209.760","3,691.030","3,481.740"
    Growth (YoY),TOTAL_WASTE,—,-0.546,-0.515,-11.824,7.385,10.958,126.598,-22.562,14.994,-5.670
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,9.622,9.896,11.765,9.304,14.035,15.151,28.756,26.243,30.085,41.498
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,36.270,2.848,18.886,-20.918,50.849,7.952,89.796,-8.739,14.640,37.936
Raw Materials Used,RAW_MAT_USED,—,—,—,"2,659.000","2,711.000","2,699.000","1,825.000","1,575.000","1,856.000",—
    Growth (YoY),RAW_MAT_USED,—,—,—,—,1.956,-0.443,-32.382,-13.699,17.841,—
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,9.480,9.100,9.740,9.530,11.300,12.930,—
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,—,—,—,-4.008,7.033,-2.156,18.573,14.425,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,180,360.000","1,148,930.000","1,372,520.000","1,847,400.000","1,735,400.000","1,717,560.000","1,521,780.000","1,468,580.000","1,536,120.000","1,513,830.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-1.604,-2.663,19.461,34.599,-6.063,-1.028,-11.399,-3.496,4.599,-1.451
Total Water Discharged,TOTAL_WATER_DISCHARGED,"344,650.000","346,210.000","376,040.000","1,813,940.000","1,825,880.000","1,623,890.000","1,469,390.000","1,445,080.000","1,455,860.000","1,452,740.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,0.453,8.616,382.380,0.658,-11.063,-9.514,-1.654,0.746,-0.214
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,2.800,2.900,2.900,3.000,3.200,3.200,3.600,1.600,2.800,1.900
    Growth (YoY),COMMUNITY_SPENDING,—,3.571,0.000,3.448,6.667,0.000,12.500,-55.556,75.000,-32.143
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.984,1.055,2.600,2.500,2.700,3.200,3.900,4.400,5.300,5.600
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,7.250,146.380,-3.846,8.000,18.519,21.875,12.821,20.455,5.660
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,11.300,10.900,10.900,11.600,12.400,13.200,13.900,13.900
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,-3.540,0.000,6.422,6.897,6.452,5.303,0.000
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,2.200,2.300,2.400,2.360,2.500,2.470,2.440,2.570
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,4.545,4.348,-1.667,5.932,-1.200,-1.215,5.328
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,3.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,3.000,1.000,2.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.060,0.030,0.070,0.080,0.078,0.008,0.070,0.052,0.038,0.030
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,-50.000,133.333,14.286,-2.500,-89.744,775.000,-25.714,-26.923,-21.053
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,0.074,0.126,0.144,0.102,0.090
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,70.270,14.286,-29.167,-11.765
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.100,0.000,0.100,0.100,—,—,—,0.100,0.000,0.000
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-51.220,115.000,-32.558,—,—,—,—,-40.541,-9.091
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,0.222,0.162,0.250,0.202,0.300,0.226,0.200,0.188
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,-27.027,54.321,-19.200,48.515,-24.667,-11.504,-6.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,0.394,0.372,0.426,0.518,0.490
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,-5.584,14.516,21.596,-5.405
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"39,174.000","37,860.000","11,093.000","11,213.000","11,151.000","11,381.000","11,640.000","11,936.000","11,618.000","12,434.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,536.000,505.000,563.000,744.000,702.000,736.000,692.000,726.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,1.600,1.800,3.100,2.200,3.800,4.300,3.400,4.200
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,12.500,72.222,-29.032,72.727,13.158,-20.930,23.529
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,80.410,72.600,83.650,83.330,99.800,99.800,99.800,99.900
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,-9.713,15.220,-0.383,19.765,0.000,0.000,0.100
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"114,966.000","108,367.000","120,962.000","124,176.000","51,981.000","94,518.000","67,003.000","79,279.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,-5.740,11.623,2.657,-58.139,81.832,-29.111,18.322
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,65.000,66.000,67.000,68.000,69.000,70.000,71.000,72.000,73.000,74.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,1.563,1.538,1.515,1.493,1.471,1.449,1.429,1.408,1.389,1.370
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,—,11.000,15.000,14.000,15.000,15.000,17.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,96.400,100.000,98.480,100.000,98.670,98.700
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,3.734,-1.520,1.543,-1.330,0.030
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,14.000,14.000,16.000,18.000,17.000,16.000,16.000,17.000,16.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.000,9.000,12.000,11.000,10.000,18.000,14.000,13.000,13.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,4.000,4.000,6.000,6.000,6.000,6.000,6.000,6.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,13.000,14.000,14.000,15.000,14.000,14.000,11.000,14.000,14.000,14.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.000,98.000,99.000,98.600,97.300,99.600,98.300,100.000,98.565,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,2.083,1.020,-0.404,-1.318,2.364,-1.305,1.729,-1.435,1.456
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,6.000,6.000,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.000,1.000,2.000,3.000,4.000,5.000,3.000,3.000,6.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,95.700,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,-4.300,4.493,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,2.000,3.000,3.000,3.000,3.000,3.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,57.000,58.000,54.000,55.000,58.000,56.000,57.000,56.000,57.000,55.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,72.000,73.000,74.000,75.000,76.000,77.000,71.000,72.000,73.000,72.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,4.000,6.000,6.000,6.000,6.000,6.000,6.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,4.000,6.000,6.000,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,1.000,3.000,3.000,4.000,5.000,4.000,6.000,7.000,7.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,95.700,100.000,100.000,100.000,96.430,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,0.000,-4.300,4.493,0.000,0.000,-3.570,3.702
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
