,,,,,,,,,
Italgas SpA (IG IM) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of EUR except Per Share,,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,27.1,—,—
GHG Scope 1,GHG_SCOPE_1,520.0,513.9,515.1,165.7,173.1,160.5,147.6,149.7
    Growth (YoY),GHG_SCOPE_1,—,-1.2,0.2,-67.8,4.4,-7.3,-8.0,1.4
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,9.0,10.4,9.1,8.8,7.3,6.4,6.2,5.6
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,15.6,-12.7,-3.1,-17.4,-11.9,-3.1,-9.7
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,4.5,12.9,0.2,0.2,6.5,0.6
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,187.7,-98.3,-11.1,"3,150.0",-90.8
GHG Scope 3,GHG_SCOPE_3,186.0,133.0,193.6,287.6,196.5,152.1,142.2,135.0
    Growth (YoY),GHG_SCOPE_3,—,-28.5,45.5,48.6,-31.7,-22.6,-6.5,-5.1
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,1.00,—,—,2.00,2.00,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,0.0,—
,,,,,,,,,
Energy,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,159.7,164.3,156.0,163.8,164.5,165.9,133.5,118.1
    Growth (YoY),ENERGY_CONSUMPTION,—,2.9,-5.0,5.0,0.4,0.9,-19.5,-11.6
Renewable Energy Use,RENEW_ENERGY_USE,—,—,0.0,0.0,0.0,25.5,23.2,16.7
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,-8.9,-28.2
Electricity Used,ELECTRICITY_USED,27.2,31.3,28.7,27.8,28.0,26.1,23.8,17.9
    Growth (YoY),ELECTRICITY_USED,—,15.3,-8.4,-3.1,0.8,-6.7,-9.0,-24.8
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,0.0,0.0,0.0,1.4,—,—,—,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,0.0,7.7,"3,450.0",—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,"1,659.7","1,736.9","1,777.7","12,189.1","11,998.9","12,860.7","9,465.2","8,766.0"
    Growth (YoY),NAT_GAS_USED,—,4.6,2.4,585.7,-1.6,7.2,-26.4,-7.4
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,3.0,3.3,589.5,1.3,0.9,0.8,1.1,1.1
    Growth (YoY),OIL_DIESEL_USED,—,9.8,"17,937.7",-99.8,-32.1,-4.0,32.1,2.5
,,,,,,,,,
Materials & Waste,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0
    Growth (YoY),HAZARDOUS_WASTE,—,539.8,-99.3,-40.3,461.4,-60.9,-75.0,476.5
Total Waste,TOTAL_WASTE,20.5,14.4,0.8,0.6,0.6,0.4,0.2,0.4
    Growth (YoY),TOTAL_WASTE,—,-29.6,-94.4,-20.0,-2.7,-44.0,-54.0,145.0
Waste Recycled,WASTE_RECYCLED,4.7,5.2,—,—,—,—,0.2,0.4
    Growth (YoY),WASTE_RECYCLED,—,10.9,—,—,—,—,—,56.7
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,
Supply Chain,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Water,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,167.0,—,156.5,138.3,99.5,76.0,69.1,137.2
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,-11.7,-28.0,-23.6,-9.2,98.6
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,156.5,138.3,99.5,76.0,69.1,137.2
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,-11.7,-28.0,-23.6,-9.2,98.6
,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,
Social,,,,,,,,,
Community & Customers,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,0.8,0.7,3.1,1.3,1.8,2.0
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,-8.8,347.0,-58.5,39.1,9.1
,,,,,,,,,
Diversity,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,13.80,17.20,19.70,21.80
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,24.6,14.5,10.7
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,12.30,12.70,14.30,14.90,17.20,23.10,25.70,30.20
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,3.3,12.6,4.2,15.4,34.3,11.3,17.5
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,10.70,11.60,12.40,14.10,15.10,16.40,19.70,20.30
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,8.4,6.9,13.7,7.1,8.6,20.1,3.0
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,89.70,90.30,89.80,—,—,—,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,0.7,-0.6,—,—,—,—
,,,,,,,,,
Ethics & Compliance,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Health & Safety,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fatalities - Total,FATALITIES_TOTAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,0.61,2.02,1.60
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,231.1,-20.8
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,1.71,2.03,0.85
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,18.7,-58.1
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,1.07,2.02,1.22
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,88.8,-39.6
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.49,0.82,0.27,0.20,—,—,—,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,67.3,-67.1,-27.4,—,—,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.76,0.85,0.28,0.37,—,—,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,11.8,-67.1,32.1,—,—,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.28,0.27,—,—,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,-2.9,—,—,—,—
,,,,,,,,,
Human Capital,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"3,570.00","3,584.00","3,614.00","4,096.00","3,985.00","3,904.00","4,238.00","4,297.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.70,4.00,9.80,10.90,10.70,13.20,17.40,7.90
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-68.5,145.0,11.2,-1.8,23.4,31.8,-54.6
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,57.00,54.00,100.00,100.00,100.00,100.00,98.80,98.43
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-5.3,85.2,0.0,0.0,0.0,-1.2,-0.4
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"113,115.00","66,000.00","67,537.00","84,038.00","75,948.00","112,379.00","132,396.00","173,330.00"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,-41.7,2.3,24.4,-9.6,48.0,17.8,30.9
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No
,,,,,,,,,
Supply Chain,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,
Governance,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.00,8.00,9.00,1.00,1.00,2.00,3.00,4.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,14.3,12.5,-88.9,0.0,100.0,50.0,33.3
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,8.00,10.00,9.00,14.00,12.00,14.00,10.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,87.50,100.00,100.00,100.00,100.00,100.00,97.50
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,14.3,0.0,0.0,0.0,0.0,-2.5
,,,,,,,,,
Board Composition,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,2.00,2.00,2.00,7.00,7.00,10.00,10.00,10.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,10.00,7.00,10.00,12.00,15.00,14.00,12.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,93.25,96.82,100.00,97.22,99.26,99.01,97.20
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,3.8,3.3,-2.8,2.1,-0.3,-1.8
,,,,,,,,,
Compensation,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,1.00,7.00,14.00,9.00,11.00,13.00,17.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.00,95.23,100.00,100.00,100.00,100.00,96.50
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,-4.8,5.0,0.0,0.0,0.0,-3.5
,,,,,,,,,
Diversity,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,40.00,41.00,40.00,41.00,45.00,44.00,45.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,61.00,62.00,64.00,65.00,66.00,65.00,66.00
,,,,,,,,,
Independence,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.00,4.00,4.00,5.00,5.00,6.00,4.00,4.00
,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,1.00,7.00,14.00,9.00,11.00,13.00,17.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.00,95.23,100.00,100.00,100.00,100.00,96.50
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,-4.8,5.0,0.0,0.0,0.0,-3.5
,,,,,,,,,
Sustainability Governance,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No
,,,,,,,,,
Tenure,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,
