,,,,,,,,,,,
Petroleos Mexicanos (1232Z MM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MXN except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,—,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,No,No,No,No,No
Board Size,BOARD_SIZE,9.000,9.000,9.000,10.000,9.000,10.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,39.000,39.000,42.000,9.000,9.000,6.000,6.000,5.000,5.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,9.000,9.000,10.000,9.000,10.000,9.000,9.000,9.000,9.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,3.000,3.000,0.000,2.000,1.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,3.000,2.000,3.000,4.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,40.000,41.000,42.000,53.000,53.000,46.000,45.000,44.000,43.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,73.000,74.000,82.000,88.000,84.000,85.000,86.000,81.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,5.000,5.000,4.000,5.000,5.000,4.000,4.000,4.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,Yes,Yes,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
