,,,,,,,,,,,
Trecora LLC (TREC US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,n/a,n/a,n/a,n/a,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,Yes
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,—,—,—,324.000,280.000,270.000,263.000,247.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,0.000,0.000,0.000,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,50.000,33.333,25.000,20.000,16.667,14.286,12.500,11.111,10.000,9.091
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,3.000,3.000,3.000,2.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,3.000,3.000,3.000,2.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,6.000,5.000,9.000,6.000,9.000,7.000,9.000,6.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,6.000,6.000,6.000,7.000,8.000,7.000,6.000,7.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,5.000,5.000,5.000,6.000,5.000,5.000,5.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,5.000,4.000,6.000,7.000,6.000,5.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,14.000,6.000,7.000,7.000,5.000,5.000,13.000,9.000,7.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,—,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,—,—,0.000,0.000,0.000,0.000,0.000,33.333,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,No,No,No,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,No,No,No,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,5.000,6.000,5.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,5.000,6.000,5.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,7.000,8.000,9.000,10.000,8.000,9.000,6.000,7.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,1.000,2.000,2.000,2.000,3.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,—,75.000,75.000,75.000,75.000,75.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,58.000,59.000,60.000,60.000,59.000,60.000,61.000,47.000,48.000,49.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,76.000,77.000,73.000,74.000,75.000,74.000,75.000,73.000,74.000,75.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,4.000,5.000,5.000,5.000,4.000,5.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,4.000,4.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,2.000,2.000,5.000,6.000,7.000,5.000,6.000,4.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
