,,,,,,,,,,,
BP PLC (BP/ LN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,2.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,3.000,1.000,3.000,0.000,1.000,1.000,0.000,1.000,2.000,1.000
Fatalities - Total,FATALITIES_TOTAL,3.000,1.000,3.000,1.000,1.000,2.000,1.000,1.000,4.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.091,0.063,0.050,0.056,0.046,0.042,0.031,0.035,0.082,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,22.973,-30.769,-20.635,12.000,-17.857,-8.696,-26.190,12.903,134.286,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.072,0.059,0.052,0.054,0.049,0.050,0.054,0.064,0.058,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,9.091,-18.056,-11.864,3.846,-9.259,2.041,8.000,18.519,-9.375,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.081,0.061,0.051,0.055,0.048,0.047,0.044,0.051,0.068,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,15.714,-24.691,-16.393,7.843,-12.727,-2.083,-6.383,15.909,33.333,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.270,0.200,0.190,0.200,0.150,0.128,0.094,0.117,0.173,0.270
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,8.000,-25.926,-5.000,5.263,-25.000,-14.667,-26.563,24.468,47.863,56.069
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.340,0.280,0.220,0.230,0.230,0.193,0.163,0.204,0.196,0.278
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-5.556,-17.647,-21.429,4.545,0.000,-16.087,-15.544,25.153,-3.922,41.837
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.310,0.240,0.210,0.218,0.198,0.166,0.132,0.164,0.187,0.274
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,0.000,-22.581,-12.500,3.810,-9.174,-16.162,-20.482,24.242,14.024,46.524
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"84,500.000","82,600.000","74,500.000","74,000.000","73,000.000","70,100.000","63,600.000","65,900.000","67,600.000","87,800.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.000,16.000,16.000,12.000,12.000,18.000,20.000,24.000,24.000,23.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-20.000,33.333,0.000,-25.000,0.000,50.000,11.111,20.000,0.000,-4.167
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,106.000,107.000,108.000,109.000,1.000,2.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,0.952,0.943,0.935,0.926,-99.083,100.000,50.000,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,5.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,5.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,13.000,11.000,14.000,13.000,9.000,8.000,10.000,9.000,10.000,9.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,94.200,94.540,100.000,100.000,90.620,96.870,97.670,97.220,97.500,97.720
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-3.789,0.361,5.775,0.000,-9.380,6.897,0.826,-0.461,0.288,0.226
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,14.000,15.000,14.000,13.000,14.000,12.000,12.000,10.000,11.000,12.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,11.000,10.000,10.000,13.000,13.000,12.000,9.000,11.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,13.000,12.000,11.000,12.000,10.000,10.000,8.000,9.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,13.000,11.000,11.000,9.000,9.000,10.000,11.000,10.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.800,96.410,98.000,97.970,94.400,99.120,96.550,98.330,99.030,93.950
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-0.695,0.637,1.649,-0.031,-3.644,5.000,-2.593,1.844,0.712,-5.130
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,5.000,4.000,5.000,4.000,6.000,4.000,4.000,4.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,5.000,4.000,5.000,4.000,6.000,4.000,4.000,4.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,5.000,11.000,8.000,7.000,9.000,9.000,6.000,8.000,8.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,—,97.720,97.050,93.540,93.180,88.890,100.000,100.000,97.500
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,—,—,-0.686,-3.617,-0.385,-4.604,12.499,0.000,-2.500
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,0.000,0.000,2.000,2.000,4.000,4.000,6.000,7.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,3.000,3.000,3.000,5.000,5.000,5.000,4.000,5.000,6.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,53.000,55.000,55.000,56.000,56.000,57.000,—,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,72.000,71.000,72.000,73.000,74.000,70.000,—,—,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,11.000,12.000,11.000,10.000,11.000,9.000,9.000,7.000,8.000,10.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,6.000,7.000,6.000,5.000,7.000,6.000,4.000,4.000,3.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,6.000,5.000,4.000,6.000,5.000,3.000,3.000,2.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,7.000,5.000,3.000,3.000,6.000,7.000,4.000,6.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,—,100.000,100.000,90.000,100.000,97.370,100.000,100.000,95.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,9.087,—,—,0.000,-10.000,11.111,-2.630,2.701,0.000,-5.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
