,,,,,,,
Arabian Drilling Co (ARABIAND AB) - Overview,,,,,,,
,,,,,,,
In Millions of SAR except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,15.693,4.763
,,,,,,,
,,,,,,,
Supply Chain,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,
Water,,,,,,,
Water Policy,WATER_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Water Consumption,WATER_CONSMPTN,—,—,—,426.208,501.540,752.928
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,17.675,50.123
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,"10,395,300.000",—,—
,,,,,,,
Social,,,,,,,
Community & Customers,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,n/a,n/a,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,1.334,0.434
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,-67.464
,,,,,,,
Diversity,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,No,Yes,Yes
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,0.000,0.000,0.000,1.111,0.000,—
,,,,,,,
Ethics & Compliance,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Indep Directors,ANTI_BRIBERY_ETHICS_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,
Health & Safety,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.000,1.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,0.000,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,0.000,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.200,0.040,0.094
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-80.000,135.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,0.000,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.220,0.330,0.940
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,50.000,184.848
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.000,—,—
,,,,,,,
Human Capital,,,,,,,
Training Policy,TRAINING_POLICY,n/a,n/a,n/a,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,n/a,n/a,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,—,"4,190.000","4,779.000","5,650.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,11.700,11.000,14.700
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,-5.983,33.636
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"282,310.000","1,028,160.000","838,608.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,264.195,-18.436
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,No,Yes,Yes
,,,,,,,
Supply Chain,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,
Governance,,,,,,,
Audit Risk & Oversight,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,—,—,4.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,—,5.000,6.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,94.700,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,5.597
,,,,,,,
Board Composition,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,No,No,Yes
Board Size,BOARD_SIZE,—,—,—,7.000,7.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,—,—,2.000,1.000,1.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,—,—,5.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,—,—,4.000,4.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,100.000,100.000,97.778
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,0.000,-2.222
,,,,,,,
Compensation,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,—,—,—,0.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,3.000,7.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,88.880,95.230
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,7.144
,,,,,,,
Diversity,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,—,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,—,—,—,0.000,1.000,1.000
,,,,,,,
Independence,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,—,—,—,0.000,1.000,3.000
,,,,,,,
Nominations & Governance Oversight,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,—,—,0.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,3.000,7.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,88.880,95.230
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,7.144
,,,,,,,
Sustainability Governance,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,n/a,n/a,No,No,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,n/a,n/a,Yes,Yes,Yes
,,,,,,,
Tenure,,,,,,,
,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,
