,,,,,,,,,,,
Teck Resources Ltd (TECK/B CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,1.000,1.000,2.000,1.000,0.000,1.000
Fatalities - Total,FATALITIES_TOTAL,2.000,0.000,0.000,0.000,2.000,1.000,2.000,2.000,0.000,2.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.430,0.590,0.670,0.580,0.630,0.600,0.750,0.700,0.700
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,37.209,13.559,-13.433,8.621,-4.762,25.000,-6.667,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,0.190,0.620,0.440,0.380,0.140,0.100,0.070,0.080
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,226.316,-29.032,-13.636,-63.158,-28.571,-30.000,14.286
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.400,0.430,0.420,0.450,0.360,0.340,0.290,0.270,0.220,0.270
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,17.647,7.500,-2.326,7.143,-20.000,-5.556,-14.706,-6.897,-18.519,22.727
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,1.240,1.360,1.400,1.240,1.340,1.210,1.460,1.250,1.350
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,9.677,2.941,-11.429,8.065,-9.701,20.661,-14.384,8.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,0.750,0.580,0.770,0.460,0.490,0.350,0.300,0.370
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,-22.667,32.759,-40.260,6.522,-28.571,-14.286,23.333
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.010,1.240,1.110,1.010,1.010,0.820,0.730,0.640,0.530,0.680
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-19.841,22.772,-10.484,-9.009,0.000,-18.812,-10.976,-12.329,-17.188,28.302
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"10,357.000","10,037.000","9,799.000","10,109.000","10,710.000","10,613.000","10,452.000","11,280.000","12,763.000","13,154.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.000,10.000,7.000,9.000,8.000,10.000,10.000,8.000,9.500,10.100
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,50.000,-16.667,-30.000,28.571,-11.111,25.000,0.000,-20.000,18.750,6.316
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,58.000,62.000,60.000,58.000,57.000,56.000,53.500,51.000,51.000,53.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,3.571,6.897,-3.226,-3.333,-1.724,-1.754,-4.464,-4.673,0.000,3.922
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,32.000,38.000,43.000,48.000,34.000,36.000,46.000,67.000
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,18.750,13.158,11.628,-29.167,5.882,27.778,45.652
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"613,494.000","616,377.000","739,628.000","907,879.000","926,054.000","801,445.000","508,987.000","606,242.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,0.470,19.996,22.748,2.002,-13.456,-36.491,19.108
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,51.000,52.000,53.000,54.000,55.000,56.000,57.000,58.000,59.000,60.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.000,1.961,1.923,1.887,1.852,1.818,1.786,1.754,1.724,1.695
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,6.000,6.000,5.000,5.000,4.000,4.000,4.000,3.000,4.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,6.000,6.000,5.000,5.000,4.000,4.000,4.000,3.000,4.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,7.000,6.000,5.000,5.000,5.000,6.000,6.000,6.000,6.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,98.000,97.400,98.200,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,2.083,-0.612,0.821,1.833,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,16.000,14.000,14.000,14.000,16.000,13.000,12.000,12.000,14.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,32.000,33.000,29.000,29.000,35.000,35.000,44.000,40.000,40.000,38.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,15.000,13.000,13.000,13.000,15.000,12.000,11.000,11.000,12.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,13.000,17.000,7.000,11.000,13.000,6.000,24.000,11.000,14.000,17.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,96.000,94.700,97.900,97.330,97.000,96.000,95.830,97.540,98.000,97.950
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-1.354,3.379,-0.582,-0.339,-1.031,-0.177,1.784,0.472,-0.051
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,5.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,5.000,4.000,4.000,4.000,4.000,5.000,7.000,7.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,98.000,97.400,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,2.083,-0.612,2.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,2.000,2.000,2.000,6.000,6.000,8.000,10.000,10.000,10.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,4.000,2.000,2.000,3.000,4.000,4.000,3.000,3.000,4.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,75.000,75.000,—,—,—,—,—,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,47.000,48.000,48.000,49.000,50.000,51.000,52.000,53.000,46.000,47.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,77.000,78.000,79.000,80.000,81.000,72.000,73.000,74.000,72.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,12.000,11.000,11.000,11.000,13.000,11.000,10.000,10.000,11.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,5.000,4.000,3.000,4.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,4.000,4.000,4.000,5.000,4.000,3.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,4.000,4.000,4.000,6.000,6.000,4.000,5.000,5.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,98.000,97.400,100.000,100.000,100.000,—,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,2.083,-0.612,2.669,0.000,0.000,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
