,,,,,,,,,,,
YPF SA (YPFD AR) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of ARS except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,4.100,8.000,6.200,6.500,5.800
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,95.122,-22.500,4.839,-10.769
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,2.000,0.000,0.000,3.000,2.000,0.000,1.000,2.000,0.000
Fatalities - Total,FATALITIES_TOTAL,—,2.000,0.000,0.000,3.000,2.000,0.000,1.000,2.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,0.046,0.040,0.022,0.030,0.010,0.010
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,-13.043,-45.000,36.364,-66.667,0.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,0.113,0.116,0.052,0.090,0.090,0.068
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,2.655,-55.172,73.077,0.000,-24.444
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,0.102,0.080,0.040,0.070,0.060,0.046
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,-21.569,-50.000,75.000,-14.286,-23.333
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,0.092,0.052,0.034,0.046,0.040,0.022,0.100,0.132,0.150
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,-43.478,-34.615,35.294,-13.043,-45.000,354.545,32.000,13.636
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,0.218,0.192,0.162,0.132,0.116,0.052,0.272,0.308,0.190
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,-11.927,-15.625,-18.519,-12.121,-55.172,423.077,13.235,-38.312
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.182,0.148,0.132,0.102,0.088,0.040,0.250,0.242,0.176
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-18.681,-10.811,-22.727,-13.725,-54.545,525.000,-3.200,-27.273
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"22,032.000","22,025.000","19,257.000","19,072.000","20,702.000","23,376.000","19,812.000","20,951.000","22,330.000","24,613.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,"49,000.000","45,000.000","43,000.000","43,000.000","45,000.000","34,000.000","38,993.000","41,886.000","44,152.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,23.700,13.810,8.860,16.400,19.650,12.800,12.000,15.100
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-41.730,-35.844,85.102,19.817,-34.860,-6.250,25.833
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,40.000,40.000,45.000,45.000,44.300,41.000,42.800,26.500,37.500,36.500
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-11.111,0.000,12.500,0.000,-1.556,-7.449,4.390,-38.084,41.509,-2.667
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,0.000,0.000,0.000,0.000,0.000,0.000
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,239.655,-66.751,54.198,44.059,-1.031
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"391,287.000","516,049.000","553,208.000","606,418.000","573,696.000","223,717.000","296,714.000","276,007.000","359,724.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,31.885,7.201,9.618,-5.396,-61.004,32.629,-6.979,30.331
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,—,—,479.000,743.000,"1,355.000"
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,10.328,13.656,23.615
    Growth (YoY),PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,—,32.223,72.929
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,5.000,5.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,5.000,5.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,9.000,12.000,13.000,9.000,14.000,12.000,21.000,16.000,15.000,13.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,18.000,15.000,15.000,15.000,12.000,11.000,12.000,12.000,11.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,11.000,9.000,11.000,9.000,10.000,10.000,12.000,13.000,14.000,15.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,13.000,15.000,15.000,12.000,11.000,10.000,11.000,10.000,9.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,5.000,5.000,4.000,4.000,3.000,5.000,5.000,4.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,0.000,3.000,4.000,4.000,4.000,3.000,4.000,4.000,4.000,5.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,0.000,1.000,1.000,1.000,2.000,1.000,1.000,1.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,32.000,32.000,33.000,34.000,39.000,43.000,42.000,45.000,50.000,37.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,79.000,70.000,78.000,79.000,80.000,81.000,82.000,83.000,83.000,88.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,9.000,10.000,14.000,14.000,11.000,10.000,10.000,11.000,10.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,5.000,4.000,4.000,3.000,5.000,5.000,4.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,4.000,4.000,4.000,3.000,4.000,4.000,4.000,5.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
