,,,,,,,,,,,,,,,,,,
Keyera Corp (KEY CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,"1,696.7","1,317.4","1,866.1","1,517.2","1,647.3","1,077.5",843.4,—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,-22.4,41.6,-18.7,8.6,-34.6,-21.7,—
,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,n/a
,,,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,0.1,—,0.0,—,—,—,0.9,0.9,0.9,1.0,1.0,1.3,1.5,2.0,1.9,—
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,0.0,0.0,15.4,1.9,30.0,14.6,32.2,-2.0,—
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No,No,n/a
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,—,24.00,22.00,21.00,25.00,26.00,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,—,—,-8.3,-4.5,19.0,4.0,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,23.00,24.00,25.00,24.00,24.00,24.00,25.00,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,4.3,4.2,-4.0,0.0,0.0,4.2,—
,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,—,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,—,—,—,—,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,0.11,0.34,0.00,0.09,0.31,0.00,0.00,0.00,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,209.1,—,—,244.4,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,0.00,0.12,0.21,0.00,0.00,0.06,0.02,0.00,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,—,75.0,—,—,—,-66.7,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,0.06,0.23,0.12,0.04,0.20,0.04,0.02,0.00,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,283.3,-47.8,-66.7,400.0,-80.0,-50.0,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,0.78,1.45,0.52,1.13,0.51,0.82,0.85,0.20,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,85.9,-64.1,117.3,-54.9,60.8,3.7,-76.5,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,0.86,0.71,1.03,0.80,1.42,0.47,0.56,0.39,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,-17.4,45.1,-22.3,77.5,-66.9,19.1,-30.4,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,0.82,1.09,0.83,0.93,0.82,0.59,0.62,0.23,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,32.9,-23.9,12.0,-11.8,-28.0,5.1,-62.9,—
,,,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,598.00,720.00,729.00,778.00,900.00,985.00,993.00,"1,000.00","1,040.00","1,074.00",959.00,"1,005.00","1,098.00","1,155.00",—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,—,—,8.90,17.90,—,10.70,11.00,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,—,—,—,101.1,—,—,2.8,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,19.00,16.66,15.23,15.01,13.40,12.01,9.31,7.71,7.26,7.10,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,-12.3,-8.6,-1.4,-10.7,-10.4,-22.5,-17.2,-5.8,-2.2,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,n/a
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,—
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,16.7,14.3,12.5,11.1,10.0,9.1,8.3,7.7,7.1,6.7,6.3,5.9,5.6,5.3,5.0,—
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.00,100.00,100.00,88.00,94.00,94.00,100.00,100.00,100.00,100.00,100.00,94.00,100.00,100.00,100.00,100.00,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.0,0.0,-12.0,6.8,0.0,6.4,0.0,0.0,0.0,0.0,-6.0,6.4,0.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,9.00,8.00,8.00,8.00,7.00,9.00,9.00,10.00,9.00,11.00,10.00,10.00,10.00,10.00,11.00,11.00,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.00,5.00,10.00,11.00,11.00,12.00,13.00,14.00,14.00,13.00,14.00,15.00,11.00,6.00,4.00,5.00,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.00,7.00,7.00,7.00,6.00,8.00,8.00,8.00,8.00,10.00,9.00,9.00,9.00,9.00,10.00,10.00,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,8.00,8.00,8.00,8.00,7.00,10.00,10.00,9.00,7.00,7.00,7.00,6.00,6.00,6.00,7.00,6.00,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.08,95.31,100.00,92.18,98.00,98.00,99.00,100.00,100.00,98.59,100.00,98.20,100.00,100.00,100.00,100.00,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.2,4.9,-7.8,6.3,0.0,1.0,1.0,0.0,-1.4,1.4,-1.8,1.8,0.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.00,3.00,6.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,4.00,5.00,5.00,3.00,3.00,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,95.00,100.00,95.75,94.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,5.3,-4.3,-1.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,—
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,—,—,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,—,—,—,—,58.00,59.00,60.00,53.00,54.00,55.00,56.00,55.00,50.00,51.00,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,—,—,—,—,78.00,78.00,68.00,69.00,70.00,71.00,72.00,69.00,70.00,71.00,—
,,,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.00,7.00,7.00,7.00,6.00,8.00,8.00,8.00,7.00,9.00,8.00,9.00,8.00,9.00,10.00,10.00,—
,,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.00,3.00,6.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,4.00,5.00,5.00,3.00,3.00,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,95.00,100.00,95.75,94.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,5.3,-4.3,-1.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—
