,,,,,,,,,,,
Weatherford International PLC (WFRD US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,10.000,9.000,11.000,10.000,7.000,5.000,5.000,5.000,5.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,7.000,5.000,5.000,4.000,3.000,5.000,5.000,6.000,—
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,9.000,9.000,10.000,9.000,6.000,4.000,4.000,4.000,4.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,5.000,11.000,5.000,5.000,16.000,36.000,14.000,11.000,14.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,93.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,24.000,-19.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,5.000,5.000,6.000,5.000,6.000,10.000,11.000,7.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,93.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,24.000,-19.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,1.000,2.000,1.000,1.000,1.000,1.000,1.000,—
Board Age Limit,BOARD_AGE_LIMIT,72.000,72.000,72.000,72.000,72.000,72.000,72.000,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,62.000,65.000,59.000,55.000,54.000,49.000,50.000,51.000,52.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,76.000,77.000,78.000,71.000,70.000,60.000,61.000,62.000,63.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,9.000,9.000,10.000,9.000,6.000,4.000,4.000,4.000,4.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,3.000,5.000,4.000,3.000,3.000,3.000,3.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,3.000,5.000,4.000,3.000,3.000,3.000,3.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,4.000,4.000,4.000,4.000,4.000,6.000,4.000,4.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,93.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,24.000,-19.355,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
