,,,,,,,,,,,
Grupo Energia Bogota SA ESP (GEB CB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of COP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,—,"4,052.170"
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,"7,324.000",—,"27,077.000","54,660.000","71,547.000","114,263.000","99,730.000","73,283.000","69,555.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,101.869,30.895,59.703,-12.719,-26.519,-5.087
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,3.000,4.000,—,—,—,—,—,—,—,—
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,0.012,—,—,—,—,—,—,—,—
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,3.000,4.000,—,—,—,—,—,—,—,—
Number Supplier Facilities Audited,SUPPLIER_FACILITIES_AUDITED,3.000,4.000,—,—,—,—,—,—,—,—
Percentage of Suppliers in Non-Compliance,PCT_OF_SUPPLIERS_IN_NON_COMPL,—,0.000,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.000,8.000,9.000,10.000,11.000,12.000,1.000,2.000,3.000,4.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,16.667,14.286,12.500,11.111,10.000,9.091,-91.667,100.000,50.000,33.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,5.000,3.000,3.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,4.000,3.000,3.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,5.000,6.000,11.000,—,—,—,12.000,11.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,—,—,—,97.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,0.000,0.000,—,—,—,—,3.093,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,11.000,9.000,—,—,—,10.000,11.000,11.000,10.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,6.000,9.000,—,—,—,9.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,14.000,21.000,21.000,19.000,—,—,—,24.000,17.000,14.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,92.000,95.000,89.000,—,—,—,97.220,98.170,99.200
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,3.261,-6.316,—,—,—,—,0.977,1.049
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,2.000,2.000,2.000,2.000,3.000,4.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,2.000,5.000,9.000,—,—,—,7.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,93.330,100.000,—,—,—,96.000,96.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,-6.670,7.147,—,—,—,—,0.000,4.167
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,4.000,4.000,—,—,—,2.000,2.000,2.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,—,—,—,—,50.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,—,—,—,—,74.000,75.000,76.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,3.000,5.000,6.000,7.000,5.000,5.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
