,,,,,,
Eneva SA (ENEV3 BZ) - Overview,,,,,,
,,,,,,
In Millions of BRL except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,"7,375.160","2,140.570",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,-70.976,—
GHG Scope 1,GHG_SCOPE_1,"5,478.630","4,604.040","7,549.040","2,681.390","2,709.610"
    Growth (YoY),GHG_SCOPE_1,—,-15.964,63.966,-64.480,1.052
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,1.726,1.673,2.113,1.700,2.644
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,-3.063,26.300,-19.546,55.504
GHG Scope 3,GHG_SCOPE_3,—,18.925,38.473,19.678,644.142
    Growth (YoY),GHG_SCOPE_3,—,—,103.293,-48.852,"3,173.395"
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,0.610,0.470,0.478
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,-22.951,1.702
,,,,,,
Energy,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,"71,307.797","41,197.000","10,334.100","11,191.700"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,-42.227,-74.915,8.299
Renewable Energy Use,RENEW_ENERGY_USE,—,—,18.514,39.294,62.626
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,112.242,59.378
Electricity Used,ELECTRICITY_USED,—,17.993,18.514,39.294,62.618
    Growth (YoY),ELECTRICITY_USED,—,—,2.893,112.243,59.356
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,0.409,0.477,0.862
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,16.541,80.574
Fuel Used - Coal/Lignite,COAL_USED,—,963.858,"1,724.910",4.675,65.472
    Growth (YoY),COAL_USED,—,—,78.959,-99.729,"1,300.576"
Fuel Used - Natural Gas,NAT_GAS_USED,—,"1,456,890.000","2,944,190.000","1,027,900.000","1,069,520.000"
    Growth (YoY),NAT_GAS_USED,—,—,102.087,-65.087,4.049
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,"3,148.410",3.151,1.189,1.461
    Growth (YoY),OIL_DIESEL_USED,—,—,-99.900,-62.268,22.856
,,,,,,
Materials & Waste,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,0.762,0.203
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,-73.390
Total Waste,TOTAL_WASTE,57.448,53.497,178.940,16.040,19.210
    Growth (YoY),TOTAL_WASTE,—,-6.878,234.486,-91.036,19.764
Waste Recycled,WASTE_RECYCLED,57.448,53.497,162.027,11.798,5.525
    Growth (YoY),WASTE_RECYCLED,—,-6.878,202.871,-92.718,-53.174
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,9.022,1.565
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,-82.660
,,,,,,
Supply Chain,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes
,,,,,,
Water,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"13,343.600","11,224.900","16,264.600","8,250.090","18,650.301"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-15.878,44.897,-49.276,126.062
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,"1,621.950","1,639.160","12,482.600"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,1.061,661.524
Water Consumption,WATER_CONSMPTN,—,—,"9,774.700","6,780.370","6,167.700"
    Growth (YoY),WATER_CONSMPTN,—,—,—,-30.633,-9.036
,,,,,,
Ecological & Biodiversity Impacts,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,Yes,Yes,n/a
,,,,,,
Social,,,,,,
Community & Customers,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes
,,,,,,
Diversity,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,17.000,17.000,8.330,6.670,12.500
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,0.000,-51.000,-19.928,87.406
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,17.000,16.250,15.930,15.320
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,-4.412,-1.969,-3.829
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,21.000,21.740,22.000,22.349,23.404
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,3.524,1.196,1.586,4.722
Pct Minorities in Management,PCT_MINORITY_MGT,—,16.000,15.000,13.000,19.000
    Growth (YoY),PCT_MINORITY_MGT,—,—,-6.250,-13.333,46.154
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,48.600,64.000,62.000,46.357
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,31.687,-3.125,-25.230
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,2.240,2.100,0.870,2.000
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,-6.250,-58.571,129.885
,,,,,,
Ethics & Compliance,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
,,,,,,
Health & Safety,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.000,0.090,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.170,0.130,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-23.529,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.110,0.120,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,9.091,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.190,0.450,0.290,0.120,0.262
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,136.842,-35.556,-58.621,118.333
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.520,0.530,0.560,0.498,0.500
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,1.923,5.660,-11.071,0.402
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.390,0.520,0.510,0.430,0.434
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,33.333,-1.923,-15.686,0.930
,,,,,,
Human Capital,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,950.000,"1,067.000","1,165.000","1,490.000","1,551.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"2,391.000","5,980.000","4,561.000","4,099.000","4,336.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,4.300,8.150,0.670,0.180,0.150
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,89.535,-91.779,-73.134,-16.667
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,88.000,84.260,82.400,100.000,100.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-4.250,-2.207,21.359,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,"1,810.190",—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"134,023.000","250,000.000","273,053.000","284,200.000","78,914.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,86.535,9.221,4.082,-72.233
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,Yes,Yes
,,,,,,
Supply Chain,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes
,,,,,,
Governance,,,,,,
Audit Risk & Oversight,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,7.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,-57.143,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,6.000,2.000,4.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,8.000,—,—,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,—,—,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,—,—,—
,,,,,,
Board Composition,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,No,No
Board Size,BOARD_SIZE,7.000,7.000,7.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,4.000,4.000,3.000,3.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,7.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,27.000,33.000,—,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,98.490,—,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,-1.510,—,—
,,,,,,
Compensation,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,4.000,0.000,0.000,0.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,3.000,—,—,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,—,—,—
,,,,,,
Diversity,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,0.000,0.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,32.000,33.000,34.000,35.000,36.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.000,72.000,73.000,75.000,77.000
,,,,,,
Independence,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,5.000,4.000,7.000
,,,,,,
Nominations & Governance Oversight,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000
,,,,,,
Sustainability Governance,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No
,,,,,,
Tenure,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000
,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,
