,,,,,,,,,,,
Vermilion Energy Inc (VET CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.368,0.000,0.000,0.202,0.000,0.266,0.138,0.386,0.146,0.000
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,-48.120,179.710,-62.176,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.694,0.458,0.636,0.398,0.376,0.438,0.494,0.300,0.128,0.214
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-34.006,38.865,-37.421,-5.528,16.489,12.785,-39.271,-57.333,67.188
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,1.463,0.000,0.202,0.608,0.286,0.696,0.550,0.902,0.584,0.290
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,33.852,—,—,200.990,-52.961,143.357,-20.977,64.000,-35.255,-50.342
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.806,1.374,1.748,1.698,1.376,1.314,1.418,1.204,0.772,0.570
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-23.920,27.220,-2.860,-18.963,-4.506,7.915,-15.092,-35.880,-26.166
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.460,0.980,1.070,1.330,0.940,1.150,1.150,1.110,0.730,0.520
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,33.945,-32.877,9.184,24.299,-29.323,22.340,0.000,-3.478,-34.234,-28.767
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,535.000,520.000,661.000,685.000,"1,023.000",823.000,746.000,716.000,740.000,740.000
Number of Contractors,NUMBER_OF_CONTRACTORS,155.000,201.000,157.000,179.000,325.000,232.000,226.000,233.000,230.000,251.000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,5.600,7.900,7.400,8.800,8.300,9.200,9.600,10.000,8.000,6.800
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-43.434,41.071,-6.329,18.919,-5.682,10.843,4.348,4.167,-20.000,-15.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,27.000,28.000,28.000,31.000,23.000,18.000,20.000,20.000,20.000,16.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-6.897,3.704,0.000,10.714,-25.806,-21.739,11.111,0.000,0.000,-20.000
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"15,991.800","7,877.000","8,913.000","8,526.000","13,023.000","15,614.000","10,268.000","8,419.000","15,799.000","20,936.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,106.508,-50.744,13.152,-4.342,52.745,19.896,-34.239,-18.007,87.659,32.515
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,5.882,5.556,5.263,5.000,4.762
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,94.000,100.000,100.000,100.000,94.000,100.000,92.850,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,-6.000,6.383,0.000,0.000,-6.000,6.383,-7.150,7.701
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,10.000,10.000,11.000,10.000,10.000,9.000,10.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.000,5.000,8.000,8.000,8.000,10.000,9.000,13.000,12.000,13.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,9.000,9.000,10.000,9.000,9.000,8.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.000,7.000,5.000,6.000,10.000,7.000,7.000,8.000,9.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,99.000,96.000,100.000,97.000,100.000,99.000,99.000,98.660,99.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-1.000,-3.030,4.167,-3.000,3.093,-1.000,0.000,-0.343,0.345
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,3.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.000,5.000,3.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,3.000,4.000,3.000,5.000,5.000,5.000,6.000,6.000,7.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,93.000,100.000,100.000,100.000,100.000,100.000,97.000,96.770,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,-7.000,7.527,0.000,0.000,0.000,0.000,-3.000,-0.237,3.338
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,0.000,2.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,70.000,70.000,70.000,70.000,70.000,70.000,75.000,75.000,75.000,75.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,57.000,57.000,56.000,46.000,47.000,48.000,49.000,50.000,51.000,51.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,72.000,73.000,74.000,75.000,71.000,72.000,73.000,74.000,72.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.000,9.000,8.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,3.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.000,5.000,3.000,5.000,5.000,5.000,5.000,4.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,4.000,3.000,5.000,5.000,5.000,6.000,6.000,7.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,93.000,100.000,100.000,100.000,100.000,100.000,97.000,96.770,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,-7.000,7.527,0.000,0.000,0.000,0.000,-3.000,-0.237,3.338
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
