,,,,,,
Navigator Holdings Ltd (NVGS US) - Overview,,,,,,
,,,,,,
In Millions of USD except Per Share,,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,634.1,681.2,676.7,—,—
    Growth (YoY),CO2_SCOPE_1,—,7.4,-0.7,—,—
GHG Scope 1,GHG_SCOPE_1,—,692.8,905.1,881.4,"1,128.9"
    Growth (YoY),GHG_SCOPE_1,—,—,30.6,-2.6,28.1
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,31.2,31.8,38.0
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,1.9,19.4
GHG Scope 3,GHG_SCOPE_3,—,80.2,80.2,116.7,159.9
    Growth (YoY),GHG_SCOPE_3,—,—,-0.1,45.6,37.0
,,,,,,
Energy,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,"3,319.1","4,335.6"
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,30.6
,,,,,,
Materials & Waste,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes
,,,,,,
Supply Chain,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes
,,,,,,
Water,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes
,,,,,,
Ecological & Biodiversity Impacts,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,No,No,No
,,,,,,
Social,,,,,,
Community & Customers,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,Yes,Yes
,,,,,,
Diversity,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,16.00,28.00
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,75.0
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,35.00,33.87,34.00,39.00
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,-3.2,0.4,14.7
,,,,,,
Ethics & Compliance,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes
,,,,,,
Health & Safety,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,0.00,0.00
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,0.00,0.00
Fatalities - Total,FATALITIES_TOTAL,—,—,—,0.00,0.00
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.51,0.16
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-67.8
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,1.90,1.49
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,-21.6
,,,,,,
Human Capital,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,83.00,80.00,124.00,778.00,"2,436.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,10.00,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"8,187.00","44,009.00"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,437.5
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No
,,,,,,
Supply Chain,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes
,,,,,,
Governance,,,,,,
Audit Risk & Oversight,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.00,2.00,3.00,4.00,5.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.0,50.0,33.3,25.0
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,4.00,4.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,3.00,3.00,4.00,4.00
,,,,,,
Board Composition,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.00,7.00,7.00,7.00,7.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.00,6.00,3.00,4.00,4.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.00,5.00,6.00,6.00,6.00
,,,,,,
Compensation,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.00,4.00,3.00,3.00,3.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.00,4.00,3.00,3.00,3.00
,,,,,,
Diversity,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,—,—,0.00,0.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,1.00,1.00,3.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,38.00,40.00,41.00,42.00,42.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,79.00,80.00,73.00,74.00,73.00
,,,,,,
Independence,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.00,5.00,6.00,6.00,6.00
,,,,,,
Nominations & Governance Oversight,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,2.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.00,3.00,2.00,3.00,3.00
,,,,,,
Sustainability Governance,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No
,,,,,,
Tenure,,,,,,
Board Duration (Years),BOARD_DURATION,1.00,1.00,1.00,1.00,1.00
,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,
