,,,,,,,,,,,
Baytex Energy Corp (BTE CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),EMPLOYEE_TRAINING_COST,24.846,-62.108,-75.791,—,—,—,—,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,12.000,13.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,9.091,8.333,-92.308,100.000,50.000,33.333,25.000,20.000,16.667,14.286
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,4.000,4.000,3.000,4.000,3.000,3.000,3.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,4.000,4.000,3.000,4.000,3.000,3.000,3.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,6.000,6.000,5.000,5.000,5.000,5.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,4.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,10.000,9.000,11.000,12.000,10.000,7.000,9.000,8.000,8.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,13.000,13.000,13.000,12.000,11.000,7.000,7.000,7.000,8.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,8.000,9.000,10.000,9.000,6.000,8.000,7.000,7.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,8.000,6.000,6.000,6.000,10.000,7.000,9.000,6.000,6.000,10.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,95.830,96.290,96.490,98.500,99.010,100.000,100.000,100.000,100.000,97.720
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-4.170,0.480,0.208,2.083,0.518,1.000,0.000,0.000,0.000,-2.280
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,4.000,5.000,3.000,3.000,3.000,3.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,4.000,5.000,3.000,3.000,3.000,3.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,2.000,2.000,3.000,4.000,4.000,4.000,3.000,3.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,94.110
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.890
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,2.000,2.000,1.000,2.000,2.000,2.000,2.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,54.000,55.000,54.000,55.000,51.000,49.000,50.000,51.000,52.000,52.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,72.000,73.000,74.000,75.000,65.000,66.000,67.000,68.000,69.000,69.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,7.000,8.000,10.000,7.000,6.000,8.000,7.000,7.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,1.000,1.000,1.000,1.000,3.000,3.000,2.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
