,,,,,,,,,,,
China Petroleum & Chemical Corp (386 HK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CNY except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,14.000,12.000,10.000,10.000,11.000,10.000,9.000,10.000,10.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.000,13.000,11.000,10.000,10.000,8.000,9.000,9.000,8.000,7.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,5.000,5.000,5.000,6.000,6.000,5.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,9.000,6.000,5.000,7.000,4.000,11.000,7.000,9.000,6.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.620,98.198,96.960,95.450,85.410,95.450,100.000,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-2.380,0.592,-1.261,-1.557,-10.519,11.755,4.767,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,50.000,51.000,53.000,54.000,51.000,52.000,49.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,62.000,63.000,64.000,65.000,66.000,67.000,66.000,67.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000,4.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,—,—,2.000,2.000,2.000,2.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,—,—,2.000,0.000,5.000,2.000,1.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,—,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
