,,,,,,,,,,,
Bumi Armada Bhd (BAB MK) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of MYR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Board Size,BOARD_SIZE,8.000,8.000,9.000,7.000,7.000,6.000,6.000,7.000,8.000,6.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.000,7.000,7.000,12.000,9.000,8.000,9.000,8.000,9.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,6.000,7.000,6.000,6.000,5.000,5.000,6.000,7.000,5.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,27.000,11.000,10.000,13.000,14.000,8.000,16.000,13.000,13.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,91.320,93.820,90.580,93.060,91.670,97.400,100.000,100.000,97.890,88.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-8.680,2.738,-3.453,2.738,-1.494,6.251,2.669,0.000,-2.110,-10.103
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,3.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,5.000,5.000,6.000,5.000,6.000,5.000,5.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,93.330,94.330,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,-6.670,1.071,6.011,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,1.000,2.000,3.000,2.000,2.000,2.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,37.000,38.000,39.000,40.000,41.000,42.000,44.000,45.000,46.000,52.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,59.000,60.000,61.000,64.000,65.000,66.000,67.000,68.000,69.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,4.000,4.000,4.000,3.000,3.000,3.000,4.000,4.000,3.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,6.000,7.000,5.000,6.000,5.000,4.000,5.000,5.000,5.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,96.000,95.000,87.500,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,-1.042,-7.895,14.286,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
