,,,,,,,,,,,
Plains All American Pipeline LP (PAA US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,1.000,2.000,2.000,2.000,2.000,2.000,2.000,4.000,2.000,2.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,100.000,—,—,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,33.333,—,—,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,44.000,45.000,46.000,47.000,48.000,49.000,50.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,76.000,77.000,78.000,79.000,80.000,74.000,75.000,76.000,77.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,3.000,6.000,6.000,7.000,8.000,7.000,8.000,9.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,2.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,1.000,1.000,0.000,3.000,3.000,3.000,3.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.000,1.000,—,—,1.000,1.000,2.000,2.000,1.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,—,—,75.000,75.000,100.000,—,—,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,—,—,—,0.000,33.333,—,—,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
