,,,,,,,,,,,
Energy Transfer LP (ET US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,56.000,57.000,58.000,59.000,59.000,60.000,61.000,63.000,64.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,78.000,79.000,80.000,77.000,78.000,79.000,80.000,81.000,74.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.000,3.000,3.000,3.000,4.000,5.000,6.000,5.000,4.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
