,,,,,,,,
Seven Generations Energy Ltd (VII CN) - Overview,,,,,,,,
,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,4.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,8.000,6.000,6.000,4.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,96.770,100.000,100.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,3.338,0.000,0.000,—
,,,,,,,,
Diversity,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,2.000,3.000,1.000,2.000,4.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,1.000,1.000,1.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,38.000,39.000,40.000,41.000,42.000,43.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,70.000,71.000,72.000,73.000,70.000,71.000
,,,,,,,,
Independence,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.000,8.000,10.000,10.000,11.000,9.000,9.000
,,,,,,,,
Nominations & Governance Oversight,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,4.000,4.000,4.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,4.000,4.000,4.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,4.000,6.000,4.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,100.000,100.000,100.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,0.000,0.000,—
,,,,,,,,
Sustainability Governance,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,n/a
,,,,,,,,
Tenure,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,
