,,,,,,,,,,,
Snam SpA (SRG IM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,4.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.298,0.428,0.162,0.248,0.168,0.142,0.118,0.420,0.100,0.410
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-1.325,43.624,-62.150,53.086,-32.258,-15.476,-16.901,255.932,-76.190,310.000
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.382,0.276,0.142,0.108,0.082,0.148,0.050,0.024,0.585,0.120
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-26.538,-27.749,-48.551,-23.944,-24.074,80.488,-66.216,-52.000,"2,337.500",-79.487
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.336,0.358,0.150,0.156,0.116,0.118,0.076,0.172,0.188,0.212
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-16.832,6.548,-58.101,4.000,-25.641,1.724,-35.593,126.316,9.302,12.766
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,072.000","6,303.000","2,883.000","2,919.000","3,016.000","3,025.000","3,249.000","3,430.000","3,610.000","3,798.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,—,"5,500.000","7,001.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.900,6.600,6.400,2.400,6.300,6.600,4.600,6.200,9.500,11.000
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,344.828,-48.837,-3.030,-62.500,162.500,4.762,-30.303,34.783,53.226,15.789
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,49.500,49.500,49.500,27.900,—,25.700,22.300,21.400,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-2.463,0.000,0.000,-43.636,—,—,-13.230,-4.036,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"174,916.000","160,405.000","82,184.000","85,346.000","107,711.000","114,179.000","67,966.000","89,375.000","121,573.000","139,614.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-11.818,-8.296,-48.765,3.847,26.205,6.005,-40.474,31.500,36.026,14.840
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,No,No,No,No,No,No,No,No,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,—,—,"1,811.000","1,894.000","2,304.000"
Percentage Suppliers Audited,PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,77.960,73.639,85.207
    Growth (YoY),PERCENTAGE_SUPPLIERS_AUDITED,—,—,—,—,—,—,—,—,-5.542,15.709
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,314.000,288.000,212.000,163.000,237.000,227.000,193.000,151.000,178.000,184.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,5.000,6.000,7.000,8.000,1.000,2.000,1.000,2.000,3.000,4.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,25.000,20.000,16.667,14.286,-87.500,100.000,-50.000,100.000,50.000,33.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,15.000,10.000,12.000,12.000,11.000,18.000,14.000,15.000,10.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,94.500,95.000,96.600,89.000,97.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,1.286,0.529,1.684,-7.867,8.989,3.093,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.000,13.000,13.000,12.000,14.000,14.000,14.000,13.000,15.000,15.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,11.000,13.000,9.000,7.000,14.000,12.000,13.000,15.000,11.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,93.300,97.500,98.300,95.100,96.800,98.400,100.000,98.000,98.000,98.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-4.796,4.502,0.821,-3.255,1.788,1.653,1.626,-2.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,6.000,10.000,10.000,6.000,11.000,18.000,16.000,17.000,14.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,93.000,100.000,100.000,94.000,100.000,96.070,88.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,6.383,0.000,0.000,-7.000,7.527,0.000,-6.000,6.383,-3.930,-8.400
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,4.000,4.000,4.000,4.000,5.000,5.000,2.000,2.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,37.000,37.000,39.000,40.000,41.000,42.000,43.000,44.000,44.000,45.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,70.000,70.000,64.000,65.000,66.000,67.000,68.000,69.000,72.000,73.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,5.000,5.000,5.000,6.000,6.000,6.000,6.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,6.000,9.000,5.000,6.000,8.000,7.000,8.000,14.000,14.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,94.500,100.000,95.000,100.000,92.850,88.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,4.384,0.000,0.000,0.000,-5.500,5.820,-5.000,5.263,-7.150,-5.223
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
