,,,,,,,,,,,
Enbridge Inc (ENB CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,—,—,1.700,1.800,3.100,2.700,2.500,3.300,4.300,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,5.882,72.222,-12.903,-7.407,32.000,30.303,—
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,—,102.700,101.900,—
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,—,—,—,—,—,—,—,—,-0.779,—
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,99.000,98.440,97.660,96.350,94.440,101.400,100.700,100.800,102.000,—
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,-0.566,-0.792,-1.341,-1.982,7.370,-0.690,0.099,1.190,—
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Political Donations,POLITICAL_DONATIONS,0.098,0.077,—,0.061,0.069,0.106,0.092,0.060,0.051,—
    Growth (YoY),POLITICAL_DONATIONS,—,-21.122,—,—,13.700,52.922,-12.736,-35.158,-15.105,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,2.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,2.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.120,0.050,0.160,0.330,0.320,0.160,0.050,0.250,0.240,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,9.091,-58.333,220.000,106.250,-3.030,-50.000,-68.750,400.000,-4.000,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.090,0.120,0.120,0.140,0.260,0.110,0.000,0.170,0.080,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,33.333,0.000,16.667,85.714,-57.692,—,—,-52.941,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,0.300,0.350,0.170,0.210,0.090,0.130,0.100,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,16.667,-51.429,23.529,-57.143,44.444,-23.077,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.660,0.550,0.720,0.690,0.750,0.700,0.480,0.440,0.470,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-29.787,-16.667,30.909,-4.167,8.696,-6.667,-31.429,-8.333,6.818,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.830,0.980,0.790,0.550,0.590,0.470,0.210,0.330,0.270,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,18.072,-19.388,-30.380,7.273,-20.339,-55.319,57.143,-18.182,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,1.920,1.440,1.990,1.720,0.660,—,0.840,0.670,0.620,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-25.000,38.194,-13.568,-61.628,—,—,-20.238,-7.463,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"8,937.000","7,793.000","12,744.000","11,906.000","11,356.000","10,661.000","11,071.000","11,255.000","11,500.000","14,500.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"1,871.000","1,412.000","2,484.000","1,741.000","1,700.000","1,672.000","1,874.000","1,759.000","1,711.000",—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,9.550,16.600,5.680,11.500,7.700,11.700,4.100,6.400,5.300,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,73.822,-65.783,102.465,-33.043,51.948,-64.957,56.098,-17.188,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,9.800,10.000,14.170,15.300,15.039,14.400,13.700,13.700,13.040,24.130
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,-2.970,2.041,41.700,7.975,-1.706,-4.249,-4.861,0.000,-4.818,85.046
Employee Training Cost,EMPLOYEE_TRAINING_COST,12.258,12.539,13.649,15.400,17.888,9.268,19.288,20.688,19.216,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,-0.767,2.294,8.852,12.829,16.157,-48.186,108.101,7.263,-7.115,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"139,123.000","172,225.000",—,—,—,—,—,"377,406.000","342,700.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,23.793,—,—,—,—,—,—,-9.196,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,24.000,25.000,26.000,27.000,28.000,29.000,30.000,31.000,32.000,33.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,4.348,4.167,4.000,3.846,3.704,3.571,3.448,3.333,3.226,3.125
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,6.000,5.000,4.000,4.000,4.000,4.000,4.000,—
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,5.000,6.000,5.000,4.000,4.000,4.000,4.000,4.000,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,5.000,4.000,4.000,5.000,5.000,5.000,5.000,—
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,96.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,-4.000,4.167,0.000,0.000,0.000,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Board Size,BOARD_SIZE,11.000,11.000,13.000,11.000,11.000,11.000,11.000,11.000,12.000,—
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,7.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,12.000,10.000,10.000,10.000,10.000,10.000,11.000,—
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,9.000,12.000,9.000,10.000,7.000,6.000,7.000,14.000,14.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,98.130,99.230,96.050,98.410,98.730,99.000,97.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,1.010,0.000,-1.870,1.121,-3.205,2.457,0.325,0.273,-2.020,—
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,6.000,5.000,4.000,4.000,4.000,4.000,4.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,6.000,5.000,4.000,4.000,4.000,4.000,4.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,7.000,9.000,6.000,5.000,4.000,5.000,5.000,6.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,97.000,96.290,100.000,100.000,100.000,96.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,-3.000,-0.732,3.853,0.000,0.000,-4.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,1.000,1.000,2.000,1.000,1.000,3.000,2.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,3.000,4.000,3.000,4.000,4.000,4.000,4.000,5.000,—
Board Age Limit,BOARD_AGE_LIMIT,73.000,73.000,73.000,73.000,73.000,75.000,75.000,75.000,75.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,56.000,57.000,53.000,54.000,55.000,56.000,57.000,56.000,43.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,74.000,75.000,71.000,72.000,73.000,74.000,75.000,74.000,75.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,10.000,11.000,8.000,8.000,10.000,10.000,10.000,11.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,5.000,3.000,4.000,4.000,5.000,4.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,5.000,3.000,4.000,4.000,5.000,4.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,4.000,4.000,4.000,4.000,4.000,6.000,4.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,93.000,100.000,95.450,100.000,100.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,-7.000,7.527,-4.550,4.767,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
