,,,,,,,,,,,,,,,,,,
Brookfield Corp (BN CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Water,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,25.1,27.8,35.8,26.6,30.4,45.6,40.6
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,—,10.9,28.5,-25.8,14.6,50.0,-11.1
,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No,No
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,44.00,45.00,45.00,45.00,46.00,45.00,46.00
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,2.3,0.0,0.0,2.2,-2.2,2.2
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,—,45.00,39.00,40.00,41.00
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-13.3,2.6,2.5
,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,—,—,—,—,—,—,—,—,"1,190.00","1,615.00","1,615.00","1,854.00","2,380.00","2,708.00","2,690.00"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
,,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,3.3,3.2,3.1,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.4
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,5.00,4.00,3.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,5.00,4.00,3.00,3.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.00,3.00,5.00,7.00,5.00,9.00,6.00,5.00,8.00,9.00,7.00,8.00,7.00,8.00,8.00,8.00,8.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.00,100.00,100.00,100.00,100.00,—,92.85,100.00,100.00,94.44,100.00,96.42,92.85,96.88,100.00,100.00,95.83
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.0,0.0,0.0,0.0,—,—,7.7,0.0,-5.6,5.9,-3.6,-3.7,4.3,3.2,0.0,-4.2
,,,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,16.00,16.00,16.00,16.00,15.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,15.00,16.00,16.00,15.00,14.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.00,9.00,9.00,7.00,16.00,7.00,5.00,5.00,8.00,9.00,10.00,8.00,8.00,10.00,10.00,6.00,3.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,—,—,12.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,13.00,12.00,13.00,13.00,12.00,11.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.00,7.00,10.00,8.00,6.00,7.00,10.00,9.00,9.00,10.00,9.00,10.00,9.00,8.00,10.00,8.00,8.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,90.62,95.57,91.80,96.18,98.89,97.20,92.20,95.31,95.86,98.12,96.32,98.70,97.12,100.00,100.00,99.21,95.68
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,5.5,-3.9,4.8,2.8,-1.7,-5.1,3.4,0.6,2.4,-1.8,2.5,-1.6,3.0,0.0,-0.8,-3.6
,,,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.00,5.00,5.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,5.00,5.00,5.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00,4.00,5.00,6.00,6.00,6.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,79.00,80.00,81.00,82.00,83.00,84.00,85.00,86.00,75.00,76.00,77.00,78.00,79.00,80.00,81.00,82.00,83.00
,,,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,12.00,12.00,12.00,12.00,11.00,12.00,11.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,9.00,8.00
,,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,5.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.00,2.00,3.00,4.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,4.00,3.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.00,100.00,91.67,100.00,100.00,100.00,100.00,100.00,88.89,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,0.0,-8.3,9.1,0.0,0.0,0.0,0.0,-11.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,,,,,,,,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,,,,
