,,,,,,,,,,
Sahara International Petrochemical Co (SIPCHEM AB) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of SAR except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Nitrogen Oxide Emissions,NOX_EMISSIONS,1.561,1.796,1.325,—,0.065,0.065,0.130,0.302,0.573
    Growth (YoY),NOX_EMISSIONS,—,15.054,-26.225,—,—,-0.154,100.772,132.129,89.735
VOC Emissions,VOC_EMISSIONS,—,—,—,—,0.000,0.000,0.001,0.002,0.002
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,0.000,"18,833.333",198.768,0.648
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,0.009,—,—,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,0.089,—,—,—,0.010,0.010,0.008,0.024,0.037
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,6.061,-21.905,192.683,54.167
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.024,0.012,0.021,—,0.004,0.006,0.007,0.016,0.030
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-50.000,75.000,—,—,48.718,17.241,129.926,91.877
,,,,,,,,,,
Climate Change,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No
ODS Emissions,ODS_EMISSIONS,0.000,—,—,—,—,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,"1,919.840","2,458.350","2,461.570",—,"1,878.100","1,929.700","2,154.200","2,357.500","2,213.100"
    Growth (YoY),GHG_SCOPE_1,—,28.050,0.131,—,—,2.747,11.634,9.437,-6.125
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,582.114,620.155,570.836,—,958.200,891.700,950.900,962.600,"1,038.400"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,6.535,-7.953,—,—,-6.940,6.639,1.230,7.875
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,3.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,1.900,1.730,1.720,—,0.750,0.730,0.780,0.810,0.810
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,-8.947,-0.578,—,—,-2.667,6.849,3.846,0.000
,,,,,,,,,,
Energy,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"11,251.100","13,081.600","13,280.600",—,"15,260.700",—,"15,486.700","16,807.600","16,333.300"
    Growth (YoY),ENERGY_CONSUMPTION,—,16.270,1.521,—,—,—,—,8.529,-2.822
Electricity Used,ELECTRICITY_USED,732.335,780.193,718.146,—,"1,183.300",—,"15,486.700","16,807.600",—
    Growth (YoY),ELECTRICITY_USED,—,6.535,-7.953,—,—,—,—,8.529,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.000,0.000,0.000,—,0.000,—,3.901,4.113,—
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,-12.500,14.286,—,—,—,—,5.435,—
,,,,,,,,,,
Materials & Waste,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,2.553,2.357,8.015,—,8.888,3.950,3.456,2.249,8.561
    Growth (YoY),HAZARDOUS_WASTE,—,-7.677,240.051,—,—,-55.558,-12.506,-34.925,280.658
Total Waste,TOTAL_WASTE,11.910,9.755,15.305,—,21.232,14.813,15.306,10.117,21.791
    Growth (YoY),TOTAL_WASTE,—,-18.094,56.894,—,—,-30.233,3.328,-33.902,115.390
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,7.314,3.311,2.885,1.319,5.554
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,-54.731,-12.866,-54.281,321.077
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Water,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"3,552.640","2,827.790","2,607.250",—,"169,311.000","188,700.000","196,069.000","190,804.000","180,667.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-20.403,-7.799,—,—,11.452,3.905,-2.685,-5.313
Total Water Discharged,TOTAL_WATER_DISCHARGED,"1,605.140","1,078.750",996.671,—,"1,326.000","1,474.000","1,499.000","1,460.000","1,540.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-32.794,-7.609,—,—,11.161,1.696,-2.602,5.479
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,"5,704.000","5,668.000","5,689.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,-0.631,0.371
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,"2,420.000","1,590.000","1,480.000",—,—,"1,710.150","1,590.020","1,532.220",—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,-34.298,-6.918,—,—,—,-7.025,-3.635,—
,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,
Social,,,,,,,,,,
Community & Customers,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,8.600,8.000,5.000,—,21.000,—,—,—,—
    Growth (YoY),COMMUNITY_SPENDING,—,-6.977,-37.500,—,—,—,—,—,—
Number of Customer Complaints,CUSTOMER_COMPLAINTS,39.000,60.000,62.000,—,—,—,—,—,—
,,,,,,,,,,
Diversity,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,0.000,0.000,0.000,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,0.062,0.060,0.360,0.987,2.200
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,-3.226,500.000,174.252,122.829
,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Health & Safety,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,—,—,—,—,—,—
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,—,—,—,—,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.240,0.340,0.090,—,—,0.060,0.000,0.000,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,41.667,-73.529,—,—,—,—,—,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.350,0.000,0.250,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.310,0.100,0.160,—,—,—,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-67.742,60.000,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.790,—,0.410,—,0.060,0.050,0.090,0.080,0.240
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,-16.667,80.000,-11.111,200.000
,,,,,,,,,,
Human Capital,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,Yes,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,386.000","1,237.000","1,201.000",—,"1,588.000","1,559.000","1,372.000","1,418.000","1,520.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,92.000,75.000,62.000,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,4.000,4.300,3.900,—,2.700,3.710,18.870,5.200,5.700
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,7.500,-9.302,—,—,37.407,408.625,-72.443,9.615
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,0.000
Employee Training Cost,EMPLOYEE_TRAINING_COST,14.400,2.900,4.100,—,10.100,—,—,—,—
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,-79.861,41.379,—,—,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"85,523.000","55,650.000","42,929.000",—,"40,878.000",—,—,—,"64,526.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,-34.930,-22.859,—,—,—,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,—,—,—,—,—,—,—,3.000,—
,,,,,,,,,,
Governance,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,—,3.000,3.000,3.000,4.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,1.000,—,—,—,—,—,—
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,3.000,3.000,4.000,—,6.000,6.000,7.000,6.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,100.000,—,100.000,100.000,95.230,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,-4.770,5.009,0.000
,,,,,,,,,,
Board Composition,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,Yes,n/a,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,11.000,—,11.000,11.000,11.000,14.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,4.000,5.000,—,3.000,4.000,5.000,6.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,10.000,—,11.000,11.000,11.000,14.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,4.000,4.000,—,—,6.000,4.000,4.000,6.000,4.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,84.090,88.190,—,—,89.000,100.000,100.000,100.000,97.727
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,4.876,—,—,—,12.360,0.000,0.000,-2.273
,,,,,,,,,,
Compensation,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,—,5.000,5.000,5.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,1.000,3.000,—,3.000,3.000,3.000,2.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.000,1.000,—,—,6.000,4.000,4.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,0.000,0.000,0.000
,,,,,,,,,,
Diversity,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,—,0.000,0.000,0.000,0.000,0.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,—,—,40.000,41.000,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,—,—,76.000,77.000,—,—,—
,,,,,,,,,,
Independence,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,4.000,—,6.000,5.000,5.000,7.000,6.000
,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,—,5.000,5.000,5.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,1.000,3.000,—,3.000,3.000,3.000,2.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,2.000,1.000,—,—,6.000,4.000,4.000,4.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.000,100.000,95.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.000,-5.000,5.263,0.000
,,,,,,,,,,
Sustainability Governance,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Tenure,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,3.000,3.000,—,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,
