,,,,,,,,,,,
BASF SE (BAS GR) - Overview,,,,,,,,,,,
,,,,,,,,,,,
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,0.379,-32.801,-38.177,-6.357,4.107,8.603,-6.105,2.526,-18.606,-13.071
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,"16,774.000","16,496.000","16,215.000","16,813.000","17,025.000","15,855.000","16,860.000","18,181.000","15,434.000","14,345.000"
    Growth (YoY),CO2_SCOPE_1,-1.190,-1.657,-1.703,3.688,1.261,-6.872,6.339,7.835,-15.109,-7.056
CO2 Scope 2 Location-Based,CO2_SCOPE_2_LOCATION_BASED,"3,911.000","3,795.000","3,884.000","3,796.000","4,067.000","3,519.000","3,279.000","2,464.000","2,547.000","2,289.000"
    Growth (YoY),CO2_SCOPE_2_LOCATION_BASED,-1.906,-2.966,2.345,-2.266,7.139,-13.474,-6.820,-24.855,3.369,-10.130
GHG Scope 1,GHG_SCOPE_1,"17,612.000","18,375.000","18,036.000","18,775.000","17,820.000","17,323.000","18,395.000","17,720.000","16,650.000","14,240.600"
    Growth (YoY),GHG_SCOPE_1,-1.691,4.332,-1.845,4.097,-5.087,-2.789,6.188,-3.669,-6.038,-14.471
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,"3,911.000","3,795.000","3,884.000","3,796.000","3,747.000","3,552.000","3,362.000","3,670.000","3,588.000","3,317.000"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-1.906,-2.966,2.345,-2.266,-1.291,-5.204,-5.349,9.161,-2.234,-7.553
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,"4,210.000","4,506.000","4,517.000","4,067.000","3,519.000","3,279.000","2,464.000","2,547.000","2,320.630"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,7.031,0.244,-9.962,-13.474,-6.820,-24.855,3.369,-8.888
GHG Scope 3,GHG_SCOPE_3,—,"122,830.000","133,203.000","130,523.000","117,965.000","99,676.000","91,386.000","101,396.000","94,000.000","85,000.000"
    Growth (YoY),GHG_SCOPE_3,—,—,8.445,-2.012,-9.621,-15.504,-8.317,10.954,-7.294,-9.574
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"59,000.000","57,300.000","57,400.000","57,300.000","54,500.000","55,100.000","61,253.500","60,840.000","53,883.000","45,100.000"
    Growth (YoY),ENERGY_CONSUMPTION,-0.338,-2.881,0.175,-0.174,-4.887,1.101,11.168,-0.675,-11.435,-16.300
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,10.000,93.360,107.080,116.500,"2,396.000","2,328.000","2,600.000"
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,833.600,14.696,8.797,"1,956.652",-2.838,11.684
Electricity Used,ELECTRICITY_USED,"15,100.000","15,000.000","15,000.000","15,100.000","15,100.000","14,800.000","14,694.000","12,751.000","11,619.000","13,000.000"
    Growth (YoY),ELECTRICITY_USED,0.667,-0.662,0.000,0.667,0.000,-1.987,-0.716,-13.223,-8.878,11.886
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,0.360,1.080,1.500,3.000,4.000,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,200.000,38.889,100.000,33.333,—
Fuel Used - Coal/Lignite,COAL_USED,157.731,150.000,120.000,120.000,120.000,120.000,154.683,161.854,158.927,117.073
    Growth (YoY),COAL_USED,0.000,-4.901,-20.000,0.000,0.000,0.000,28.902,4.636,-1.808,-26.335
Fuel Used - Natural Gas,NAT_GAS_USED,"2,939,560.000","2,988,070.000","3,046,280.000","2,990,780.000","2,923,680.000","2,875,750.000","4,385,180.000","4,356,100.000","3,676,410.000","2,537,050.000"
    Growth (YoY),NAT_GAS_USED,-1.623,1.650,1.948,-1.822,-2.244,-1.639,52.488,-0.663,-15.603,-30.991
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,473.625,464.611,464.355,497.220,597.640,580.080,574.631,682.161,82.247,29.981
    Growth (YoY),OIL_DIESEL_USED,-1.815,-1.903,-0.055,7.078,20.196,-2.938,-0.939,18.713,-87.943,-63.548
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,940.000,900.000,870.000,870.000,980.000,920.000,"1,430.000","1,630.000","1,500.000","1,420.000"
    Growth (YoY),HAZARDOUS_WASTE,-28.244,-4.255,-3.333,0.000,12.644,-6.122,55.435,13.986,-7.975,-5.333
Total Waste,TOTAL_WASTE,"2,070.000","2,020.000","2,100.000","2,120.000","2,310.000","2,340.000","2,210.000","2,470.000","2,210.000","2,130.000"
    Growth (YoY),TOTAL_WASTE,-16.194,-2.415,3.960,0.952,8.962,1.299,-5.556,11.765,-10.526,-3.620
Waste Recycled,WASTE_RECYCLED,300.000,270.000,260.000,270.000,360.000,450.000,440.000,510.000,450.000,470.000
    Growth (YoY),WASTE_RECYCLED,-3.226,-10.000,-3.704,3.846,33.333,25.000,-2.222,15.909,-11.765,4.444
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,640.000,620.000,610.000,560.000,660.000,570.000,360.000,340.000,340.000,350.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,-30.435,-3.125,-1.613,-8.197,17.857,-13.636,-36.842,-5.556,0.000,2.941
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,877,000.000","1,686,000.000","1,649,000.000","1,816,000.000","1,745,000.000","1,717,000.000","1,728,000.000","1,695,000.000","1,590,000.000","1,518,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,5.390,-10.176,-2.195,10.127,-3.910,-1.605,0.641,-1.910,-6.195,-4.528
Total Water Discharged,TOTAL_WATER_DISCHARGED,"1,838,000.000","1,626,000.000","1,644,000.000","1,766,000.000","1,614,000.000","1,509,000.000","1,429,000.000","1,503,000.000","1,400,000.000","1,352,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,857.292,-11.534,1.107,7.421,-8.607,-6.506,-5.302,5.178,-6.853,-3.429
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,"63,000.000","72,000.000","69,000.000","67,000.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,14.286,-4.167,-2.899
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,45.400,56.200,47.000,56.000,38.400,32.000,76.000,30.000,30.000,37.000
    Growth (YoY),COMMUNITY_SPENDING,-7.724,23.789,-16.370,19.149,-31.429,-16.667,137.500,-60.526,0.000,23.333
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,19.100,19.500,19.800,20.500,21.700,23.000,24.300,25.600,27.200,28.400
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,3.243,2.094,1.538,3.535,5.854,5.991,5.652,5.350,6.250,4.412
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,24.400,24.200,24.600,24.100,25.100,25.100,25.500,26.100,26.400,26.700
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-0.408,-0.820,1.653,-2.033,4.149,0.000,1.594,2.353,1.149,1.136
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,1.000,5.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,1.000,2.000,1.000,2.000,0.000,1.000,1.000,1.000,2.000
Fatalities - Total,FATALITIES_TOTAL,0.000,2.000,7.000,2.000,3.000,1.000,1.000,1.000,1.000,2.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.300,0.280,0.280,0.280,0.300,0.300,0.300,0.300,0.300,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,7.143,-6.667,0.000,0.000,7.143,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.360,0.300,0.300,0.300,—,—,—,—,—,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,-16.667,0.000,0.000,—,—,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,0.810
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,—,—,—,1.040
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"113,292.000","112,435.000","113,830.000","115,490.000","122,404.000","117,628.000","110,302.000","111,047.000","111,481.000","111,991.000"
Employee Training Cost,EMPLOYEE_TRAINING_COST,101.000,203.000,173.000,106.000,110.000,113.000,113.000,119.000,131.000,130.000
    Growth (YoY),EMPLOYEE_TRAINING_COST,-4.717,100.990,-14.778,-38.728,3.774,2.727,0.000,5.310,10.084,-0.763
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,120.000,135.000,104.000,120.000,546.000,537.000,628.000,701.000,963.000,579.000
Number Supplier Facilities Audited,SUPPLIER_FACILITIES_AUDITED,—,—,—,—,100.000,81.000,50.000,86.000,79.000,89.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,12.500,11.111,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,2.000,4.000,4.000,4.000,2.000,3.000,3.000,3.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,5.000,5.000,5.000,5.000,5.000,6.000,5.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,90.000,95.000,100.000,95.830,100.000,100.000,95.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,-10.000,5.556,5.263,-4.170,4.351,0.000,-5.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No,No,No,No,No,No,No,Yes
Board Size,BOARD_SIZE,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,9.000,8.000,8.000,8.000,7.000,7.000,6.000,6.000,6.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000,12.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,6.000,5.000,5.000,6.000,5.000,6.000,7.000,5.000,5.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,97.220,98.330,98.330,98.610,98.460,98.460,98.810,100.000,100.000,96.670
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.892,1.142,0.000,0.285,-0.152,0.000,0.355,1.204,0.000,-3.330
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,Yes,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,4.000,4.000,3.000,3.000,2.000,2.000,2.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,3.000,4.000,4.000,3.000,4.000,4.000,3.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,93.750,91.660,100.000,93.750,91.660,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,-2.229,9.099,-6.250,-2.229,9.099,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,2.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000
Board Age Limit,BOARD_AGE_LIMIT,70.000,70.000,70.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,—,—,—,—,45.000,46.000,40.000,43.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,—,—,—,—,84.000,72.000,69.000,70.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,12.000,12.000,12.000,11.000,10.000,11.000,9.000,9.000,6.000,11.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,6.000,6.000,6.000,6.000,5.000,5.000,5.000,5.000,6.000,6.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,0.000,1.000,1.000,3.000,1.000,2.000,2.000,0.000,1.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,100.000,100.000,100.000,83.330,83.330,100.000,—,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,0.000,-16.670,0.000,20.005,—,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
