,,,,,,,,,,,
Origin Energy Ltd (ORG AU) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of AUD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,9.759,96.346,12.655,6.608,0.000,0.000,8.833,0.000,2.468,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,75.527,63.576,64.961,64.961,67.459,67.459,67.459,73.721,73.721,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,0.000,-15.823,2.178,0.000,3.846,0.000,0.000,9.282,0.000,—
,,,,,,,,,,,
Environmental,,,,,,,,,,,
Air Quality,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,25.728,23.832,24.985,26.764,27.789,24.351,23.187,19.916,21.083,25.164
    Growth (YoY),NOX_EMISSIONS,10.720,-7.369,4.838,7.120,3.830,-12.372,-4.780,-14.107,5.860,19.357
VOC Emissions,VOC_EMISSIONS,1.166,2.973,1.692,0.913,1.022,0.699,0.668,0.623,0.652,0.701
    Growth (YoY),VOC_EMISSIONS,—,154.974,-43.088,-46.040,11.939,-31.605,-4.435,-6.737,4.655,7.515
Particulate Emissions,PARTICULATE_EMISSIONS,0.829,0.530,0.340,0.245,0.241,0.184,0.110,0.120,0.192,0.313
    Growth (YoY),PARTICULATE_EMISSIONS,88.409,-36.068,-35.849,-27.941,-1.633,-23.651,-40.217,9.091,60.000,63.021
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,29.267,28.417,30.574,39.329,45.087,39.072,33.152,25.716,30.107,37.391
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,5.925,-2.904,7.591,28.635,14.641,-13.341,-15.152,-22.430,17.075,24.194
,,,,,,,,,,,
Climate Change,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,"14,614.600",—,—,—
GHG Scope 1,GHG_SCOPE_1,"16,918.000","16,977.000","17,293.000","18,162.000","17,976.000","16,014.000","14,890.100","12,950.000","13,923.000","15,792.000"
    Growth (YoY),GHG_SCOPE_1,13.285,0.349,1.861,5.025,-1.024,-10.915,-7.018,-13.029,7.514,13.424
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,409.000,"1,265.000","1,818.000","2,090.000","2,289.000","2,403.000","2,304.720","2,350.000",878.000,792.000
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,214.615,209.291,43.715,14.961,9.522,4.980,-4.090,1.965,-62.638,-9.795
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,"2,303.710",—,—,—
GHG Scope 3,GHG_SCOPE_3,—,—,"27,451.000","24,751.000","23,858.000","21,411.000","37,921.000","42,426.000","35,259.000","28,394.000"
    Growth (YoY),GHG_SCOPE_3,—,—,—,-9.836,-3.608,-10.257,77.110,11.880,-16.893,-19.470
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,"27,009.600",—,—,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,1.545,—,—,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,"2,457.400",—,—,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,122.000,153.000,240.000,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,25.410,56.863,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,"969,257.000",—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,41.276,—,—,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,"1,726.920",—,—,—,—,—,—,—,—,—
    Growth (YoY),HAZARDOUS_WASTE,43.091,—,—,—,—,—,—,—,—,—
Total Waste,TOTAL_WASTE,"1,743.020",—,—,—,—,—,—,—,—,—
    Growth (YoY),TOTAL_WASTE,43.180,—,—,—,—,—,—,—,—,—
Waste Recycled,WASTE_RECYCLED,902.279,—,—,—,—,—,—,—,—,—
    Growth (YoY),WASTE_RECYCLED,72.524,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"2,588,960.000","2,741,900.000","2,614,570.000","2,865,780.000","2,782,700.000","2,592,920.000","2,599,200.000","2,338,510.000","2,627,420.000","2,770,010.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,5.054,5.907,-4.644,9.608,-2.899,-6.820,0.242,-10.030,12.354,5.427
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,"2,315,599,872.000","2,604,130,048.000","2,748,489,984.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,12.460,5.543
Water Consumption,WATER_CONSMPTN,—,—,—,—,"6,741.000","6,360.000",—,"22,752,000.000","23,284,000.000","21,522,000.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,-5.652,—,—,2.338,-7.567
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,n/a
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,Yes,No,No,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No,No,No,No,n/a
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,0.800,1.700,4.500,3.800
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,112.500,164.706,-15.556
Number of Customer Complaints,CUSTOMER_COMPLAINTS,—,91.000,71.000,86.000,12.000,14.000,3.000,5.000,9.000,7.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,28.100,28.600,28.800,32.300,30.300,32.200,33.200,40.800,46.000,44.200
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,4.074,1.779,0.699,12.153,-6.192,6.271,3.106,22.892,12.745,-3.913
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,40.000,34.950,35.000,38.000,36.000,35.000,35.100,37.000,37.922,44.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,0.000,-12.625,0.143,8.571,-5.263,-2.778,0.286,5.413,2.491,16.028
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,99.030,99.020,98.600,99.020,98.700,—,—,10.600,16.900
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,-0.010,-0.424,0.426,-0.323,—,—,—,59.434
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,0.133,0.104,0.111,0.103,0.004,0.023,0.011,0.006,—
    Growth (YoY),POLITICAL_DONATIONS,—,—,-22.288,6.779,-6.709,-95.842,438.928,-50.346,-46.864,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,—,—,—,—,—,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.200,0.160,0.160,0.100,0.220,0.160,0.220,0.260,0.280,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,-20.000,0.000,-37.500,120.000,-27.273,37.500,18.182,7.692,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.420,0.580,0.360,0.260,0.480,0.600,0.820
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,38.095,-37.931,-27.778,84.615,25.000,36.667
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.480,1.280,0.700,1.020,1.320,5.000,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,166.667,-45.313,45.714,29.412,278.788,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.760,0.840,0.640,0.440,0.900,0.520,0.540,0.800,0.760,0.820
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,10.526,-23.810,-31.250,104.545,-42.222,3.846,48.148,-5.000,7.895
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,n/a
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,922.000","5,811.000","5,894.000","5,565.000","5,360.000","5,232.000","4,979.000","5,174.000","5,630.000","5,616.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,911.000,533.000,430.000,397.000,337.000,632.000,270.000,—
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,17.400,26.000,21.000,20.000,14.000,18.000,18.000,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,49.425,-19.231,-4.762,-30.000,28.571,0.000,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,27.000,33.000,38.000,35.000,30.000,26.000,29.000,33.000,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,22.222,15.152,-7.895,-14.286,-13.333,11.538,13.793,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,"42,321.500","49,153.000","66,997.000",—
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,16.142,36.303,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,—,—,—,—,19.000,1.000,2.000,3.000,4.000,5.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,—,—,—,—,-94.737,100.000,50.000,33.333,25.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,4.000,5.000,5.000,5.000,4.000,6.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,5.000,4.000,5.000,5.000,5.000,4.000,6.000,5.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,5.000,6.000,4.000,4.000,4.000,5.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,96.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,-4.000,4.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,8.000,8.000,8.000,9.000,9.000,10.000,10.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,4.000,8.000,10.000,8.000,8.000,7.000,9.000,9.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,7.000,7.000,8.000,8.000,9.000,9.000,8.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,13.000,14.000,10.000,10.000,13.000,19.000,13.000,20.000,17.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,98.180,100.000,99.030,100.000,100.000,100.000,99.200,97.830,98.039
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.817,-1.820,1.854,-0.970,0.980,0.000,0.000,-0.800,-1.381,0.214
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,5.000,6.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,5.000,6.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,5.000,7.000,6.000,6.000,5.000,4.000,5.000,5.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,95.650,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,-4.350,4.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,0.000,1.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,2.000,2.000,2.000,2.000,2.000,3.000,4.000,4.000,4.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,7.000,7.000,7.000,8.000,8.000,9.000,9.000,8.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,5.000,5.000,5.000,5.000,5.000,5.000,6.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,5.000,5.000,5.000,5.000,5.000,5.000,6.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,1.000,1.000,1.000,1.000,3.000,3.000,3.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,90.900,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9.100,10.011
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
