,,,,,,,,,,
CorEnergy Infrastructure Trust Inc (CORRQ US) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No
Climate Change Policy,CLIMATE_CHG_POLICY,n/a,No,No,No,No,No,No,No,No
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,n/a,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,n/a,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,
Energy,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Materials & Waste,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Water,,,,,,,,,,
Water Policy,WATER_POLICY,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Social,,,,,,,,,,
Community & Customers,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,n/a,No,No,No,No,No,No,No,No
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,n/a,No,No,No,No,No,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,No,No,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Diversity,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Health & Safety,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,n/a,No,No,No,No,No,No,No,Yes
,,,,,,,,,,
Human Capital,,,,,,,,,,
Training Policy,TRAINING_POLICY,n/a,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,n/a,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,22.000,20.000,22.000,20.000,33.000,155.000,156.000,151.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Governance,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,10.000,9.091,8.333,7.692,7.143,6.667,6.250,5.882
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,4.000,4.000,4.000,4.000,4.000,5.000,6.000,6.000,7.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,-25.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,
Board Composition,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,6.000,6.000,7.000,6.000,5.000,4.000,5.000,6.000,6.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,3.000,7.000,8.000,7.000,6.000,4.000,6.000,6.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,4.000,5.000,4.000,4.000,3.000,3.000,4.000,4.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.000,17.000,11.000,15.000,14.000,27.000,10.000,15.000,—
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-25.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,
Compensation,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,3.000,3.000,2.000,2.000,3.000,3.000,4.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,3.000,3.000,2.000,2.000,3.000,3.000,4.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,4.000,4.000,4.000,4.000,4.000,10.000,7.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,
Diversity,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,2.000,2.000,1.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,75.000,75.000,75.000,75.000,75.000,75.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,55.000,56.000,54.000,55.000,56.000,57.000,58.000,51.000,52.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,74.000,74.000,75.000,72.000,73.000,68.000,69.000,71.000,72.000
,,,,,,,,,,
Independence,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,4.000,5.000,4.000,4.000,3.000,3.000,4.000,4.000
,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,2.000,2.000,3.000,3.000,4.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,2.000,2.000,3.000,3.000,4.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,4.000,4.000,4.000,4.000,4.000,10.000,7.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,-25.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,
Sustainability Governance,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,n/a,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,n/a,No,No,No,No,No,No,No,No
,,,,,,,,,,
Tenure,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,5.000
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,
