,,,,,,,,,,,
Ecopetrol SA (ECOPETL CB) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of COP except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,—,—,—,—,23.616,-6.851,-15.134,0.000,-66.667
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,—,—,—,—,—,—,—,91.000,—,—
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,2.240,2.180,2.940,2.100,2.220
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,-2.679,34.862,-28.571,5.714
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.000,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,2.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,2.000,0.000,1.000,0.000,1.000,2.000,2.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,2.000,0.000,1.000,0.000,1.000,3.000,3.000,0.000,0.000,2.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.214,0.162,0.118,0.146,0.070,0.098,0.086,0.022,0.050,0.060
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-6.957,-24.299,-27.160,23.729,-52.055,40.000,-12.245,-74.419,127.273,20.000
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.178,0.082,0.088,0.122,0.092,0.060,0.072,0.062,0.040,0.034
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,43.548,-53.933,7.317,38.636,-24.590,-34.783,20.000,-13.889,-35.484,-15.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.098,0.096,0.128,0.126,0.118,—,—,—,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,-2.041,33.333,-1.563,-6.349,—,—,—,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.404,0.224,0.250,0.204,0.126,0.158,0.134,0.064,0.078,0.094
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-16.529,-44.554,11.607,-18.400,-38.235,25.397,-15.190,-52.239,21.875,20.769
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.438,0.168,0.202,0.168,0.126,0.108,0.090,0.092,0.064,0.045
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,6.311,-61.644,20.238,-16.832,-25.000,-14.286,-16.667,2.222,-30.435,-30.000
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.192,0.212,0.175,0.152,0.161,—,—,—,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,10.417,-17.453,-13.143,5.921,—,—,—,—
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,Yes,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"9,150.000","8,731.000","8,848.000","9,282.000","9,703.000","10,087.000","9,770.000","9,322.000","9,496.000","9,850.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,"44,393.000","33,600.000","26,628.000","24,281.000","34,805.000","35,711.000","33,964.000","40,909.000","44,939.000","44,932.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,4.700,3.500,4.200,4.800,6.110,4.770,3.880
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,-25.532,20.000,14.286,27.292,-21.931,-18.658
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,31.410,46.900,79.000,78.000,77.700,79.000,78.300,77.700,78.000,82.500
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,7.975,49.316,68.443,-1.266,-0.385,1.673,-0.886,-0.766,0.386,5.769
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,"23,211.801","47,980.102","40,985.398"
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,—,—,—,—,—,106.706,-14.578
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"457,000.000","687,000.000","785,000.000","123,064.000","185,984.000","347,420.000","1,010,870.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,50.328,14.265,-84.323,51.128,86.801,190.965
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,4.000,5.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,33.333,25.000,-80.000,100.000,50.000,33.333,25.000,20.000,16.667,14.286
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,5.000,5.000,5.000,5.000,4.000,4.000,3.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,5.000,5.000,5.000,5.000,4.000,4.000,3.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,16.000,18.000,15.000,17.000,14.000,13.000,15.000,14.000,18.000,10.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,100.000,92.000,95.600,98.250,100.000,98.600,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,-8.000,3.913,2.772,1.781,-1.400,1.420
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.000,14.000,17.000,29.000,20.000,24.000,20.000,19.000,18.000,17.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,16.000,17.000,19.000,21.000,19.000,43.000,27.000,22.000,28.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,92.000,87.030,95.070,91.120,81.960,96.880,97.100,98.140,99.479
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-5.402,9.238,-4.155,-10.053,18.204,0.227,1.071,1.365
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,5.000,5.000,4.000,3.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.000,2.000,2.000,3.000,3.000,4.000,4.000,4.000,2.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,5.000,5.000,5.000,5.000,6.000,9.000,8.000,7.000,18.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,90.000,100.000,92.600,96.000,100.000,100.000,98.520
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,11.111,-7.400,3.672,4.167,0.000,-1.480
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,4.000,3.000,3.000,3.000,3.000,3.000,4.000,5.000,5.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,2.000,3.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,34.000,35.000,36.000,48.000,—,44.000,49.000,46.000,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,65.000,72.000,73.000,74.000,—,73.000,74.000,75.000,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,6.000,6.000,7.000,7.000,8.000,7.000,8.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,5.000,5.000,4.000,3.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,3.000,3.000,4.000,4.000,4.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,5.000,5.000,5.000,5.000,6.000,9.000,8.000,7.000,11.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,90.000,100.000,92.600,96.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,11.111,-7.400,3.672,4.167,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
