,,,,,,,,,,,
Veren Inc (VRN CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,—,167.074
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,12.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,9.091,25.000,6.667,6.250,5.882,5.556,5.263,5.000,4.762,4.545
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,97.000,92.850,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,-3.000,-4.278,7.701,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.000,8.000,10.000,10.000,10.000,9.000,10.000,10.000,10.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,11.000,10.000,9.000,9.000,7.000,6.000,5.000,7.000,8.000,8.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,13.000,12.000,8.000,7.000,16.000,6.000,8.000,11.000,15.000,10.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,99.000,99.000,99.000,97.000,97.820,100.000,98.980,100.000,97.778
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-1.000,0.000,0.000,-2.020,0.845,2.229,-1.020,1.031,-2.222
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,3.000,4.000,3.000,3.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,3.000,4.000,3.000,3.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,6.000,11.000,10.000,8.000,6.000,5.000,5.000,5.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,97.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,-3.000,3.093,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,2.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,75.000,75.000,75.000,—,—,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,46.000,47.000,48.000,41.000,42.000,43.000,44.000,45.000,41.000,42.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,66.000,67.000,68.000,69.000,65.000,67.000,68.000,69.000,70.000,71.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000,4.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.000,7.000,5.000,10.000,9.000,7.000,4.000,4.000,5.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,94.000,100.000,97.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,-6.000,6.383,-3.000,3.093,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
