,,,,,,,,,,,,,,,
LyondellBasell Industries NV (LYB US) - Overview,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),VOC_EMISSIONS,—,-11.4,3.7,-13.8,-0.7,10.7,3.5,-2.9,-8.0,-3.5,-2.0,12.3,-6.5,0.0
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,6.4,4.4,4.3,4.3,4.3,5.3,5.4,5.3,5.2,5.6,5.4,6.6,6.9,7.1
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,-31.4,-2.3,0.0,0.0,23.3,1.3,-1.3,-1.3,6.3,-2.8,21.3,4.8,3.1
Particulate Emissions,PARTICULATE_EMISSIONS,2.6,1.8,1.9,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.0,1.2,1.1,1.1
    Growth (YoY),PARTICULATE_EMISSIONS,—,-31.7,5.6,-21.1,0.0,-9.9,-6.4,3.2,-8.3,-2.0,-17.2,22.3,-5.1,-2.4
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,7.8,5.3,3.2,2.2,1.9,1.7,1.9,1.6,1.3,1.3,1.0,1.0,1.0,0.9
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,-31.7,-39.6,-31.3,-15.5,-10.2,15.0,-17.2,-15.2,-0.7,-23.7,2.1,-2.4,-12.5
,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ODS Emissions,ODS_EMISSIONS,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,—
    Growth (YoY),ODS_EMISSIONS,—,—,—,—,—,—,—,—,25.4,116.2,0.0,43.8,-21.3,—
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,"13,870.0","14,226.0","14,533.0",—,—,—,"15,327.8"
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,2.6,2.2,—,—,—,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,"14,100.0","13,368.0","13,928.0","14,273.0","14,578.0","15,556.7","16,300.0","14,700.0","15,367.4"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,-5.2,4.2,2.5,2.1,6.7,4.8,-9.8,4.5
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,"8,700.0","8,354.0","9,017.0","9,106.0","8,593.0","7,112.3","7,100.0","7,000.0","7,147.8"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,-4.0,7.9,1.0,-5.6,-17.2,-0.2,-1.4,2.1
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,"8,353.0","9,016.0","9,036.0","8,347.0","7,623.3","7,600.0","7,400.0","6,972.8"
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,7.9,0.2,-7.6,-8.7,-0.3,-2.6,-5.8
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,"18,531.9","241,432.0","34,443.3","31,345.2","94,901.8","101,900.0","98,500.0","99,286.2"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,"1,202.8",-85.7,-9.0,202.8,7.4,-3.3,0.8
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,0.56,0.57,0.57,0.56,0.56,0.56,0.56,0.61,0.60,0.60,0.50
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,2.5,-1.0,-0.4,-0.2,-0.2,-1.1,9.9,-1.8,0.0,-16.7
,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"97,222.2","94,166.7","90,277.8","92,777.8","92,500.0","111,667.0","66,236.0","113,247.0","115,493.0","117,610.0","106,389.0","115,278.0","106,111.0","104,253.0"
    Growth (YoY),ENERGY_CONSUMPTION,—,-3.1,-4.1,2.8,-0.3,20.7,-40.7,71.0,2.0,1.8,-9.5,8.4,-8.0,-1.8
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,0.0,88.0,92.0,83.3,83.3,27.8,427.1
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,"453,508.2",4.5,-9.4,0.0,-66.7,"1,437.7"
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,"9,034.0","8,838.1","9,276.0","12,629.0","8,333.3","8,888.9","8,611.1","8,765.2"
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,-2.2,5.0,36.1,-34.0,6.7,-3.1,1.8
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,0.0,0.0,0.0,—,—,—,0.0
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,380.5,371.4,544.8,475.0,—,—,—,328.7
    Growth (YoY),COAL_USED,—,—,—,—,—,—,—,-2.4,46.7,-12.8,—,—,—,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,"5,274,250.0","4,057,540.0","6,696,100.0","6,423,240.0",—,—,—,"5,483,040.0"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,-23.1,65.0,-4.1,—,—,—,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,161.8,167.7,147.5,"2,092.7",—,—,—,598.7
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,3.6,-12.0,"1,318.7",—,—,—,—
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,2.78,2.77,2.79,2.78,2.65,2.75,2.78,2.64,2.50
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,—,—,—,—,—,-0.1,0.5,-0.1,-4.9,3.9,1.0,-5.0,-5.3
,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,"1,163.0","1,170.0","1,150.0","1,110.0","1,240.0","1,190.0","1,240.0","1,757.0","1,312.0","1,209.0","1,228.0","1,271.0","1,087.0",981.0
    Growth (YoY),HAZARDOUS_WASTE,—,0.6,-1.7,-3.5,11.7,-4.0,4.2,41.7,-25.3,-7.9,1.6,3.5,-14.5,-9.8
Total Waste,TOTAL_WASTE,"2,464.0","2,410.0","2,330.0","1,740.0","1,700.0","1,328.0","1,395.0","1,870.0","1,999.0","1,881.0","2,023.0","1,881.0","1,344.0","1,182.0"
    Growth (YoY),TOTAL_WASTE,—,-2.2,-3.3,-25.3,-2.3,-21.9,5.0,34.1,6.9,-5.9,7.5,-7.0,-28.5,-12.1
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,—,70.5,209.6,94.8,71.4,43.0,54.0,55.4
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,—,197.2,-54.8,-24.7,-39.7,25.5,2.6
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,—,90.4,92.6,91.1,87.9
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,—,—,—,—,2.4,-1.6,-3.5
,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"139,000.0","152,000.0","142,000.0","139,000.0","147,000.0","148,000.0","155,000.0","232,000.0","243,800.0","253,400.0","249,500.0","270,700.0","272,500.0","279,000.0"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,9.4,-6.6,-2.1,5.8,0.7,4.7,49.7,5.1,3.9,-1.5,8.5,0.7,2.4
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,"134,700.0","150,300.0","155,300.0","154,200.0","165,000.0","161,200.0","163,600.0"
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,—,11.6,3.3,-0.7,7.0,-2.3,1.5
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,"97,300.0","93,500.0","97,600.0","95,200.0","105,700.0","111,400.0","115,500.0"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,-3.9,4.4,-2.5,11.0,5.4,3.7
Water per Unit of Production,WATER_PER_UNIT_OF_PROD,—,—,—,—,—,3.79,3.94,2.73,2.61,—,—,—,—,—
    Growth (YoY),WATER_PER_UNIT_OF_PROD,—,—,—,—,—,—,4.0,-30.7,-4.4,—,—,—,—,—
,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes
,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,—,—,—,—,—,—,2.3,2.3,1.7,2.5,1.1,0.4,0.2
    Growth (YoY),COMMUNITY_SPENDING,—,—,—,—,—,—,—,—,0.0,-26.1,47.1,-56.0,-60.0,-65.2
,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—,—,—,22.00,25.00
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—,—,—,—,13.6
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,17.50,21.30,—,—
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,—,—,—,—,21.7,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,17.00,17.00,18.60,18.80,18.12,19.41,20.00
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,0.0,9.4,1.1,-3.6,7.1,3.0
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,—,—,—,2.00,1.00
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,—,—,—,—,-50.0
,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1
    Growth (YoY),POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,-0.9,-11.1,-7.5,-34.0,50.3,-19.1
,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.00,—,—,—,—,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.00,—,—,—,—,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00
Fatalities - Total,FATALITIES_TOTAL,0.00,—,—,—,—,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,0.22,0.21,0.24,0.22,0.20,0.18,0.17,0.16,0.14
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,—,—,-4.5,14.3,-8.3,-9.1,-10.0,-5.6,-5.9,-13.1
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,0.22,0.22,0.18,0.14,0.22,0.22,0.25,0.08,0.14
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,—,—,0.0,-18.2,-22.2,57.1,0.0,13.6,-68.0,75.0
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.42,0.35,0.23,0.23,0.23,0.22,0.21,0.21,0.18,0.21,0.20,0.21,0.12,0.14
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,-16.7,-34.3,0.0,0.0,-4.3,-4.5,0.0,-14.3,16.7,-4.8,5.0,-42.9,15.8
,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"14,000.00","14,000.00","13,500.00","13,000.00","13,100.00","13,000.00","13,000.00","13,400.00","19,450.00","19,065.00","19,200.00","19,113.00","19,451.00","20,299.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,8.90,8.90,11.70,11.94,9.00
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,—,0.0,31.5,2.1,-24.6
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,6.42,6.42,5.92,6.53,6.25,—,—,—,—,—,—,—,—,9.00
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,0.0,-7.8,10.3,-4.3,—,—,—,—,—,—,—,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,"245,000.00","376,000.00","363,000.00","288,000.00","745,407.00","816,942.00","608,970.00"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,—,—,53.5,-3.5,-20.7,158.8,9.6,-25.5
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,—,—,—,—,—,—,—,—,—,—,84.00,678.00,"1,533.00"
,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,33.3,25.0,20.0,16.7,14.3,12.5,11.1,10.0,9.1,8.3,7.7,7.1,6.7
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,3.00,7.00,9.00,6.00,5.00,5.00,6.00,7.00,7.00,5.00,5.00,5.00,5.00,5.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,85.00,95.00,85.00,90.00,93.00
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,11.8,-10.5,5.9,3.3
,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.00,11.00,11.00,9.00,11.00,12.00,11.00,11.00,12.00,12.00,11.00,12.00,12.00,11.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,14.00,15.00,16.00,15.00,14.00,10.00,9.00,11.00,11.00,11.00,10.00,10.00,11.00,11.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.00,11.00,11.00,9.00,11.00,12.00,11.00,11.00,11.00,11.00,10.00,11.00,11.00,10.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,3.00,11.00,7.00,4.00,4.00,5.00,5.00,4.00,11.00,9.00,9.00,9.00,6.00,6.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,—,85.00,95.00,85.00,90.00,93.00
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,—,—,11.8,-10.5,5.9,3.3
,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,2.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,4.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,2.00,6.00,7.00,5.00,4.00,4.00,6.00,3.00,3.00,6.00,4.00,7.00,6.00,4.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,85.00,95.00,85.00,90.00,93.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,11.8,-10.5,5.9,3.3
,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,0.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,—,—,—,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,38.00,39.00,40.00,50.00,51.00,52.00,53.00,54.00,52.00,53.00,54.00,55.00,57.00,58.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,67.00,68.00,69.00,70.00,71.00,72.00,73.00,74.00,75.00,75.00,74.00,75.00,75.00,72.00
,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,3.00,6.00,6.00,7.00,9.00,12.00,11.00,11.00,11.00,11.00,9.00,11.00,11.00,10.00
,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00
