,,,,,,,,,,,
Galp Energia SGPS SA (GALP PL) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,—,—,0.000,0.000
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,0.380,0.160,0.220,0.300,0.300,0.158,0.248,0.120,0.310
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,-57.895,37.500,36.364,0.000,-47.333,56.962,-51.613,158.333
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.160,0.080,0.160,0.080,0.260,0.160,0.064,0.250,0.360,0.320
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,60.000,-50.000,100.000,-50.000,225.000,-38.462,-60.000,290.625,44.000,-11.111
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.400,0.260,0.160,0.160,0.300,0.220,0.104,0.248,0.246,0.320
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,42.857,-35.000,-38.462,0.000,87.500,-26.667,-52.727,138.462,-0.806,30.081
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,0.460,0.600,0.380,0.228,0.372,0.160,0.470
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,30.435,-36.667,-40.000,63.158,-56.989,193.750
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,0.200,0.500,0.320,0.194,0.320,0.660,0.490
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,—,—,—,150.000,-36.000,-39.375,64.948,106.250,-25.758
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,0.680,0.460,0.340,0.600,0.340,0.208,0.346,0.426,0.480
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,-32.353,-26.087,76.471,-43.333,-38.824,66.346,23.121,12.676
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,855.000","6,792.000","6,475.000","6,389.000","6,360.000","6,386.000","6,114.000","6,152.000","6,715.000","7,054.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,—,—,—,—,"2,507.000","4,642.000","11,073.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,16.470,2.600,2.500,2.400,2.600,1.800,2.640,2.920,2.840,6.250
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-3.118,-84.214,-3.846,-4.000,8.333,-30.769,46.667,10.606,-2.740,120.070
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,77.000,76.000,73.000,73.460
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,-1.299,-3.947,0.630
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,2.978,3.069,3.966,3.000,1.285,1.800,3.495,3.555
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,—,—,3.031,29.242,-24.360,-57.160,40.056,94.182,1.723
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"173,370.000","177,578.000","196,806.000","185,730.000","116,220.000","201,854.000","169,368.000","181,655.000","191,551.000","223,711.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-22.675,2.427,10.828,-5.628,-37.425,73.683,-16.094,7.255,5.448,16.789
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Supplier Audits Conducted,SUPPLIER_AUDITS_CONDUCTED,60.000,44.000,—,21.000,24.000,49.000,169.000,217.000,162.000,122.000
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,—,4.000,4.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,—,—,—,—,—,—,1.000,1.000,1.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,—,13.000,15.000,16.000,3.000,6.000,7.000,4.000,4.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,100.000,100.000,—,—,—,—,—
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,0.000,—,—,—,—,—
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,20.000,19.000,19.000,19.000,19.000,19.000,19.000,18.000,18.000,19.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,7.000,7.000,7.000,7.000,7.000,5.000,4.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,13.000,12.000,12.000,12.000,12.000,12.000,12.000,13.000,13.000,13.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,12.000,10.000,13.000,13.000,9.000,9.000,11.000,17.000,9.000,9.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,95.260,90.600,91.710,92.980,98.840,99.040,97.470,95.320,96.960
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-4.892,1.225,1.385,6.302,0.202,-1.585,-2.206,1.721
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,2.000,3.000,3.000,2.000,2.000,6.000,3.000,5.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,2.000,2.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,3.000,3.000,3.000,5.000,5.000,4.000,5.000,7.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,44.000,45.000,46.000,32.000,33.000,34.000,35.000,36.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,72.000,73.000,74.000,74.000,75.000,76.000,77.000,78.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.000,5.000,5.000,5.000,5.000,5.000,5.000,6.000,7.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
