,,,,,,,,,,,
PBF Energy Inc (PBF US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,n/a
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,—
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,3.000,3.000,—
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,5.000,5.000,4.000,3.000,5.000,4.000,4.000,6.000,4.000,—
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,—
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000,2.000,—
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,59.000,60.000,53.000,54.000,55.000,56.000,57.000,58.000,48.000,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,76.000,76.000,77.000,78.000,79.000,80.000,81.000,82.000,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,9.000,—
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,—
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,—
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,4.000,5.000,3.000,5.000,4.000,5.000,4.000,5.000,—
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,—
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,n/a,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,n/a
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
