,,,,,,,,,,,
Athabasca Oil Corp (ATH CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,10.000,7.000,8.000,7.000,5.000,3.000,4.000,4.000,5.000,5.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,6.000,5.000,4.000,5.000,5.000,6.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,8.000,8.000,18.000,7.000,5.000,6.000,9.000,5.000,5.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,99.000,95.450,94.110,97.610,100.000,—,96.150,96.970
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,-3.586,-1.404,3.719,2.449,—,—,0.853
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,5.000,4.000,3.000,4.000,2.000,2.000,2.000,2.000,2.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.000,—,100.000,100.000,92.850,100.000,100.000,—,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,-7.150,7.701,0.000,—,—,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,3.000,2.000,1.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.000,6.000,5.000,4.000,5.000,5.000,6.000,6.000,6.000,6.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,4.000,3.000,3.000,3.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,5.000,4.000,3.000,4.000,2.000,2.000,2.000,2.000,2.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.000,—,100.000,100.000,92.850,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.000,-7.150,7.701,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
