,,,,,,,,,,,
Eni SpA (ENI IM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,Yes
Risks of Climate Change Discussed,CLIMATE_RISKS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CO2 Scope 1,CO2_SCOPE_1,—,"37,881.898","38,170.000","40,012.801","40,533.699","39,370.000","36,120.000","38,443.500","37,887.000","37,496.102"
    Growth (YoY),CO2_SCOPE_1,—,—,0.761,4.828,1.302,-2.871,-8.255,6.433,-1.448,-1.032
GHG Scope 1,GHG_SCOPE_1,"42,925.898","41,562.500","42,150.000","42,515.699","43,347.398","41,200.602","37,800.000","40,076.398","39,390.000","38,685.102"
    Growth (YoY),GHG_SCOPE_1,-9.247,-3.176,1.414,0.868,1.956,-4.953,-8.254,6.022,-1.713,-1.790
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,672.295,609.250,710.558,651.274,671.111,693.116,731.606,812.940,790.000,728.411
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,-11.079,-9.378,16.628,-8.343,3.046,3.279,5.553,11.117,-2.822,-7.796
GHG Scope 3,GHG_SCOPE_3,"274,258.000","245,884.000","246,431.000","249,071.000","224,100.000","226,400.000","205,800.000","196,500.000","178,900.000","189,039.000"
    Growth (YoY),GHG_SCOPE_3,-3.062,-10.346,0.222,1.071,-10.026,1.026,-9.099,-4.519,-8.957,5.667
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,0.239,0.310
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,—,—,29.452
,,,,,,,,,,,
Energy,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"148,394.000","150,224.000","146,688.000","154,799.000","157,005.000","153,516.000","149,250.000","153,472.000","139,778.000","143,389.000"
    Growth (YoY),ENERGY_CONSUMPTION,-8.809,1.233,-2.354,5.529,1.425,-2.222,-2.779,2.829,-8.923,2.583
Renewable Energy Use,RENEW_ENERGY_USE,—,—,0.213,8.183,22.126,48.109,250.000,416.667,333.333,361.111
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,"3,741.784",170.389,117.433,419.653,66.667,-20.000,8.333
Electricity Used,ELECTRICITY_USED,"5,105.000","7,671.000","6,247.370","51,418.000","52,793.602","50,200.801","54,960.102","5,083.330","4,194.440","4,166.670"
    Growth (YoY),ELECTRICITY_USED,2.841,50.264,-18.559,723.034,2.675,-4.911,9.481,-90.751,-17.486,-0.662
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,0.213,8.183,22.126,48.109,23.639,9.338,27.020,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,"3,741.784",170.389,117.433,-50.864,-60.497,189.355,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,—,—,—,—,—,152.897,132.045,—
    Growth (YoY),COAL_USED,—,—,—,—,—,—,—,—,-13.638,—
Fuel Used - Natural Gas,NAT_GAS_USED,"10,539,600.000","11,082,300.000","11,027,300.000","12,213,200.000","11,948,200.000","11,865,700.000","11,672,600.000","14,111,000.000","12,976,000.000","11,529,200.000"
    Growth (YoY),NAT_GAS_USED,-5.767,5.149,-0.496,10.754,-2.170,-0.690,-1.627,20.890,-8.043,-11.150
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,"3,282.810",613.800,705.353,446.468,494.911,424.341,376.723,37.588,43.643,—
    Growth (YoY),OIL_DIESEL_USED,-24.278,-81.303,14.916,-36.703,10.850,-14.259,-11.222,-90.023,16.111,—
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,"3,830.870",387.672,400.000,800.000,400.000,500.000,400.000,600.000,"1,200.000","2,200.000"
    Growth (YoY),HAZARDOUS_WASTE,923.145,-89.880,3.180,100.000,-50.000,25.000,-20.000,50.000,100.000,83.333
Total Waste,TOTAL_WASTE,"11,689.900","7,114.760","6,500.000","6,200.000","6,900.000","6,300.000","6,000.000","6,300.000","7,100.000","6,200.000"
    Growth (YoY),TOTAL_WASTE,630.619,-39.138,-8.641,-4.615,11.290,-8.696,-4.762,5.000,12.698,-12.676
Waste Recycled,WASTE_RECYCLED,—,"5,940.600","4,483.480","4,831.060","1,000.000",150.000,200.000,230.000,260.000,500.000
    Growth (YoY),WASTE_RECYCLED,—,—,-24.528,7.752,-79.301,-85.000,33.333,15.000,13.043,92.308
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,110.000,120.000,90.000,70.000,110.000,100.000
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,9.091,-25.000,-22.222,57.143,-9.091
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"1,877,810.000","1,805,000.000","1,851,000.000","1,786,000.000","1,776,000.000","1,597,000.000","1,722,000.000","1,665,000.000","1,408,000.000","1,224,000.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,-14.891,-3.877,2.548,-3.512,-0.560,-10.079,7.827,-3.310,-15.435,-13.068
Total Water Discharged,TOTAL_WATER_DISCHARGED,"1,723,130.000","1,659,000.000","1,767,000.000","1,663,000.000","1,668,000.000","1,432,000.000","1,583,000.000","1,540,000.000","1,292,000.000","1,118,000.000"
    Growth (YoY),TOTAL_WATER_DISCHARGED,-12.175,-3.722,6.510,-5.886,0.301,-14.149,10.545,-2.716,-16.104,-13.467
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,"139,000.000","128,000.000","136,000.000","128,000.000"
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,-7.914,6.250,-5.882
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,n/a
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,67.406,74.000,67.000,70.681,94.800,95.300,96.100,105.300,76.400,95.000
    Growth (YoY),COMMUNITY_SPENDING,17.085,9.783,-9.459,5.494,34.124,0.527,0.839,9.573,-27.445,24.346
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,11.240,15.000,14.200,14.140,14.880,15.570,16.270,16.670,17.510,18.170
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,3.594,33.452,-5.333,-0.423,5.233,4.637,4.496,2.459,5.039,3.769
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,24.190,25.130,26.030,26.420,27.700,27.740,28.510,29.670,30.340
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,3.886,3.581,1.498,4.845,0.144,2.776,4.069,2.258
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,16.330,25.680,23.240,23.540,23.610,24.230,24.560,26.220,26.860,27.380
    Growth (YoY),PCT_WOMEN_EMPLOYEES,-1.210,57.257,-9.502,1.291,0.297,2.626,1.362,6.759,2.441,1.936
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,97.000,98.000,98.000,96.000,97.000,98.000,98.000,98.000,99.000,98.000
    Growth (YoY),PCT_GENDER_PAY_GAP_SEN_MGMT,3.191,1.031,0.000,-2.041,1.042,1.031,0.000,0.000,1.020,-1.010
Percentage Gender Pay Gap Mid & Other Management,PCT_GENDER_PAY_GAP_MID_OTH_MGMT,96.000,97.000,97.000,96.000,99.000,97.000,97.000,98.000,99.000,100.000
    Growth (YoY),PCT_GENDER_PAY_GAP_MID_OTH_MGMT,0.000,1.042,0.000,-1.031,3.125,-2.020,0.000,1.031,1.020,1.010
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,4.000,3.000,3.000,2.000,2.000,2.000,3.000,3.000,3.000
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,-25.000,0.000,-33.333,0.000,0.000,50.000,0.000,0.000
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,4.000,4.000,2.000,1.000,4.000,2.000,1.000,0.000,4.000,1.000
Fatalities - Total,FATALITIES_TOTAL,4.000,4.000,2.000,1.000,4.000,3.000,1.000,0.000,4.000,1.000
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.076,0.042,0.060,0.054,0.056,0.034,0.052,0.074,0.054,0.090
    Growth (YoY),LOST_TIME_INCIDENT_RATE,-5.000,-44.737,42.857,-10.000,3.704,-39.286,52.941,42.308,-27.027,66.667
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.052,0.036,0.038,0.038,0.042,0.040,0.036,0.034,0.050,0.076
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,-18.750,-30.769,5.556,0.000,10.526,-4.762,-10.000,-5.556,47.059,52.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,0.038,0.046,0.042,0.046,0.038,0.042,0.046,0.052,0.080
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,21.053,-8.696,9.524,-17.391,10.526,9.524,13.043,53.846
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.226,0.068,0.072,0.060,0.074,0.042,0.074,0.080,0.058,0.090
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-16.296,-69.912,5.882,-16.667,23.333,-43.243,76.190,8.108,-27.500,55.172
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.146,0.086,0.070,0.068,0.068,0.078,0.070,0.064,0.094,0.076
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,-15.116,-41.096,-18.605,-2.857,0.000,14.706,-10.256,-8.571,46.875,-19.149
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.170,0.080,0.070,0.066,0.070,0.068,0.072,0.068,0.082,0.080
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,-39.286,-52.941,-12.500,-5.714,6.061,-2.857,5.882,-5.556,20.588,-2.439
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"83,599.000","28,246.000","33,536.000","32,934.000","31,701.000","32,053.000","30,775.000","32,689.000","32,188.000","33,142.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,"2,307.000","2,373.000","2,555.000","2,394.000","2,828.000","2,692.000","2,793.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,9.900,6.600,6.100,6.800,7.000,9.800,6.100,10.500,12.600,12.500
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,-33.333,-7.576,11.475,2.941,40.000,-37.755,72.131,20.000,-0.794
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,48.710,82.480,81.960,80.890,83.030,83.400,81.600,87.720,86.950
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,69.329,-0.630,-1.306,2.646,0.446,-2.158,7.500,-0.878
Employee Training Cost,EMPLOYEE_TRAINING_COST,60.930,27.510,28.100,30.700,33.600,33.400,22.400,27.400,27.400,31.600
    Growth (YoY),EMPLOYEE_TRAINING_COST,-19.734,-54.850,2.145,9.253,9.446,-0.595,-32.934,22.321,0.000,15.328
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"3,207,000.000","915,000.000","930,345.000","1,111,110.000","1,169,380.000","1,362,180.000","1,040,120.000","1,037,320.000","975,794.000","1,186,180.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,-26.265,-71.469,1.677,19.430,5.244,16.487,-23.643,-0.269,-5.931,21.560
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,No,No,No,No,No,n/a
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,480.000,—,—,"5,000.000","5,184.000","5,906.000","5,655.000","6,318.000","6,622.000","6,471.000"
Percentage of Suppliers in Non-Compliance,PCT_OF_SUPPLIERS_IN_NON_COMPL,—,—,—,1.300,1.900,1.600,2.190,0.530,0.815,0.618
    Growth (YoY),PCT_OF_SUPPLIERS_IN_NON_COMPL,—,—,—,—,46.154,-15.789,36.875,-75.799,53.774,-24.154
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,5.000,6.000,7.000,8.000,9.000,1.000,2.000,3.000,4.000,5.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,25.000,20.000,16.667,14.286,12.500,-88.889,100.000,50.000,33.333,25.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,3.000,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,21.000,13.000,14.000,16.000,16.000,20.000,24.000,17.000,15.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,98.400,100.000,100.000,100.000,99.000,99.500
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,0.000,0.000,-1.600,1.626,0.000,0.000,-1.000,0.505
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,15.000,16.000,17.000,19.000,17.000,18.000,13.000,13.000,13.000,16.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,13.000,14.000,13.000,12.000,13.000,15.000,13.000,16.000,9.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,100.000,97.620,100.000,99.100,100.000,100.000,100.000,97.900,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,-2.380,2.438,-0.900,0.908,0.000,0.000,-2.100,2.145
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,3.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,12.000,10.000,9.000,10.000,8.000,10.000,10.000,9.000,7.000,10.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,96.000,95.000,94.400,97.220,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,3.226,-1.042,-0.632,2.987,2.859,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,3.000,1.000,0.000,0.000,0.000,0.000,2.000,3.000,3.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,3.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,41.000,42.000,43.000,44.000,45.000,46.000,43.000,44.000,45.000,43.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,66.000,67.000,68.000,69.000,70.000,71.000,65.000,66.000,67.000,68.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,7.000,6.000,6.000,6.000,6.000,6.000,7.000,6.000,7.000,7.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,3.000,2.000,2.000,3.000,3.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,12.000,10.000,10.000,10.000,9.000,13.000,10.000,8.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,98.000,100.000,95.000,92.500,100.000,97.620,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,2.041,-5.000,-2.632,8.108,-2.380,2.438,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
