,,,,,,,,
Viva Energy Group Ltd (VEA AU) - Overview,,,,,,,,
,,,,,,,,
In Millions of AUD except Per Share,,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,2.525
,,,,,,,,
Supply Chain,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No
,,,,,,,,
Water,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"100,668.000","118,558.000","107,540.000","85,557.000","110,637.000","111,311.000",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,17.771,-9.293,-20.442,29.314,0.609,—
,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,
Social,,,,,,,,
Community & Customers,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,—,0.319,0.355,0.130,0.777,1.260,1.890
    Growth (YoY),COMMUNITY_SPENDING,—,—,11.350,-63.402,497.400,62.242,50.000
,,,,,,,,
Diversity,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,Yes,Yes,Yes,Yes
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,37.500,43.330,39.000,41.000,44.000,44.000,46.000
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,15.547,-9.993,5.128,7.317,0.000,4.545
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,21.600,23.400,24.000,24.000,26.000,29.000,42.000
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,8.333,2.564,0.000,8.333,11.538,44.828
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,7.600,3.600,9.950,10.800
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,-52.632,176.389,8.543
,,,,,,,,
Ethics & Compliance,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,—,—,—,—,—,—,0.000
,,,,,,,,
Health & Safety,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000,0.000,0.000,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,1.000,0.000,0.000,0.000,0.000,—
Fatalities - Total,FATALITIES_TOTAL,0.000,1.000,0.000,0.000,0.000,0.000,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.180,0.224,0.380,0.210,0.130,0.290,0.800
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,24.444,69.643,-44.737,-38.095,123.077,175.862
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.180,0.224,0.282,0.228,0.394,0.396,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,24.444,25.893,-19.149,72.807,0.508,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.902,1.154,0.980,0.490,1.310,1.110,1.452
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,27.938,-15.078,-50.000,167.347,-15.267,30.811
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.902,1.154,0.910,0.720,1.440,1.190,1.440
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,27.938,-21.144,-20.879,100.000,-17.361,21.008
,,,,,,,,
Human Capital,,,,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,Yes,Yes,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"1,294.000","1,289.000","1,475.000","1,419.000","1,447.000","1,705.000","8,055.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,350.000,—,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,32.000,35.000,66.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,9.375,88.571
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,"32,395.000","56,000.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,—,—,—,72.866
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,No,No,Yes
,,,,,,,,
Supply Chain,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes
,,,,,,,,
Governance,,,,,,,,
Audit Risk & Oversight,,,,,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,0.000,3.000,3.000,3.000,4.000,3.000,3.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,—,2.000,2.000,2.000,3.000,2.000,2.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,3.000,8.000,7.000,7.000,7.000,6.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,0.000,0.000,0.000,0.000,0.000
,,,,,,,,
Board Composition,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,4.000,7.000,7.000,7.000,8.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,8.000,8.000,7.000,9.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,4.000,6.000,6.000,6.000,6.000,6.000,6.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,4.000,6.000,16.000,15.000,17.000,16.000,13.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,100.000,100.000,91.960,100.000,100.000,98.210,94.500
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,-8.040,8.743,0.000,-1.790,-3.778
,,,,,,,,
Compensation,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,2.000,2.000,2.000,2.000,2.000,2.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,2.000,6.000,4.000,3.000,4.000,4.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,94.440,100.000,100.000,100.000,100.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,-5.560,5.887,0.000,0.000,0.000
,,,,,,,,
Diversity,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,2.000,2.000,2.000,4.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,2.000,2.000,2.000,2.000,2.000,2.000
,,,,,,,,
Independence,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,1.000,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,
Nominations & Governance Oversight,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,3.000,3.000,3.000,3.000,3.000,3.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,2.000,2.000,2.000,2.000,2.000,2.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,2.000,6.000,4.000,6.000,4.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.000,94.440,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,-5.560,5.887,0.000,0.000,0.000
,,,,,,,,
Sustainability Governance,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,
Tenure,,,,,,,,
,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,
