,,,,,,,
Saudi Arabian Oil Co (ARAMCO AB) - Overview,,,,,,,
,,,,,,,
In Millions of SAR except Per Share,,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,0.000,0.000,0.000
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,0.075,0.076,0.078,0.078,0.075,0.078
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,1.961,1.923,0.943,-3.738,3.883
,,,,,,,
Energy,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Energy Per Unit of Production,ENERGY_PER_UNIT_PRODUCTION,0.035,0.034,0.033,0.034,0.043,0.045
    Growth (YoY),ENERGY_PER_UNIT_PRODUCTION,—,-3.634,-1.488,3.734,25.388,5.197
,,,,,,,
Materials & Waste,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,Yes,Yes,Yes,Yes,Yes
Total Waste,TOTAL_WASTE,—,—,313.348,240.225,318.656,481.561
    Growth (YoY),TOTAL_WASTE,—,—,—,-23.336,32.649,51.123
Waste Recycled,WASTE_RECYCLED,—,—,155.107,95.610,127.144,171.917
    Growth (YoY),WASTE_RECYCLED,—,—,—,-38.359,32.982,35.214
,,,,,,,
Supply Chain,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Water,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"137,300.000","136,600.000","135,700.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,-0.510,-0.659
Water Consumption,WATER_CONSMPTN,"30,500.000","36,150.000","32,850.000","94,610.000","93,600.000","89,900.000"
    Growth (YoY),WATER_CONSMPTN,—,18.525,-9.129,188.006,-1.068,-3.953
,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,No,No,No
,,,,,,,
Social,,,,,,,
Community & Customers,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No,No,Yes
,,,,,,,
Diversity,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,2.100,2.700,3.100,3.800,4.800
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,28.571,14.815,22.581,26.316
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,4.700,4.900,5.100,5.600,6.400,7.200
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,4.255,4.082,9.804,14.286,12.500
,,,,,,,
Ethics & Compliance,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Health & Safety,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,1.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,4.000,3.000
Fatalities - Total,FATALITIES_TOTAL,9.000,6.000,1.000,1.000,5.000,3.000
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,0.014,0.016,0.011,0.017,0.014,0.018
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,14.286,-31.250,54.545,-17.647,28.571
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,0.056,0.059,0.044,0.054,0.050,0.042
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,5.357,-25.424,22.727,-7.407,-16.000
,,,,,,,
Human Capital,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"76,418.000","79,000.000","66,800.000","68,493.000","70,496.000","73,311.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,"6,365.000","6,339.000","7,639.000","8,125.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,7.800,2.800,2.400,2.200
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,-64.103,-14.286,-8.333
Employee Training Cost,EMPLOYEE_TRAINING_COST,—,—,—,—,200.000,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,"12,000,000.000","12,800,000.000","13,000,000.000","9,000,000.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,6.667,1.563,-30.769
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,Yes,Yes,Yes
,,,,,,,
Supply Chain,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Governance,,,,,,,
Audit Risk & Oversight,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.000,2.000,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,100.000,50.000,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,4.000,4.000,4.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,94.730,95.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,0.285,5.263,0.000,0.000
,,,,,,,
Board Composition,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.000,11.000,11.000,11.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,7.000,8.000,8.000,8.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.000,10.000,10.000,10.000,10.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,—,7.000,5.000,7.000,5.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,97.400,98.180,97.180,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,0.801,-1.019,2.902,0.000
,,,,,,,
Compensation,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,3.000,3.000,3.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,6.000,5.000,5.000,4.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,83.330,95.000,100.000,100.000,96.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,14.005,5.263,0.000,-4.000
,,,,,,,
Diversity,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,48.000,46.000,47.000,52.000,53.000,54.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,78.000,79.000,80.000,73.000,74.000,75.000
,,,,,,,
Independence,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,5.000,5.000,5.000,5.000
,,,,,,,
Nominations & Governance Oversight,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.000,2.000,2.000,1.000,1.000,1.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,2.000,2.000,2.000,3.000,5.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,90.000,90.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,11.111,0.000,0.000
,,,,,,,
Sustainability Governance,,,,,,,
Verification Type,VERIFICATION_TYPE,No,Yes,No,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,
Tenure,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,
