,,,,,,,,,,,
ACS Actividades de Construccion y Servicios SA (ACS SM) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of EUR except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
Fatalities - Total,FATALITIES_TOTAL,—,13.000,13.000,3.000,11.000,8.000,6.000,7.000,2.000,3.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,3.036,3.700,2.774,2.424,2.250,2.872,2.368,2.728,3.022,2.934
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,-20.399,21.871,-25.027,-12.617,-7.178,27.644,-17.549,15.203,10.777,-2.912
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,1.860,1.580,0.632,0.688,0.634,0.582,0.672,0.602,0.586,0.518
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,18.471,-15.054,-60.000,8.861,-7.849,-8.202,15.464,-10.417,-2.658,-11.604
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"210,345.000","170,241.000","176,755.000","182,269.000","195,461.000","190,431.000","122,779.000","122,502.000","128,721.000","135,419.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,12.700,13.500,—,—,17.470,20.800,13.100,14.700,12.600,13.800
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,-39.524,6.299,—,—,—,19.061,-37.019,12.214,-14.286,9.524
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,27.700,23.100,—,28.400,67.820,70.900,74.400,78.900,77.600,80.400
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,13.525,-16.607,—,—,138.803,4.541,4.937,6.048,-1.648,3.608
Employee Training Cost,EMPLOYEE_TRAINING_COST,130.500,90.700,26.300,28.500,33.000,34.600,10.700,14.800,17.900,22.264
    Growth (YoY),EMPLOYEE_TRAINING_COST,52.275,-30.498,-71.003,8.365,15.789,4.848,-69.075,38.318,20.946,24.378
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,"2,581,680.000","2,283,240.000","1,764,290.000","2,572,530.000","3,120,050.000","2,990,790.000","721,895.000","963,760.000","1,071,840.000","1,566,880.000"
    Growth (YoY),TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,8.021,-11.560,-22.729,45.811,21.283,-4.143,-75.863,33.504,11.214,46.186
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,13.000,14.000,15.000,16.000,17.000,1.000,2.000,3.000,4.000,1.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,8.333,7.692,7.143,6.667,6.250,-94.118,100.000,50.000,33.333,-75.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,2.000,2.000,3.000,3.000,3.000,3.000,3.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,6.000,6.000,6.000,6.000,7.000,6.000,6.000,6.000,6.000,7.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,17.000,18.000,16.000,18.000,18.000,17.000,16.000,15.000,15.000,15.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,25.000,60.000,50.000,53.000,52.000,53.000,54.000,30.000,28.000,28.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,12.000,14.000,13.000,14.000,14.000,13.000,12.000,12.000,11.000,11.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,7.000,7.000,8.000,8.000,7.000,9.000,8.000,8.000,7.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,88.240,90.760,95.730,97.000,97.200,96.800,100.000,98.370,98.530,94.290
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,-4.543,2.856,5.476,1.327,0.206,-0.412,3.306,-1.630,0.163,-4.303
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,6.000,6.000,7.000,7.000,6.000,5.000,5.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,2.000,2.000,3.000,3.000,3.000,3.000,3.000,3.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,5.000,5.000,6.000,2.000,3.000,2.000,1.000,3.000,2.000
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,2.000,2.000,3.000,4.000,5.000,5.000,4.000,3.000,5.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,3.000,2.000,3.000,3.000,3.000,3.000,3.000,4.000,7.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,34.000,35.000,53.000,—,—,—,—,—,—,—
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,78.000,79.000,80.000,—,—,—,—,—,—,—
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,5.000,4.000,5.000,5.000,5.000,5.000,5.000,6.000,8.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,6.000,6.000,7.000,6.000,7.000,7.000,6.000,6.000,6.000,6.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,7.000,5.000,5.000,6.000,2.000,4.000,5.000,1.000,4.000,2.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,6.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
