,,,,,,,,,,
Buckeye Partners LP (BPL US) - Overview,,,,,,,,,,
,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,No,No,No,No,No,No
,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,
Health & Safety,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,0.260,0.100,0.000
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,-61.538,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,0.360,0.360,0.120
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,—,—,0.000,-66.667
,,,,,,,,,,
Human Capital,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,No,No
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,859.000,"1,029.000","1,020.000","1,270.000","1,430.000","1,490.000","1,865.000","1,870.000","1,850.000"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,18.040,17.590,18.630,24.400,22.370,20.800,19.490,21.390,15.135
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-2.494,5.912,30.972,-8.320,-7.018,-6.298,9.751,-29.243
,,,,,,,,,,
Supply Chain,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Governance,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,25.000,26.000,27.000,28.000,29.000,30.000,31.000,32.000,33.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,4.000,3.846,3.704,3.571,3.448,3.333,3.226,3.125
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.000,3.000,3.000,3.000,4.000,4.000,4.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,34.000,7.000,8.000,9.000,8.000,8.000,8.000,8.000,11.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Board Composition,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,7.000,8.000,9.000,10.000,11.000,11.000,10.000,10.000,10.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,7.000,8.000,8.000,6.000,9.000,9.000,8.000,9.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,6.000,7.000,8.000,9.000,10.000,10.000,9.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,11.000,12.000,13.000,17.000,13.000,11.000,12.000,23.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Compensation,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.000,3.000,3.000,4.000,4.000,4.000,5.000,5.000,5.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,7.000,8.000,8.000,8.000,8.000,6.000,7.000,8.000,6.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Diversity,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.000,0.000,0.000,1.000,2.000,2.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,48.000,49.000,50.000,51.000,56.000,57.000,58.000,59.000,60.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,70.000,71.000,72.000,73.000,74.000,75.000,76.000,77.000
,,,,,,,,,,
Independence,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.000,6.000,6.000,8.000,10.000,10.000,9.000,9.000,9.000
,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.000,3.000,3.000,3.000,3.000,4.000,5.000,5.000,5.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,3.000,3.000,3.000,3.000,3.000,4.000,5.000,5.000,5.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,8.000,5.000,8.000,7.000,6.000,5.000,6.000,6.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,
Sustainability Governance,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No
,,,,,,,,,,
Tenure,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,
