,,,,,,,,,,,
Canadian Natural Resources Ltd (CNQ CN) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,2.439,2.381,2.326,2.273,2.222,2.174,2.128,2.083,2.041,2.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,5.000,5.000,5.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,5.000,5.000,5.000,4.000,4.000,4.000,4.000,5.000,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,1.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,13.000,11.000,11.000,11.000,11.000,11.000,11.000,12.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,16.000,15.000,15.000,17.000,18.000,18.000,17.000,18.000,20.000,20.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,11.000,9.000,9.000,9.000,8.000,8.000,9.000,10.000,9.000,9.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,7.000,8.000,5.000,6.000,6.000,6.000,5.000,5.000,5.000,5.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,98.860,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,1.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,4.000,4.000,4.000,4.000,3.000,4.000,4.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,6.000,6.000,6.000,7.000,6.000,5.000,6.000,6.000,6.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,100.000,95.840,100.000,100.000,100.000,95.830,100.000,95.450,95.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,-4.160,4.341,0.000,0.000,-4.170,4.351,-4.550,-0.471
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.000,1.000,1.000,1.000,2.000,2.000,2.000,2.000,2.000,4.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.000,2.000,2.000,2.000,2.000,2.000,3.000,4.000,3.000,3.000
Board Age Limit,BOARD_AGE_LIMIT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,78.000,78.000,78.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,55.000,56.000,57.000,58.000,57.000,57.000,58.000,59.000,60.000,61.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,75.000,73.000,74.000,75.000,74.000,72.000,73.000,74.000,75.000,76.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,10.000,9.000,9.000,9.000,8.000,8.000,8.000,9.000,9.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.000,4.000,4.000,3.000,3.000,3.000,4.000,5.000,4.000,4.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.000,4.000,4.000,3.000,3.000,3.000,3.000,5.000,4.000,4.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,100.000,91.670,100.000,100.000,100.000,100.000,100.000,100.000,100.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,-8.330,9.087,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,n/a
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
