,,,,
Floene Energias SA (1429580D PL) - Overview,,,,
,,,,
In Millions of EUR except Per Share,,FY 2021,FY 2022,FY 2023
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,No,No,No
,,,,
Energy,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,5.318,5.837,6.146
    Growth (YoY),ENERGY_CONSUMPTION,—,9.754,5.290
Renewable Energy Use,RENEW_ENERGY_USE,0.000,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,52.198,53.304,58.691
    Growth (YoY),NAT_GAS_USED,—,2.118,10.107
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,0.377,0.400,0.382
    Growth (YoY),OIL_DIESEL_USED,—,6.345,-4.710
,,,,
Hazardous Waste,HAZARDOUS_WASTE,0.005,0.001,0.000
    Growth (YoY),HAZARDOUS_WASTE,—,-79.960,-57.426
Total Waste,TOTAL_WASTE,0.010,66.154,61.363
    Growth (YoY),TOTAL_WASTE,—,"632,347.409",-7.242
,,,,
,,,,
Supply Chain,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes
,,,,
Water,,,,
Water Policy,WATER_POLICY,No,No,No
,,,,
Social,,,,
Community & Customers,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,Yes,Yes
,,,,
Diversity,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No
,,,,
Ethics & Compliance,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes
Indep Directors,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes
,,,,
Health & Safety,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes
,,,,
Human Capital,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,Yes,Yes
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,394.000,394.000,407.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,23.000,30.000,29.000
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,30.435,-3.333
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No
,,,,
Supply Chain,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes
Number of Suppliers Audited,SUPPLIERS_AUDITED,—,15.000,—
,,,,
Governance,,,,
Audit Risk & Oversight,,,,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,—,4.000,4.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,—,13.000,13.000
,,,,
Board Composition,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,No,No
Board Size,BOARD_SIZE,—,9.000,9.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,—,4.000,4.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,—,5.000,5.000
,,,,
Compensation,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,—,0.000,0.000
,,,,
Diversity,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,0.000,0.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,—,1.000,1.000
,,,,
Independence,,,,
,,,,
Nominations & Governance Oversight,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,0.000,0.000
,,,,
Sustainability Governance,,,,
Verification Type,VERIFICATION_TYPE,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No
,,,,
Tenure,,,,
Board Duration (Years),BOARD_DURATION,—,3.000,3.000
,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,
