,,,,,,,,,,,,,,,,,,
Imperial Oil Ltd (IMO CN) - Overview,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In Millions of CAD except Per Share,,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),ENERGY_CONSUMPTION,—,-5.1,-5.1,0.3,2.2,-15.6,17.2,-1.8,28.6,0.5,1.4,1.8,0.0,-0.9,4.9,3.0,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,"1,800.0","1,900.0","1,960.0","2,040.0","2,160.0","2,120.0","1,840.0","1,980.0",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,5.6,3.2,4.1,5.9,-1.9,-13.2,7.6,—
,,,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No
Hazardous Waste,HAZARDOUS_WASTE,14.3,21.1,26.0,26.7,32.3,23.0,25.5,22.1,9.5,10.8,20.9,34.0,28.2,24.7,30.7,22.0,—
    Growth (YoY),HAZARDOUS_WASTE,—,47.6,23.2,2.7,21.0,-28.8,10.9,-13.3,-57.0,13.7,93.5,62.7,-17.1,-12.4,24.3,-28.3,—
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,"13,199.9","23,335.3","24,253.5","18,804.2","86,600.0","115,000.0","108,000.0","107,600.0","109,500.0","49,100.0","53,300.0","108,800.0","105,300.0",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,76.8,3.9,-22.5,360.5,32.8,-6.1,-0.4,1.8,-55.2,8.6,104.1,-3.2,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,—,—,—,"53,300.0","37,600.0","37,700.0",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-29.5,0.3,—
,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,Yes,Yes,No
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,Yes,Yes,Yes,Yes,No
Community Spending,COMMUNITY_SPENDING,14.3,15.3,25.9,24.1,15.0,15.0,17.2,20.3,27.0,21.2,16.0,17.2,15.3,15.4,17.0,17.5,—
    Growth (YoY),COMMUNITY_SPENDING,—,7.0,69.3,-6.8,-37.8,0.0,14.7,18.0,33.0,-21.5,-24.5,7.5,-11.0,0.7,10.4,2.9,—
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,—,—,—,—,—,—,32.00,—,—,—,—
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,25.70,26.40,26.70,27.10,27.70,27.00,26.70,26.60,25.80,25.00,25.10,24.00,23.80,23.20,23.00,22.00,—
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,2.7,1.1,1.5,2.2,-2.5,-1.1,-0.4,-3.0,-3.1,0.4,-4.4,-0.8,-2.5,-0.9,-4.3,—
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,8.10,8.90,9.60,10.10,9.40,9.90,11.10,11.50,10.90,11.20,11.20,12.80,12.80,12.90,13.00,13.00,—
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,9.9,7.9,5.2,-6.9,5.3,12.1,3.6,-5.2,2.8,0.0,14.3,0.0,0.8,0.8,0.0,—
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,0.90,0.90,0.80,0.70,0.90,1.40,1.50,1.50,1.20,1.00,0.90,2.40,3.80,3.50,3.60,3.00,—
    Growth (YoY),PCT_DISABLED_IN_WORKFORCE,—,0.0,-11.1,-12.5,28.6,55.6,7.1,0.0,-20.0,-16.7,-10.0,166.7,58.3,-7.9,2.9,-16.7,—
,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,—
    Growth (YoY),POLITICAL_DONATIONS,—,-32.4,131.7,6.9,0.0,20.7,-2.6,4.5,-7.1,-6.2,-60.7,—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Fatalities - Total,FATALITIES_TOTAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,0.04,0.04,0.00,0.00,0.08,0.00,0.02,0.05,0.03,0.00,0.01,0.03,0.01,0.04,0.01,0.01,—
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,0.0,—,—,—,—,—,150.0,-40.0,—,—,200.0,-66.7,300.0,-75.0,0.0,—
Lost Time Incident Rate - Contractors,LOST_TIME_INCIDENT_RT_CNTRCTR,0.03,0.05,0.01,0.03,0.05,0.01,0.01,0.04,0.01,0.01,0.04,0.03,0.05,0.05,0.03,0.00,—
    Growth (YoY),LOST_TIME_INCIDENT_RT_CNTRCTR,—,66.7,-80.0,200.0,66.7,-80.0,0.0,300.0,-75.0,0.0,300.0,-25.0,66.7,0.0,-40.0,—,—
Lost Time Incident Rate - Workforce,LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,0.01,0.03,0.03,0.04,0.04,0.02,0.01,—
    Growth (YoY),LOST_TM_INCIDENT_RT_WORKFORCE,—,—,—,—,—,—,—,—,—,—,200.0,0.0,33.3,0.0,-50.0,-50.0,—
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.42,0.35,0.18,0.18,0.30,0.15,0.14,0.27,0.22,0.08,0.15,0.13,0.09,0.20,0.22,0.14,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-16.7,-48.6,0.0,66.7,-50.0,-6.7,92.9,-18.5,-63.6,87.5,-13.3,-30.8,122.2,10.0,-36.4,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.80,1.07,0.54,0.61,0.60,0.37,0.39,0.33,0.30,0.39,0.36,0.36,0.34,0.34,0.45,0.41,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,33.8,-49.5,13.0,-1.6,-38.3,5.4,-15.4,-9.1,30.0,-7.7,0.0,-5.6,0.0,32.4,-8.9,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,0.52,0.31,0.33,0.32,0.27,0.26,0.26,0.27,0.25,0.27,0.34,0.29,—
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,—,—,-40.4,6.5,-3.0,-15.6,-3.7,0.0,3.8,-7.4,8.0,25.9,-14.7,—
,,,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"4,785.00","4,843.00","5,015.00","4,969.00","5,083.00","5,263.00","5,328.00","5,498.00","5,917.00","5,706.00","5,523.00","5,687.00","6,000.00","5,800.00","5,400.00","5,300.00","5,300.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,—,—,5.90,4.80,—,—,—,—
    Growth (YoY),EMPLOYEE_TURNOVER_PCT,—,—,—,—,—,—,—,—,—,—,—,—,-18.6,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,9.69,—,—,—,—,—,—,—,—,—,7.00,6.00,6.00,—,—,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,—,—,—,—,—,—,-14.3,0.0,—,—,—,—
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,,,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,74.00,75.00,76.00,—,—,79.00,80.00,81.00,82.00,83.00,84.00,85.00,86.00,87.00,88.00,89.00,90.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,1.4,1.3,—,—,—,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.00,5.00,5.00,5.00,5.00,5.00,5.00,7.00,5.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,95.00,90.90,100.00,100.00,96.00,100.00,100.00,100.00,100.00,100.00,96.00,93.33,96.00,96.00,100.00,100.00,96.00
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,-4.3,10.0,0.0,-4.0,4.2,0.0,0.0,0.0,0.0,-4.0,-2.8,2.9,0.0,4.2,0.0,-4.0
,,,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,5.00,5.00,5.00,6.00,5.00,5.00,5.00,9.00,12.00,12.00,12.00,10.00,12.00,8.00,11.00,10.00,10.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,7.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.00,10.00,10.00,9.00,9.00,10.00,8.00,9.00,7.00,7.00,7.00,7.00,7.00,8.00,10.00,8.00,8.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,98.33,97.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.91,94.00,98.21,100.00,100.00,100.00,100.00,98.11
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,-1.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,-2.0,4.5,1.8,0.0,0.0,0.0,-1.9
,,,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.00,6.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,9.00,8.00,5.00,8.00,7.00,6.00,10.00,7.00,7.00,7.00,7.00,6.00,7.00,7.00,6.00,7.00,8.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,100.00,100.00,100.00,97.70,100.00,100.00,100.00,100.00,100.00,95.23,93.02,92.85,100.00,98.00,100.00,97.61,96.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,0.0,0.0,-2.3,2.4,0.0,0.0,0.0,0.0,-4.8,-2.3,-0.2,7.7,-2.0,2.0,-2.4,-1.6
,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00,4.00,3.00,3.00,2.00,5.00,4.00,4.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00
Board Age Limit,BOARD_AGE_LIMIT,—,—,—,70.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,52.00,53.00,54.00,55.00,56.00,49.00,55.00,56.00,57.00,58.00,52.00,53.00,54.00,48.00,49.00,50.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,69.00,70.00,65.00,66.00,67.00,68.00,69.00,70.00,71.00,72.00,71.00,70.00,71.00,72.00,73.00,70.00
,,,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00
,,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,4.00,6.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,3.00,4.00,5.00,5.00,3.00,3.00,4.00,4.00,4.00,4.00,7.00,4.00,4.00,4.00,7.00,6.00,6.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,100.00,95.00,100.00,96.40,100.00,94.40,100.00,95.83,100.00,95.83,93.02,92.85,100.00,100.00,100.00,100.00,94.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,-5.0,5.3,-3.6,3.7,-5.6,5.9,-4.2,4.4,-4.2,-2.9,-0.2,7.7,0.0,0.0,0.0,-6.0
,,,,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
