,,,,,
Cia Brasileira de Aluminio (CBAV3 BZ) - Overview,,,,,
,,,,,
In Millions of BRL except Per Share,,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),GHG_SCOPE_1,—,8.897,17.128,0.091
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,345.635,799.535,277.855,249.226
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,131.323,-65.248,-10.304
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,72.496,6.989,6.759,7.073
    Growth (YoY),GHG_SCOPE_2_MARKET_BASED,—,-90.360,-3.286,4.643
GHG Scope 3,GHG_SCOPE_3,"1,490.070","2,408.610","1,349.600","1,338.490"
    Growth (YoY),GHG_SCOPE_3,—,61.644,-43.968,-0.823
Scope of Disclosure,SCOPE_OF_DISCLOSURE,1.000,1.000,1.000,—
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,0.000,0.000,—
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,0.200,—,—
,,,,,
Energy,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,No,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,"7,554.170","8,446.360","8,837.870",—
    Growth (YoY),ENERGY_CONSUMPTION,—,11.811,4.635,—
Renewable Energy Use,RENEW_ENERGY_USE,752.778,"7,013.850","7,209.400",—
    Growth (YoY),RENEW_ENERGY_USE,—,831.729,2.788,—
Electricity Used,ELECTRICITY_USED,"5,400.830","1,059.900","6,364.690",—
    Growth (YoY),ELECTRICITY_USED,—,-80.375,500.499,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,"5,066.660","4,828.970",—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,-4.691,—
Fuel Used - Coal/Lignite,COAL_USED,—,—,0.000,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,"156,184.000",—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,0.000,—
,,,,,
Materials & Waste,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,9.679,9.498,10.342,7.429
    Growth (YoY),HAZARDOUS_WASTE,—,-1.870,8.883,-28.165
Total Waste,TOTAL_WASTE,"2,443.280","2,810.720","1,670.350","1,403.360"
    Growth (YoY),TOTAL_WASTE,—,15.039,-40.572,-15.984
Waste Recycled,WASTE_RECYCLED,36.396,43.401,—,—
    Growth (YoY),WASTE_RECYCLED,—,19.247,—,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,0.557,0.035,—,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,-93.716,—,—
Raw Materials Used,RAW_MAT_USED,—,607.437,620.688,588.549
    Growth (YoY),RAW_MAT_USED,—,—,2.181,-5.178
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,11.100,29.500,—,—
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,165.766,—,—
,,,,,
Supply Chain,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,Yes,Yes,Yes
,,,,,
Water,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,"2,854.000","2,814.000","2,657.200","2,023.000"
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,-1.402,-5.572,-23.867
Total Water Discharged,TOTAL_WATER_DISCHARGED,"11,000.000","6,175.000",238.600,—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,-43.864,-96.136,—
Water Consumption,WATER_CONSMPTN,—,—,"2,418.550",—
,,,,,
Ecological & Biodiversity Impacts,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,No,Yes,Yes
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,No,No,n/a
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,No,Yes,Yes
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,No,Yes,Yes
,,,,,
Social,,,,,
Community & Customers,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,No,No
Community Spending,COMMUNITY_SPENDING,9.803,5.810,—,9.700
    Growth (YoY),COMMUNITY_SPENDING,—,-40.734,—,—
,,,,,
Diversity,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,21.400
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,12.000,14.300,17.000,17.300
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,19.167,18.881,1.765
Percentage Gender Pay Gap for Senior Management,PCT_GENDER_PAY_GAP_SEN_MGMT,—,105.000,—,—
,,,,,
Ethics & Compliance,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes
,,,,,
Health & Safety,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,0.000,0.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,0.000,0.000,0.000,0.000
Fatalities - Total,FATALITIES_TOTAL,0.000,0.000,0.000,0.000
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,0.424,0.208,—,—
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,-51.001,—,—
Total Recordable Incident Rate - Contractors,TOT_RECORDABLE_INCID_RT_CNTRCTR,0.684,0.156,—,—
    Growth (YoY),TOT_RECORDABLE_INCID_RT_CNTRCTR,—,-77.220,—,—
Total Recordable Incident Rate - Workforce,TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,0.452,0.352
    Growth (YoY),TOT_RECRDBL_INCID_RT_WORKFORCE,—,—,—,-22.124
,,,,,
Human Capital,,,,,
Training Policy,TRAINING_POLICY,No,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"5,549.000","5,811.000","6,639.000","6,384.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,"2,374.000","1,673.000","1,787.000"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,—,—,—,13.100
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,100.000,96.000,—,—
    Growth (YoY),PCT_EMPLOYEES_UNIONIZED,—,-4.000,—,—
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,—,—,—,"110,000.000"
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,No,No,No,No
,,,,,
Supply Chain,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,Yes,Yes,Yes
,,,,,
Governance,,,,,
Audit Risk & Oversight,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,3.000,4.000,5.000,6.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,33.333,25.000,20.000
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.000,3.000,3.000,2.000
,,,,,
Board Composition,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,No,No,No,No
Board Size,BOARD_SIZE,5.000,6.000,7.000,7.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,8.000,9.000,8.000,9.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.000,6.000,7.000,7.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,19.000,19.000,—,—
,,,,,
Compensation,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,3.000,3.000,4.000,5.000
,,,,,
Diversity,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,2.000,2.000,2.000,3.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,1.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,35.000,36.000,37.000,38.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,69.000,70.000,71.000,72.000
,,,,,
Independence,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,2.000,2.000,4.000,4.000
,,,,,
Nominations & Governance Oversight,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,0.000,0.000,0.000,0.000
,,,,,
Sustainability Governance,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No
,,,,,
Tenure,,,,,
Board Duration (Years),BOARD_DURATION,2.000,2.000,2.000,2.000
,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,
