,,,,,,,,,,,
Helmerich & Payne Inc (HP US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,13.373,-39.610,-13.009,47.102,6.335,226.503
Electricity Used,ELECTRICITY_USED,—,—,—,16.665,17.233,14.435,12.656,90.510,359.591,119.939
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,3.407,-16.232,-12.329,615.175,297.296,-66.646
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,611.800,638.928,657.138,761.894,"4,183.960","2,479.440","2,103.340"
    Growth (YoY),NAT_GAS_USED,—,—,—,—,4.434,2.850,15.941,449.153,-40.739,-15.169
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,528.978,538.998,472.854,288.641,421.107,447.405,407.514
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,1.894,-12.272,-38.958,45.893,6.245,-8.916
,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Water,,,,,,,,,,,
Water Policy,WATER_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No
,,,,,,,,,,,
Social,,,,,,,,,,,
Community & Customers,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,No,No,No,No,No,No,No,No,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,No,No,No,No,No,No,No,No,No,No
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,13.200,19.600,20.500,23.500,24.700
    Growth (YoY),PCT_WOMEN_SENIOR_MGT,—,—,—,—,—,—,48.485,4.592,14.634,5.106
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,6.300,5.900,5.800,6.500
    Growth (YoY),PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,—,—,—,—,—,—,-6.349,-1.695,12.069
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,4.200,4.400,6.200,5.400,4.400,4.700,5.400
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,4.762,40.909,-12.903,-18.519,6.818,14.894
Pct Minorities in Management,PCT_MINORITY_MGT,—,—,—,—,—,21.100,20.600,40.300,16.800,16.800
    Growth (YoY),PCT_MINORITY_MGT,—,—,—,—,—,—,-2.370,95.631,-58.313,0.000
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,—,—,—,31.500,32.700,30.500,33.600,38.100,40.000,40.600
    Growth (YoY),PCT_MINORITY_EMPLOYEES,—,—,—,—,3.810,-6.728,10.164,13.393,4.987,1.500
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,—,—,—,—,—,0.000,0.000,1.000,0.000,0.000
Fatalities - Contractors,FATALITIES_CONTRACTORS,—,—,—,—,—,0.000,—,—,—,—
Fatalities - Total,FATALITIES_TOTAL,—,—,—,—,—,0.000,—,—,—,—
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,—,—,—,0.500,0.390,0.220,0.610,0.570,0.510,0.560
    Growth (YoY),LOST_TIME_INCIDENT_RATE,—,—,—,—,-22.000,-43.590,177.273,-6.557,-10.526,9.804
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,1.380,1.750,1.100,1.500,2.160,2.000,1.810
    Growth (YoY),TOTAL_RECORDABLE_INCIDENT_RATE,—,—,—,—,26.812,-37.143,36.364,44.000,-7.407,-9.500
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"6,738.000","4,840.000","8,123.000","9,777.000","8,421.000","3,890.000","5,932.000","8,000.000","7,100.000","7,000.000"
Number of Contractors,NUMBER_OF_CONTRACTORS,—,—,—,58.000,108.000,434.000,328.000,544.000,723.000,748.000
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,—,—,—,—,—,0.000,0.000,0.000,0.000,0.000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,22.000,23.000,24.000,25.000,26.000,27.000,28.000,29.000,30.000,31.000
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,4.762,4.545,4.348,4.167,4.000,3.846,3.704,3.571,3.448,3.333
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,4.000,3.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,4.000,3.000,4.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,12.000,12.000,12.000,14.000,8.000,8.000,8.000,8.000,8.000,8.000
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,91.000
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.333
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,10.000,8.000,10.000,11.000,11.000,11.000,12.000,12.000,11.000,11.000
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,6.000,5.000,7.000,8.000,8.000,6.000,6.000,6.000,6.000,6.000
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,9.000,7.000,9.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,4.000,4.000,6.000,4.000,5.000,10.000,6.000,7.000,5.000,14.000
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.000,73.000,75.000,75.000,75.000,75.000,75.000,75.000,75.000,91.000
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,0.000,-2.667,2.740,0.000,0.000,0.000,0.000,0.000,0.000,21.333
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,4.000,3.000,4.000,4.000,4.000,4.000,5.000,5.000,4.000,4.000
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,4.000,3.000,4.000,4.000,4.000,4.000,5.000,5.000,4.000,4.000
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,4.000,3.000,4.000,4.000,5.000,8.000,7.000,7.000,6.000,5.000
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.000,74.330,75.000,75.000,75.000,75.000,75.000,75.000,75.000,91.000
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,0.000,-0.893,0.901,0.000,0.000,0.000,0.000,0.000,0.000,21.333
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.000,1.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,55.000,56.000,46.000,47.000,48.000,49.000,50.000,51.000,52.000,53.000
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,78.000,71.000,72.000,73.000,74.000,75.000,76.000,77.000,78.000,79.000
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,8.000,6.000,8.000,9.000,9.000,9.000,10.000,10.000,9.000,9.000
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,8.000,6.000,8.000,9.000,9.000,9.000,10.000,10.000,9.000,9.000
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,8.000,6.000,8.000,9.000,9.000,9.000,10.000,10.000,9.000,9.000
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.000,74.330,75.000,75.000,75.000,75.000,75.000,75.000,75.000,91.000
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,0.000,-0.893,0.901,0.000,0.000,0.000,0.000,0.000,0.000,21.333
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
