,,,,,,,,,,,,,,,,
Lotte Chemical Corp (011170 KS) - Overview,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
In Billions of KRW except Per Share,,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023
    Growth (YoY),SOCIAL_DISCLOSURE_SCORE,—,6.2,0.0,0.0,0.0,14.6,20.6,0.0,0.0,0.0,4.2,1.5,6.1,-9.5,—
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,72.97,72.97,79.23,79.23,76.10,76.10,73.54,79.17,79.17,81.55,83.74,95.54,95.54,95.54,—
    Growth (YoY),GOVNCE_DISCLOSURE_SCORE,—,0.0,8.6,0.0,-4.0,0.0,-3.4,7.7,0.0,3.0,2.7,14.1,0.0,0.0,—
,,,,,,,,,,,,,,,,
Environmental,,,,,,,,,,,,,,,,
Air Quality,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,—,—,—,—,—,—,0.8,0.8,1.1,1.0,12.7,11.3,8.2,7.0,—
    Growth (YoY),NOX_EMISSIONS,—,—,—,—,—,—,—,-7.7,40.6,-8.5,"1,207.6",-11.3,-27.4,-15.0,—
VOC Emissions,VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,—,—,0.1,0.1,0.1,—
    Growth (YoY),VOC_EMISSIONS,—,—,—,—,—,—,—,—,—,—,—,—,25.0,-8.3,—
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,0.0,0.1,0.1,—,—,—,—,—,—
    Growth (YoY),CARBON_MONOXIDE_EMISSIONS,—,—,—,—,—,—,—,16.3,26.0,—,—,—,—,—,—
Particulate Emissions,PARTICULATE_EMISSIONS,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,—
    Growth (YoY),PARTICULATE_EMISSIONS,—,—,—,—,—,—,—,-22.4,11.5,14.4,25.1,-16.9,31.9,-39.6,—
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,—
    Growth (YoY),SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,—,—,—,—,—,—,—,-20.5,12.9,-22.3,457.2,-19.1,-13.9,-14.7,—
,,,,,,,,,,,,,,,,
Climate Change,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes
Climate Change Policy,CLIMATE_CHG_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Risks of Climate Change Discussed,CLIMATE_RISKS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CO2 Scope 1,CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,"3,615.2","4,452.7","4,152.4",—
    Growth (YoY),CO2_SCOPE_1,—,—,—,—,—,—,—,—,—,—,—,—,23.2,-6.7,—
GHG Scope 1,GHG_SCOPE_1,—,—,—,—,—,—,"4,200.5","4,207.7","4,428.2","4,193.4","4,745.1","3,622.3","4,461.5","4,187.4","6,153.5"
    Growth (YoY),GHG_SCOPE_1,—,—,—,—,—,—,—,0.2,5.2,-5.3,13.2,-23.7,23.2,-6.1,47.0
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,"1,432.5","1,481.5","1,550.9","2,069.3","2,059.4","1,955.8","2,098.2","2,027.3","4,063.6"
    Growth (YoY),GHG_SCOPE_2_LOCATION_BASED,—,—,—,—,—,—,—,3.4,4.7,33.4,-0.5,-5.0,7.3,-3.4,100.4
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,—,—,—,—,—,—,—,—,—,—,"2,059.4",—,—,—,—
GHG Scope 3,GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,—,"11,693.9","18,005.0","27,703.3","11,587.9"
    Growth (YoY),GHG_SCOPE_3,—,—,—,—,—,—,—,—,—,—,—,—,54.0,53.9,-58.2
Scope of Disclosure,SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,1.00,1.00,1.00,1.00
    Growth (YoY),SCOPE_OF_DISCLOSURE,—,—,—,—,—,—,—,—,—,—,—,—,0.0,0.0,0.0
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,0.54,0.54,0.52,0.45,0.46,0.49,0.53,—,—
    Growth (YoY),CARBON_PER_UNIT_OF_PROD,—,—,—,—,—,—,—,-1.1,-2.8,-13.8,2.0,6.5,8.2,—,—
,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Total Energy Consumption,ENERGY_CONSUMPTION,—,—,—,—,—,—,"29,715.0","30,179.4","31,994.7","33,394.4","35,936.7","28,014.3","35,000.3","32,972.2",—
    Growth (YoY),ENERGY_CONSUMPTION,—,—,—,—,—,—,—,1.6,6.0,4.4,7.6,-22.0,24.9,-5.8,—
Renewable Energy Use,RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,—,—,0.4,0.1,0.3,—
    Growth (YoY),RENEW_ENERGY_USE,—,—,—,—,—,—,—,—,—,—,—,—,-81.5,352.7,—
Electricity Used,ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,—,"6,935.6","6,749.7","6,437.8",—
    Growth (YoY),ELECTRICITY_USED,—,—,—,—,—,—,—,—,—,—,—,—,-2.7,-4.6,—
Self Generated Renewable Electricity,SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,0.4,0.1,0.3,—
    Growth (YoY),SELF_GEN_RENEWABLE_ELECTRICITY,—,—,—,—,—,—,—,—,—,—,—,—,-81.5,352.7,—
Fuel Used - Natural Gas,NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,—,"77,814.1","67,084.2","80,193.1",—
    Growth (YoY),NAT_GAS_USED,—,—,—,—,—,—,—,—,—,—,—,—,-13.8,19.5,—
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,0.8,1.1,0.8,—
    Growth (YoY),OIL_DIESEL_USED,—,—,—,—,—,—,—,—,—,—,—,—,35.4,-28.0,—
,,,,,,,,,,,,,,,,
Materials & Waste,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hazardous Waste,HAZARDOUS_WASTE,—,—,—,—,—,—,34.9,31.0,21.6,30.1,35.1,30.0,37.8,39.1,—
    Growth (YoY),HAZARDOUS_WASTE,—,—,—,—,—,—,—,-11.3,-30.1,39.0,16.7,-14.7,26.2,3.5,—
Total Waste,TOTAL_WASTE,—,—,—,—,—,—,79.3,76.1,68.6,109.3,114.6,105.5,117.1,111.8,—
    Growth (YoY),TOTAL_WASTE,—,—,—,—,—,—,—,-4.0,-9.8,59.2,4.9,-8.0,11.0,-4.5,—
Waste Recycled,WASTE_RECYCLED,—,—,—,—,—,—,63.7,48.6,39.7,79.8,91.8,83.6,93.7,94.3,—
    Growth (YoY),WASTE_RECYCLED,—,—,—,—,—,—,—,-23.8,-18.3,101.0,14.9,-8.9,12.1,0.7,—
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,10.4,21.1,23.5,17.0,11.7,9.9,10.5,7.3,—
    Growth (YoY),WASTE_SENT_TO_LANDFILLS,—,—,—,—,—,—,—,103.8,11.5,-27.7,-31.3,-15.1,6.0,-30.5,—
Raw Materials Used,RAW_MAT_USED,—,—,—,—,—,—,"6,921.2","6,808.2","7,454.0","8,027.2","8,292.6","5,781.9","8,809.5",—,—
    Growth (YoY),RAW_MAT_USED,—,—,—,—,—,—,—,-1.6,9.5,7.7,3.3,-30.3,52.4,—,—
Pct Recycled Materials,PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,—,—,—,0.14,0.13,0.21,—
    Growth (YoY),PCT_RECYCLED_MATERIALS,—,—,—,—,—,—,—,—,—,—,—,—,-7.1,61.5,—
,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,"39,375.0","40,670.5","42,781.0","46,154.0","47,431.0","39,407.0","46,642.0","43,920.0",—
    Growth (YoY),TOTAL_WATER_WITHDRAWAL,—,—,—,—,—,—,—,3.3,5.2,7.9,2.8,-16.9,18.4,-5.8,—
Total Water Discharged,TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,"10,836.0","11,718.6","12,950.0","15,406.0","14,663.0","12,937.0","13,105.0","12,802.0",—
    Growth (YoY),TOTAL_WATER_DISCHARGED,—,—,—,—,—,—,—,8.1,10.5,19.0,-4.8,-11.8,1.3,-2.3,—
Water Consumption,WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,—,—,"33,537.0","31,118.0",—
    Growth (YoY),WATER_CONSMPTN,—,—,—,—,—,—,—,—,—,—,—,—,—,-7.2,—
,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,n/a
,,,,,,,,,,,,,,,,
Social,,,,,,,,,,,,,,,,
Community & Customers,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Community Spending,COMMUNITY_SPENDING,3.4,5.3,6.3,4.1,3.3,10.3,10.7,10.8,16.7,10.5,9.9,8.8,7.9,12.3,8.9
    Growth (YoY),COMMUNITY_SPENDING,—,53.6,19.0,-35.3,-18.0,209.6,3.6,1.4,53.6,-37.1,-5.6,-10.6,-10.7,56.0,-27.9
,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,Yes,Yes,Yes,Yes
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,15.80,16.30,16.00
    Growth (YoY),PCT_WOMEN_EMPLOYEES,—,—,—,—,—,—,—,—,—,—,—,—,—,3.2,-1.8
80%+ Workforce Gender Pay Gap Waterfall,GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,—,—,—,—,34.34,33.01
    Growth (YoY),GENDER_PAY_GAP_WATERFALL,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-3.9
,,,,,,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,
Health & Safety,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,
Human Capital,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,—,—,—,—,—,"5,355.00","5,106.00","5,320.00","5,468.00","7,305.00","7,617.00","4,669.00","4,651.00","4,732.00","4,962.00"
Employee Training Cost,EMPLOYEE_TRAINING_COST,1.3,1.9,2.5,2.1,1.6,1.7,2.3,3.2,3.7,5.1,5.2,3.4,4.3,6.9,8.5
    Growth (YoY),EMPLOYEE_TRAINING_COST,—,43.9,29.0,-14.6,-23.7,7.6,31.1,43.5,15.1,36.1,3.1,-35.4,26.9,60.0,24.0
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No
,,,,,,,,,,,,,,,,
Supply Chain,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,5.00,6.00,7.00,8.00,9.00,1.00,2.00,3.00,4.00,5.00,6.00,1.00,2.00,3.00,1.00
    Growth (YoY),YEARS_AUDITOR_EMPLOYED,—,20.0,16.7,14.3,12.5,-88.9,100.0,50.0,33.3,25.0,20.0,-83.3,100.0,50.0,-66.7
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,5.00,4.00,5.00,6.00,3.00,4.00,4.00,4.00,4.00,4.00,6.00,4.00,4.00,4.00,4.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
    Growth (YoY),AUDIT_COMMITTEE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,
Board Composition,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Yes,No,No,No,No,No
Board Size,BOARD_SIZE,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,9.00,9.00,9.00,11.00,10.00,10.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,35.00,40.00,41.00,50.00,53.00,59.00,60.00,62.00,69.00,76.00,82.00,104.00,97.00,101.00,101.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,6.00,6.00,6.00,7.00,6.00,6.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,10.00,9.00,6.00,9.00,10.00,12.00,14.00,16.00,14.00,14.00,16.00,14.00,11.00,13.00,11.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,87.33,84.20,84.48,95.25,95.22,94.70
    Growth (YoY),BOARD_MEETING_ATTENDANCE_PCT,—,—,—,—,—,—,—,—,—,—,-3.6,0.3,12.7,0.0,-0.5
,,,,,,,,,,,,,,,,
Compensation,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,No,No,No,No,No,No
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,—,—,—,—,—,—,—,—,—,—,2.00,3.00,3.00,3.00,3.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,—,—,—,—,—,—,—,—,—,—,—,4.00,4.00,3.00,2.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,85.71,100.00,100.00,100.00
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,—,—,—,—,—,—,—,16.7,0.0,0.0
,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,3.00,3.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,54.00,55.00,56.00,57.00,58.00,58.00,60.00,59.00,60.00,54.00,55.00,55.00,50.00,51.00,52.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,61.00,62.00,64.00,65.00,63.00,64.00,64.00,65.00,66.00,67.00,64.00,65.00,66.00,67.00,68.00
,,,,,,,,,,,,,,,,
Independence,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,6.00,6.00,5.00,6.00
,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,100.00,100.00,—,100.00,100.00,66.67,100.00,66.67,100.00,100.00,100.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,—,—,0.0,—,—,0.0,-33.3,50.0,-33.3,50.0,0.0,0.0
,,,,,,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
,,,,,,,,,,,,,,,,
Tenure,,,,,,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
,,,,,,,,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,,
